dataset,method,Precision,Recall,F1-score
Inspec,KeyBERTEntities,0.09200000000000015,0.09477243393861054,0.08489622811084106
inspec,LDAEntities,0.011799999999999993,0.026573419064595535,0.015264745634242296
inspec,Llama2_7b_OneShotEntities,0.30153376838589696,0.5524912968077672,0.3621530389321096
inspec,Llama3_8b_OneShotEntities,0.18038514230507985,0.4051596993202875,0.22697184198794387
inspec,Llama3_8b_ZeroShotEntities,0.11242778864966077,0.19320860936449177,0.12004466178499686
inspec,LSAEntities,0.040159874656998634,0.6915306655476162,0.07492730170245541
inspec,PyateBasicsEntities,0.007855484376581684,0.053073927488633335,0.013132426103794297
inspec,PyateComboBasicEntities,0.007855484376581684,0.053073927488633335,0.013132426103794297
inspec,PyateCvaluesEntities,0.007855484376581684,0.053073927488633335,0.013132426103794297
inspec,RakeEntities,0.11075205241107422,0.686102883219292,0.18372964609926584
Inspec,SpacyEntities,0.0025538461538461535,0.001607936507936508,0.0019310559006211181
inspec,SpacyNounChunks,0.08032291916564756,0.3757511773915799,0.12688684248413526
inspec,SummaEntities,0.0775250391335531,0.06788228138963436,0.06626372325180446
inspec,TfIdfEntities,0.03473122953523465,0.7215747183839053,0.06542899618560971,5.545267489711934,121.81481481481481,0.051440329218106894,0.06329157209422277,0.051868664620513795,0.050617283950617334,0.11926265116443052,0.06544427907403369,0.04993141289437575,0.16973714002853438,0.07190756980684822,0.2616989055308191,0.03360938578329883
inspec,YakeEntities,0.0862903654682032,0.48257734883795284,0.1408767681298829
