Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['Monte Carlo', 'MCNP', 'Monte Carlo', 'MCNP']",0.0,0.0,0.0,25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508804479095409,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8474718011300413,0.9230769230769231
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge', 'bridge inspection', 'bridge safety inspection', 'eyesight inspection', 'preliminary evaluation', 'crack inspection', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'arms', 'center of gravity', 'bridge', 'bridge inspection', 'bridge safety inspection', 'eyesight inspection', 'preliminary evaluation', 'crack inspection', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'arms', 'center of gravity']",0.045454545454545456,0.14285714285714285,0.06896551724137931,7,22,0.2,0.14285714285714285,0.16666666666666666,0.1,0.14285714285714285,0.11764705882352941,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.5392298559569758,0.36592818945760125,0.045454545454545456,0.14285714285714285,0.06896551724137931,0.2,0.14285714285714285,0.16666666666666666,0.1,0.14285714285714285,0.11764705882352941,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.5392298559569758,0.36592818945760125
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['linear equations', 'modulo 2 residue class', 'safe problem', 'system of linear equations', 'evenness']",0.6,0.75,0.6666666666666665,4,5,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.8296679504474589,0.6166666666666666,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.8296679504474589,0.6166666666666666
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['I-WAP', 'WAP site', 'WAP management system', 'HTML', 'WML', 'PC', 'Web site']",0.0,0.0,0.0,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933901879565296,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933901879565296,0.4166666666666667
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient', 'transversely isotropic bodies', 'plane strain theory', 'Airy stress function method', 'beam', 'loading conditions', 'density distribution profile']",0.5714285714285714,0.5,0.5333333333333333,8,7,0.4,0.25,0.3076923076923077,0.5714285714285714,0.5,0.5333333333333333,0.5714285714285714,0.5,0.5333333333333333,0.8254429925647395,0.6493506493506493,0.5714285714285714,0.5,0.5333333333333333,0.4,0.25,0.3076923076923077,0.5714285714285714,0.5,0.5333333333333333,0.5714285714285714,0.5,0.5333333333333333,0.8254429925647395,0.6493506493506493
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'minterms', 'decomposition clone', 'partial functions']",0.75,0.75,0.75,4,4,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9010196182278053,0.7625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9010196182278053,0.7625
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']",[],0,0.0,0.0,6,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'Hilbert space']",0.75,0.5,0.6,6,4,0.75,0.5,0.6,0.75,0.5,0.6,0.75,0.5,0.6,0.9070804080818898,0.8035714285714286,0.75,0.5,0.6,0.75,0.5,0.6,0.75,0.5,0.6,0.75,0.5,0.6,0.9070804080818898,0.8035714285714286
"['systemological analysis', 'formal system representation', 'axiomatics']","['Node', 'Function', 'Object']",0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5508095940041027,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5508095940041027,0.5
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",[],0,0.0,0.0,8,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['states', 'measurement errors', 'fuzzy information', 'fuzzy set theory', 'systems', 'attributes', 'errors']",0.2857142857142857,0.4,0.3333333333333333,5,7,0.4,0.4,0.4000000000000001,0.2857142857142857,0.4,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.659662586023637,0.41428571428571426,0.42857142857142855,0.6,0.5,0.6,0.6,0.6,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793
"['linear algebraic equations', 'numerical system']",[],0,0.0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['Internet', 'Web-based access', 'Internet', 'Web-based access', 'Distributed Component Object Model']",0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181312641796785,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181312641796785,0.625
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['Geographic information system', 'population', 'software', 'electronic population data', 'resources', 'computer', 'site', 'facility']",0.0,0.0,0.0,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47547732580750024,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47547732580750024,0.38461538461538464
['accelerated simulation'],"['Markovian systems', 'non-Markovian systems']",0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological foundations', 'processes', 'abstraction', 'bipolar function', 'descriptological operations']",0.2,0.2,0.20000000000000004,5,5,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004,0.6429552319475418,0.48444444444444446,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004,0.6429552319475418,0.48444444444444446
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']",[],0,0.0,0.0,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['recurring issues', 'changing practices']","['out-of-print materials', 'libraries', 'literature', 'years', 'decades', 'issues', 'practices', 'assertion', 'materials', 'copies', 'collections', 'gaps', 'programs', 'courses', 'libraries', 'out-of-print materials', 'libraries', 'literature', 'years', 'decades', 'issues', 'practices', 'assertion', 'materials', 'copies', 'collections', 'gaps', 'programs', 'courses', 'libraries']",0.0,0.0,0.0,2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032935912997024,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032935912997024,0.125
