Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computation phantoms', 'MCNP calculations', 'in vivo measurement systems', 'radionuclides', 'tissues', 'Monte Carlo calculations', 'data analysis', 'geometric representation', 'anatomy', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data file', 'scanning data', 'computed tomography', 'magnetic resonance imaging', 'source', 'detector', 'memory demand', 'calculational speed']",0.5454545454545454,0.48,0.5106382978723404,25,22,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.4666666666666667,0.28,0.35000000000000003,0.829122893686113,0.6332467532467532,0.5454545454545454,0.48,0.5106382978723404,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.4666666666666667,0.28,0.35000000000000003,0.8269718975860825,0.625668449197861
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'automation', 'bridge safety inspections', 'preliminary evaluation', 'screening', 'eyesight inspection', 'CCD cameras', 'four-axis manipulator system', 'human inspectors', 'center of gravity']",0.3,0.42857142857142855,0.3529411764705882,7,10,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.3,0.42857142857142855,0.3529411764705882,0.668184909937437,0.41428571428571426,0.3,0.42857142857142855,0.3529411764705882,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.3,0.42857142857142855,0.3529411764705882,0.668184909937437,0.41428571428571426
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'modulo 2 residue class', 'linear equations', 'system of linear equations', 'mn locks', 'evenness', 'solution', 'initial state']",0.5,1.0,0.6666666666666666,4,8,0.8,1.0,0.888888888888889,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7716768377198233,0.5,0.5,1.0,0.6666666666666666,0.8,1.0,0.888888888888889,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7716768377198233,0.5
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'wireless communications', 'mobile phone screens', 'hypertext markup language', 'wireless markup language', 'site management', 'system manager', 'relevance', 'numerals', 'keywords', 'communication cost', 'readability', 'performance']",0.26666666666666666,0.8,0.4,5,15,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.8,0.4,0.6130919921348418,0.2758333333333333,0.26666666666666666,0.8,0.4,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.8,0.4,0.6130919921348418,0.2758333333333333
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['transversely isotropic bodies', 'Airy stress function method', 'inverse method', 'piezoelectric cantilever', 'density functionally gradient', 'induction functions', 'tip deflection', 'blocking force', 'density distribution profile']",0.3333333333333333,0.375,0.35294117647058826,8,9,0.4,0.25,0.3076923076923077,0.3333333333333333,0.375,0.35294117647058826,0.3333333333333333,0.375,0.35294117647058826,0.7019206349759045,0.4821428571428571,0.3333333333333333,0.375,0.35294117647058826,0.4,0.25,0.3076923076923077,0.3333333333333333,0.375,0.35294117647058826,0.3333333333333333,0.375,0.35294117647058826,0.7019206349759045,0.4821428571428571
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitioning', 'minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",0.6666666666666666,1.0,0.8,4,6,0.6,0.75,0.6666666666666665,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8600505318257206,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6,0.75,0.6666666666666665,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8600505318257206,0.6666666666666666
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building management systems', 'questionnaire survey', 'optimising building performance', 'technology acceptance', 'ease of use', 'compatibility', 'user perceptions', 'voluntariness', 'importance', 'factors', 'research']",0.5454545454545454,1.0,0.7058823529411764,6,11,0.6,0.5,0.5454545454545454,0.6,1.0,0.7499999999999999,0.5454545454545454,1.0,0.7058823529411764,0.7959822709980572,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411764,0.6,0.5,0.5454545454545454,0.6,1.0,0.7499999999999999,0.5454545454545454,1.0,0.7058823529411764,0.7959822709980572,0.5454545454545454
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'elliptic equations', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.3333333333333333,0.5,0.4,6,9,0.2,0.16666666666666666,0.1818181818181818,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781
"['systemological analysis', 'formal system representation', 'axiomatics']","['object-oriented design', 'procedure', 'system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.125,0.3333333333333333,0.18181818181818182,3,8,0.2,0.3333333333333333,0.25,0.125,0.3333333333333333,0.18181818181818182,0.125,0.3333333333333333,0.18181818181818182,0.5088285452291041,0.24166666666666667,0.125,0.3333333333333333,0.18181818181818182,0.2,0.3333333333333333,0.25,0.125,0.3333333333333333,0.18181818181818182,0.125,0.3333333333333333,0.18181818181818182,0.5088285452291041,0.24166666666666667
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'electronic government procurement system', 'Taiwan government procurement law', 'internal procurement processes', 'posting/receiving bids via the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.7,0.875,0.7777777777777777,8,10,0.4,0.25,0.3076923076923077,0.7,0.875,0.7777777777777777,0.7,0.875,0.7777777777777777,0.8750387080038736,0.7034090909090909,0.7,0.875,0.7777777777777777,0.4,0.25,0.3076923076923077,0.7,0.875,0.7777777777777777,0.7,0.875,0.7777777777777777,0.8750387080038736,0.7034090909090909
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['Identification', 'states', 'complex systems', 'estimation', 'admissible measurement errors', 'fuzzy information', 'fuzzy values', 'informative attributes', 'maximally admissible degree', 'fuzzy set theory']",0.4,0.8,0.5333333333333333,5,10,0.2,0.2,0.20000000000000004,0.4,0.8,0.5333333333333333,0.4,0.8,0.5333333333333333,0.7110041538182238,0.41090909090909095,0.4,0.8,0.5333333333333333,0.2,0.2,0.20000000000000004,0.4,0.8,0.5333333333333333,0.4,0.8,0.5333333333333333,0.7110041538182238,0.41090909090909095
"['linear algebraic equations', 'numerical system']","['numerical system', 'solution']",0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8065735963827292,0.5833333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8065735963827292,0.5833333333333333
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['facilities management', 'Internet', 'intranet', 'Web-based access', 'database integration', 'control networks', 'Internet protocols', 'infrastructures', 'embedded Web server', 'PC Web server', 'software development technology', 'open control network', 'interconnecting']",0.23076923076923078,0.6,0.33333333333333337,5,13,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.23076923076923078,0.6,0.33333333333333337,0.5907550958540527,0.27179487179487183,0.23076923076923078,0.6,0.33333333333333337,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.23076923076923078,0.6,0.33333333333333337,0.5907550958540527,0.27179487179487183
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['population', 'facility operations', 'public', 'software', 'electronic population data', 'personal computer', 'sites']",0.42857142857142855,0.6,0.5,5,7,0.4,0.4,0.4000000000000001,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793,0.42857142857142855,0.6,0.5,0.4,0.4,0.4000000000000001,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793
['accelerated simulation'],"['steady-state availability', 'non-Markovian systems', 'accelerated simulation', 'evaluation', 'repair', 'systems with repair']",0.16666666666666666,1.0,0.2857142857142857,1,6,0.2,1.0,0.33333333333333337,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,1.0,0.2857142857142857,0.550777717664569,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.2,1.0,0.33333333333333337,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,1.0,0.2857142857142857,0.550777717664569,0.16666666666666666
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological foundations', 'programming', 'descriptive process', 'introduction', 'elimination', 'abstraction', 'level of processes', 'intensional concept', 'bipolar function', 'bipole level']",0.5,1.0,0.6666666666666666,5,10,0.4,0.4,0.4000000000000001,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7704972588894493,0.5,0.5,1.0,0.6666666666666666,0.4,0.4,0.4000000000000001,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7704972588894493,0.5
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['Diophantine equations', 'strict inequations', 'nonstrict inequations', 'systems of linear constraints', 'natural numbers', 'minimal set of solutions', 'minimal generating sets of solutions', 'supporting set of solutions', 'algorithms']",0.2222222222222222,0.4,0.2857142857142857,5,9,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889,0.2222222222222222,0.4,0.2857142857142857,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889
"['recurring issues', 'changing practices']","['acquiring out-of-print materials', 'out-of-print literature', 'libraries', 'worn or damaged copies', 'missing copies', 'duplicate copies', 'heavily used materials', 'gaps in collections', 'weak collections', 'strong collections', 'new courses', 'new programs', 'new libraries']",0.0,0.0,0.0,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102267425692944,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102267425692944,0.13333333333333333
['pseudofuzzy quantities'],"['Bayesian approach', 'fuzzy data', 'pseudofuzzy quantities', 'modus-ponens rule', 'Bayesian decision procedure']",0.2,1.0,0.33333333333333337,1,5,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.5896918237758784,0.2,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.5896918237758784,0.2
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['just-in-time acquisitions', 'Amazon', 'monograph loans', 'ordering criteria', 'patron comments', 'statistics', 'staff perceptions']",0.5714285714285714,1.0,0.7272727272727273,4,7,0.6,0.75,0.6666666666666665,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273,0.8115442748967323,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.6,0.75,0.6666666666666665,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273,0.8115442748967323,0.5714285714285714
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['Nonlinear extrapolation', 'random process', 'nonlinear random dependences', 'mixed central moment functions', 'V. S. Pugachev canonical decomposition apparatus', 'moment function']",0.5,0.5,0.5,6,6,0.4,0.3333333333333333,0.3636363636363636,0.5,0.5,0.5,0.5,0.5,0.5,0.7874203074791966,0.5833333333333333,0.5,0.5,0.5,0.4,0.3333333333333333,0.3636363636363636,0.5,0.5,0.5,0.5,0.5,0.5,0.7874203074791966,0.5833333333333333
"['scalable video transmission', 'channel spectral nulls', 'heavy data rate overhead', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['frequency-selective fading channels', 'cyclic prefix insertion', 'precoded OFDM', 'channel spectral nulls', 'data rate overhead', 'layered bit stream structure', 'scalable video transmission', 'adaptive vector channel allocation', 'Frobenius norm metrics', 'channel estimation', 'control channel', 'noise']",0.5,0.5,0.5,12,12,0.2,0.08333333333333333,0.11764705882352941,0.5,0.4166666666666667,0.45454545454545453,0.5,0.5,0.5,0.7922747585454805,0.5833333333333333,0.5,0.5,0.5,0.2,0.08333333333333333,0.11764705882352941,0.5,0.4166666666666667,0.45454545454545453,0.5,0.5,0.5,0.7922747585454805,0.5833333333333333
