Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['Monte Carlo calculations', 'computational phantoms', 'radionuclides', 'tissues', 'worker', 'anatomy', 'thorium', 'uranium', 'plutonium', 'actinides', 'software', 'MCNP', 'computed tomography', 'magnetic resonance imaging', 'images', 'voxels', 'memory', 'speed', 'plastic', 'biological tissues']",0.45,0.36,0.39999999999999997,25,20,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.794978535087709,0.6064444444444445,0.45,0.36,0.39999999999999997,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.7920955804507201,0.5973214285714286
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge', 'crack', 'inspection', 'vehicle', 'scaffolding', 'cameras', 'CCD', 'manipulator system', 'binocular charge coupled devices', 'arms', 'center of gravity']",0.0,0.0,0.0,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48342985450534437,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48342985450534437,0.3888888888888889
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['A', 'safe problem', 'matrices', 'A', 'locks', 'system', 'linear equations', 'modulo 2', 'residue class', 'numbers', 'm', 'n', 'state']",0.15384615384615385,0.5,0.23529411764705882,4,13,0.25,0.25,0.25,0.2222222222222222,0.5,0.30769230769230765,0.16666666666666666,0.5,0.25,0.5338047562807492,0.22619047619047616,0.15384615384615385,0.5,0.23529411764705882,0.25,0.25,0.25,0.2222222222222222,0.5,0.30769230769230765,0.16666666666666666,0.5,0.25,0.5338047562807492,0.22619047619047616
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'PC', 'mobile phone', 'site', 'system', 'language', 'markup language', 'hypertext markup language', 'wireless communications', 'contents', 'costs', 'time', 'manpower', 'problems', 'paper', 'management', 'numerals', 'keywords', 'relevance', 'communication cost', 'readability', 'experiments']",0.16666666666666666,0.8,0.27586206896551724,5,24,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.13333333333333333,0.4,0.2,0.5197910420995246,0.17333333333333334,0.16666666666666666,0.8,0.27586206896551724,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.13333333333333333,0.4,0.2,0.5197910420995246,0.17333333333333334
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'induction functions', 'polynomials', 'beam', 'loading conditions', 'tip deflection', 'blocking force', 'density distribution profile']",0.45454545454545453,0.625,0.5263157894736842,8,11,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336,0.45454545454545453,0.625,0.5263157894736842,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'method', 'decomposition', 'minterms', 'decomposition clone', 'theorem', 'disjunctive decomposition', 'partial functions', 'examples', 'variables', 'forms']",0.3333333333333333,1.0,0.5,4,12,0.2,0.25,0.22222222222222224,0.4,1.0,0.5714285714285715,0.3333333333333333,1.0,0.5,0.6627014222827838,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2,0.25,0.22222222222222224,0.4,1.0,0.5714285714285715,0.3333333333333333,1.0,0.5,0.6627014222827838,0.3333333333333333
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building', 'management system', 'questionnaire', 'survey', 'technology', 'acceptance', 'model', 'ease of use', 'compatibility', 'user perception', 'voluntariness', 'performance', 'building performance', 'research']",0.21428571428571427,0.5,0.3,6,14,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.21428571428571427,0.5,0.3,0.5861090177356729,0.28361344537815125,0.2857142857142857,0.6666666666666666,0.4,0.0,0.0,0.0,0.3,0.5,0.37499999999999994,0.2857142857142857,0.6666666666666666,0.4,0.6348274327922466,0.31547619047619047
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'optimal control problems', 'distributed systems', 'elliptic equations', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.4,0.6666666666666666,0.5,6,10,0.2,0.16666666666666666,0.1818181818181818,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.5,0.7161403349639142,0.43333333333333335,0.5,0.8333333333333334,0.625,0.4,0.3333333333333333,0.3636363636363636,0.5,0.8333333333333334,0.625,0.5,0.8333333333333334,0.625,0.7718548193728025,0.5075757575757576
"['systemological analysis', 'formal system representation', 'axiomatics']","['system', 'object-oriented design', 'procedure', 'paper', 'results', 'development', 'object-oriented system', 'formal system representation', 'axiomatics', 'calculus', 'systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'algorithm', 'CASE tools']",0.13333333333333333,0.6666666666666666,0.2222222222222222,3,15,0.0,0.0,0.0,0.2,0.6666666666666666,0.30769230769230765,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.4815567508972114,0.15138888888888888,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,0.2,0.6666666666666666,0.30769230769230765,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.493503430045441,0.1619047619047619
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['Taiwan', 'suppliers', 'government bodies', 'vendors', 'Internet', 'information infrastructures']",0.0,0.0,0.0,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834583016058275,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834583016058275,0.5714285714285714
