Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'anatomy', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data file', 'scanning data', 'tissues', 'voxels', 'memory demand', 'calculational speed', 'biological tissues', 'computed tomography', 'magnetic resonance imaging']",0.6,0.48,0.5333333333333332,25,20,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8534770380574279,0.6819393939393938,0.6,0.48,0.5333333333333332,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8515844097370705,0.675
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['CCD cameras', 'Experiments']",0.0,0.0,0.0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211558598969094,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211558598969094,0.7777777777777778
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['Solution', 'safe problem', 'locks', 'linear equations', 'modulo 2 residue class', 'evenness']",0.5,0.75,0.6,4,6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.5,0.75,0.6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WML', 'WAP', 'HTML', 'WAP sites', 'WAP content', 'mobile phone screens', 'WAP users', 'relevance', 'numerals', 'keywords', 'communication cost', 'readability']",0.16666666666666666,0.4,0.23529411764705882,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.23529411764705882,0.5485569131748808,0.26666666666666666,0.16666666666666666,0.4,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.23529411764705882,0.5485569131748808,0.26666666666666666
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",['General solution of a density functionally gradient piezoelectric cantilever'],0.0,0.0,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",[],0,0.0,0.0,4,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling', 'user acceptance', 'building management systems', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility', 'user perceptions']",0.625,0.8333333333333334,0.7142857142857143,6,8,0.4,0.3333333333333333,0.3636363636363636,0.625,0.8333333333333334,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.8387973433832946,0.6319444444444444,0.625,0.8333333333333334,0.7142857142857143,0.4,0.3333333333333333,0.3636363636363636,0.625,0.8333333333333334,0.7142857142857143,0.625,0.8333333333333334,0.7142857142857143,0.8387973433832946,0.6319444444444444
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'Highly accurate computational discretization schemes']",0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75
"['systemological analysis', 'formal system representation', 'axiomatics']","['Node-Function-Object class hierarchy', 'CASE tools']",0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182885020492785,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182885020492785,0.6
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'Taiwan government procurement law', 'electronic devices', 'electronic government procurement system', 'internal procurement processes', 'posting/receiving bids', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding']",0.6,0.75,0.6666666666666665,8,10,0.4,0.25,0.3076923076923077,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.8284674592595341,0.6166666666666666,0.6,0.75,0.6666666666666665,0.4,0.25,0.3076923076923077,0.6,0.75,0.6666666666666665,0.6,0.75,0.6666666666666665,0.8284674592595341,0.6166666666666666
