Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['Monte Carlo calculations', 'computational phantoms', 'in vivo measurement systems', 'radionuclides', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data file', 'computed tomography', 'magnetic resonance imaging', 'memory demand']",0.5384615384615384,0.28,0.3684210526315789,25,13,0.8,0.16,0.26666666666666666,0.5,0.2,0.28571428571428575,0.5384615384615384,0.28,0.3684210526315789,0.8472775735706566,0.7314143920595533,0.5384615384615384,0.28,0.3684210526315789,0.8,0.16,0.26666666666666666,0.5,0.2,0.28571428571428575,0.5384615384615384,0.28,0.3684210526315789,0.844784204291535,0.7237179487179487
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'automation', 'bridge safety inspections', 'preliminary evaluation', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'center of gravity']",0.2222222222222222,0.2857142857142857,0.25,7,9,0.4,0.2857142857142857,0.3333333333333333,0.2222222222222222,0.2857142857142857,0.25,0.2222222222222222,0.2857142857142857,0.25,0.63284687722264,0.42063492063492064,0.2222222222222222,0.2857142857142857,0.25,0.4,0.2857142857142857,0.3333333333333333,0.2222222222222222,0.2857142857142857,0.25,0.2222222222222222,0.2857142857142857,0.25,0.63284687722264,0.42063492063492064
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', '0', 'linear equations', 'modulo 2 residue class', 'evenness', 'solution', 'correction', 'initial state']",0.375,0.75,0.5,4,8,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP site management system', 'wireless markup language', 'WML', 'hypertext markup language', 'HTML', 'mobile phone screens', 'intelligent management system', 'WAP content', 'communication cost', 'readability']",0.4,0.8,0.5333333333333333,5,10,0.4,0.4,0.4000000000000001,0.4,0.8,0.5333333333333333,0.4,0.8,0.5333333333333333,0.7110041538182238,0.41090909090909095,0.4,0.8,0.5333333333333333,0.4,0.4,0.4000000000000001,0.4,0.8,0.5333333333333333,0.4,0.8,0.5333333333333333,0.7110041538182238,0.41090909090909095
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'general solution', 'beam', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",0.45454545454545453,0.625,0.5263157894736842,8,11,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336,0.45454545454545453,0.625,0.5263157894736842,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitioning', 'minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",0.6666666666666666,1.0,0.8,4,6,0.6,0.75,0.6666666666666665,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8600505318257206,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6,0.75,0.6666666666666665,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.8600505318257206,0.6666666666666666
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility', 'perceived ease of use', 'voluntariness', 'user perceptions', 'building performance']",0.5555555555555556,0.8333333333333334,0.6666666666666667,6,9,0.6,0.5,0.5454545454545454,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,0.5,0.5454545454545454,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.25,0.3333333333333333,0.28571428571428575,6,8,0.2,0.16666666666666666,0.1818181818181818,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.643829619720473,0.4166666666666667,0.375,0.5,0.42857142857142855,0.4,0.3333333333333333,0.3636363636363636,0.375,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.7115958900032683,0.4602272727272727
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented systemological method', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.375,1.0,0.5454545454545454,3,8,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375,0.375,1.0,0.5454545454545454,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'Taiwan', 'electronic government procurement system', 'procurement law', 'TGPL', 'electronic devices', 'internal procurement processes', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'RFP', 'online bidding', 'online payment', 'information infrastructures']",0.5,1.0,0.6666666666666666,8,16,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.5333333333333333,1.0,0.6956521739130436,0.7722338869181823,0.5,0.5,1.0,0.6666666666666666,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.5333333333333333,1.0,0.6956521739130436,0.7722338869181823,0.5
