Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computational phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'anatomy', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data', 'scanning data', 'segmentation', 'computed tomography', 'magnetic resonance imaging', 'voxels', 'tissues', 'memory demand']",0.5294117647058824,0.36,0.42857142857142855,25,17,0.8,0.16,0.26666666666666666,0.5,0.2,0.28571428571428575,0.4666666666666667,0.28,0.35000000000000003,0.8325521049510229,0.6754367201426025,0.5294117647058824,0.36,0.42857142857142855,0.8,0.16,0.26666666666666666,0.5,0.2,0.28571428571428575,0.4666666666666667,0.28,0.35000000000000003,0.8300973240894913,0.6672794117647058
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'safety inspections', 'preliminary evaluation', 'screening', 'cracks', 'inspection', 'bridge', 'platform', 'scaffolding', 'danger', 'accidents', 'human inspectors', 'arms', 'center of gravity', 'revolve smoothly']",0.2222222222222222,0.5714285714285714,0.32,7,18,0.8,0.5714285714285714,0.6666666666666666,0.4,0.5714285714285714,0.47058823529411764,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.5898256774003771,0.2698412698412698,0.2222222222222222,0.5714285714285714,0.32,0.8,0.5714285714285714,0.6666666666666666,0.4,0.5714285714285714,0.47058823529411764,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.5898256774003771,0.2698412698412698
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'matrices', 'linear equations', 'modulo 2 residue class', 'evenness', 'solution', 'initial state']",0.42857142857142855,0.75,0.5454545454545454,4,7,0.6,0.75,0.6666666666666665,0.42857142857142855,0.75,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.7318094005429143,0.4464285714285714,0.42857142857142855,0.75,0.5454545454545454,0.6,0.75,0.6666666666666665,0.42857142857142855,0.75,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.7318094005429143,0.4464285714285714
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'mobile phone', 'screens', 'contents', 'management system', 'relevance', 'numerals', 'keywords', 'communication cost']",0.18181818181818182,0.4,0.25000000000000006,5,11,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.18181818181818182,0.4,0.25000000000000006,0.5649270497435052,0.287012987012987,0.18181818181818182,0.4,0.25000000000000006,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.18181818181818182,0.4,0.25000000000000006,0.5649270497435052,0.287012987012987
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'inverse method', 'Airy stress function method', 'polynomials', 'general solution', 'beam', 'tip deflection', 'blocking force', 'piezoelectric material']",0.45454545454545453,0.625,0.5263157894736842,8,11,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336,0.45454545454545453,0.625,0.5263157894736842,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'minterms', 'decomposition clone', 'simple disjunctive decomposition', 'partial functions']",0.5,0.75,0.6,4,6,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.5,0.75,0.6,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building management systems', 'BMS', 'user acceptance', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility']",0.5714285714285714,0.6666666666666666,0.6153846153846153,6,7,0.4,0.3333333333333333,0.3636363636363636,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.4,0.3333333333333333,0.3636363636363636,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'Hilbert space']",0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75
"['systemological analysis', 'formal system representation', 'axiomatics']","['object-oriented design', 'systemological analysis', 'formal system representation', 'axiomatics', 'calculus of systems']",0.6,1.0,0.7499999999999999,3,5,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,0.8301894834227401,0.6,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,0.6,1.0,0.7499999999999999,0.8301894834227401,0.6
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'Taiwan', 'LRB', 'TGPL', 'RRB', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.5,0.75,0.6,8,12,0.2,0.125,0.15384615384615385,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428,0.5,0.75,0.6,0.2,0.125,0.15384615384615385,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428
