Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['Monte Carlo', 'computational phantoms', 'MCNP', 'in vivo', 'radionuclides', 'tissues', 'thorium', 'uranium', 'plutonium', 'actinides', 'computed tomography', 'magnetic resonance imaging', 'segmentation', 'voxels', 'memory demand', 'calculational speed', 'plastic']",0.47058823529411764,0.32,0.38095238095238104,25,17,0.4,0.08,0.13333333333333333,0.4,0.16,0.22857142857142856,0.4,0.24,0.3,0.8106227985561495,0.6505882352941177,0.47058823529411764,0.32,0.38095238095238104,0.4,0.08,0.13333333333333333,0.4,0.16,0.22857142857142856,0.4,0.24,0.3,0.8077812573070376,0.6417112299465242
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator', 'bridge crack inspection', 'automation', 'bridge safety inspections', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'center of gravity']",0.375,0.42857142857142855,0.39999999999999997,7,8,0.6,0.42857142857142855,0.5,0.375,0.42857142857142855,0.39999999999999997,0.375,0.42857142857142855,0.39999999999999997,0.7206776733187825,0.494047619047619,0.375,0.42857142857142855,0.39999999999999997,0.6,0.42857142857142855,0.5,0.375,0.42857142857142855,0.39999999999999997,0.375,0.42857142857142855,0.39999999999999997,0.7206776733187825,0.494047619047619
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'linear equations', 'modulo 2 residue class', 'locks', 'solution', 'evenness', 'correction', 'initial state']",0.375,0.75,0.5,4,8,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'wireless communications', 'mobile phone', 'site management', 'intelligent management system', 'hypertext markup language', 'wireless markup language', 'PC users', 'mobile phone screens', 'manpower costs', 'efficient way', 'communication cost', 'readability', 'experiments']",0.3125,1.0,0.47619047619047616,5,16,0.2,0.2,0.20000000000000004,0.3,0.6,0.4,0.3333333333333333,1.0,0.5,0.6471599119598686,0.3125,0.3125,1.0,0.47619047619047616,0.2,0.2,0.20000000000000004,0.3,0.6,0.4,0.3333333333333333,1.0,0.5,0.6471599119598686,0.3125
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient', 'piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'induction functions', 'general solution', 'beam', 'loading conditions', 'tip deflection', 'blocking force', 'density distribution profile', 'piezoelectric material']",0.38461538461538464,0.625,0.4761904761904762,8,13,0.4,0.25,0.3076923076923077,0.3,0.375,0.33333333333333326,0.38461538461538464,0.625,0.4761904761904762,0.7108635804843474,0.4278846153846154,0.38461538461538464,0.625,0.4761904761904762,0.4,0.25,0.3076923076923077,0.3,0.375,0.33333333333333326,0.38461538461538464,0.625,0.4761904761904762,0.7108635804843474,0.4278846153846154
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitioning', 'minterms', 'decomposition', 'clone', 'disjunctive decomposition', 'partial functions', 'theorem']",0.375,0.75,0.5,4,8,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility', 'voluntariness', 'perceived ease of use', 'user perceptions', 'building performance', 'optimising building performance']",0.5,0.8333333333333334,0.625,6,10,0.6,0.5,0.5454545454545454,0.5,0.8333333333333334,0.625,0.5,0.8333333333333334,0.625,0.7718548193728025,0.5075757575757576,0.5,0.8333333333333334,0.625,0.6,0.5,0.5454545454545454,0.5,0.8333333333333334,0.625,0.5,0.8333333333333334,0.625,0.7718548193728025,0.5075757575757576
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational', 'finite-element', 'optimal control', 'elliptic system', 'conjugation conditions', 'quadratic minimized function', 'distributed systems', 'Hilbert space', 'control set', 'feasible control']",0.2,0.3333333333333333,0.25,6,10,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.5980938299162285,0.3523809523809524,0.3,0.5,0.37499999999999994,0.2,0.16666666666666666,0.1818181818181818,0.3,0.5,0.37499999999999994,0.3,0.5,0.37499999999999994,0.6581295160124496,0.38076923076923075
"['systemological analysis', 'formal system representation', 'axiomatics']","['formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.3333333333333333,0.6666666666666666,0.4444444444444444,3,6,0.4,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6733627733422863,0.3650793650793651,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.4,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6733627733422863,0.3650793650793651
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['procurement', 'electronic tendering', 'Taiwan', 'electronic government procurement system', 'Taiwan government procurement law', 'TGPL', 'internal procurement processes', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'RFP', 'online bidding', 'online payment']",0.5714285714285714,1.0,0.7272727272727273,8,14,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5714285714285714,1.0,0.7272727272727273,0.8110568735928534,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5714285714285714,1.0,0.7272727272727273,0.8110568735928534,0.5714285714285714
