Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computation phantoms', 'MCNP calculations', 'in vivo measurement systems', 'calibration', 'radionuclides', 'tissues', 'geometric representation', 'anatomy', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data file', 'scanning data', 'segmentation', 'computed tomography', 'magnetic resonance imaging', 'source', 'detector', 'memory demand', 'calculational speed']",0.5909090909090909,0.52,0.5531914893617023,25,22,0.8,0.16,0.26666666666666666,0.7,0.28,0.4,0.6,0.36,0.45,0.8471788856313908,0.6602139037433156,0.5909090909090909,0.52,0.5531914893617023,0.8,0.16,0.26666666666666666,0.7,0.28,0.4,0.6,0.36,0.45,0.8453194310221853,0.6534090909090909
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'automation', 'bridge safety inspections', 'preliminary evaluation', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'bridge inspection vehicle', 'scaffolding', 'center of gravity']",0.2,0.2857142857142857,0.23529411764705882,7,10,0.4,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.2,0.2857142857142857,0.23529411764705882,0.612012300242789,0.39047619047619053,0.2,0.2857142857142857,0.23529411764705882,0.4,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.2,0.2857142857142857,0.23529411764705882,0.612012300242789,0.39047619047619053
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['linear equations', 'modulo 2 residue class', 'system of linear equations', 'mn locks', 'evenness', 'solution']",0.5,0.75,0.6,4,6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.5,0.75,0.6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP site management', 'wireless communications', 'WML', 'HTML', 'mobile phone screens', 'readability', 'communication cost']",0.2857142857142857,0.4,0.3333333333333333,5,7,0.0,0.0,0.0,0.2857142857142857,0.4,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.659662586023637,0.41428571428571426,0.2857142857142857,0.4,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.4,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.659662586023637,0.41428571428571426
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'induction functions', 'beam', 'cantilever under different loading conditions', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.3333333333333333,0.5,0.4,8,12,0.4,0.25,0.3076923076923077,0.2,0.25,0.22222222222222224,0.3333333333333333,0.5,0.4,0.6856867532203301,0.41666666666666663,0.3333333333333333,0.5,0.4,0.4,0.25,0.3076923076923077,0.2,0.25,0.22222222222222224,0.3333333333333333,0.5,0.4,0.6856867532203301,0.41666666666666663
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'decomposition', 'q-partitioning', 'minterms', 'decomposition clone', 'simple disjunctive decomposition', 'partial functions']",0.42857142857142855,0.75,0.5454545454545454,4,7,0.4,0.5,0.4444444444444445,0.42857142857142855,0.75,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.7318094005429143,0.4464285714285714,0.42857142857142855,0.75,0.5454545454545454,0.4,0.5,0.4444444444444445,0.42857142857142855,0.75,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.7318094005429143,0.4464285714285714
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility', 'user perceptions', 'voluntariness']",0.7142857142857143,0.8333333333333334,0.7692307692307692,6,7,0.6,0.5,0.5454545454545454,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8817943410653754,0.7202380952380952,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.6,0.5,0.5454545454545454,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8817943410653754,0.7202380952380952
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'elliptic equations', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.3333333333333333,0.5,0.4,6,9,0.2,0.16666666666666666,0.1818181818181818,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented systemological method', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.375,1.0,0.5454545454545454,3,8,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375,0.375,1.0,0.5454545454545454,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'electronic government procurement system', 'Taiwan government procurement law', 'internal procurement processes', 'posting/receiving bids via the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.7,0.875,0.7777777777777777,8,10,0.4,0.25,0.3076923076923077,0.7,0.875,0.7777777777777777,0.7,0.875,0.7777777777777777,0.8750387080038736,0.7034090909090909,0.7,0.875,0.7777777777777777,0.4,0.25,0.3076923076923077,0.7,0.875,0.7777777777777777,0.7,0.875,0.7777777777777777,0.8750387080038736,0.7034090909090909
