Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['phantoms mcnp calculations', 'vivo measurements radionuclides', 'radionuclides deposited tissues', 'computation phantoms mcnp', 'tissues computed tomography']",0.0,0.0,0,27,5
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['manipulator imaging bridge', 'bridge inspection vehicle', 'crack inspection bridge', 'bridge crack inspection', 'bridge inspection']",0.2,0.125,0.15384615384615385,8,5
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['rrb matrices safe', 'problem mn locks', 'mn locks studied', 'lrb rrb matrices', 'matrices safe problem']",0.0,0.0,0,4,5
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wap site management', 'maintaining wap sites', 'intelligent wap site', 'wireless markup language', 'wap content efficient']",0.2,0.16666666666666666,0.1818181818181818,6,5
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['gradient piezoelectric cantilever', 'force piezoelectric cantilever', 'study piezoelectric cantilever', 'piezoelectric cantilever applications', 'piezoelectric cantilever']",0.0,0.0,0,9,5
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition boolean functions', 'disjunctive decomposition partial', 'simple disjunctive decomposition', 'decomposition boolean', 'disjunctive decomposition']",0.2,0.25,0.22222222222222224,4,5
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['acceptance building management', 'technology acceptance', 'user acceptance building', 'models technology acceptance', 'technology acceptance employed']",0.0,0.0,0,6,5
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal control elliptic', 'control elliptic conjugation', 'control elliptic', 'elliptic conjugation conditions', 'schemes optimal control']",0.0,0.0,0,6,5
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['object oriented systemological', 'oriented systemological method', 'object oriented design', 'oriented systemological', 'object oriented']",0.0,0.0,0,4,5
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic government procurement', 'taiwan government procurement', 'electronic tendering government', 'tendering government procurement', 'government procurement']",0.0,0.0,0,9,5
