Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['of', 'for', 'and', 'The', '.', 'in', 'to', ',', 'the', 'a']",0.0,0.0,0,27,10
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['.', ',', 'the', 'a', 'of', 'bridge', 'system', 'inspection', 'The', 'for']",0.0,0.0,0,8,10
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['on', 'of', 'possible', 'other', 'only', 'one', 'proposed', 'mn', 'n', 'residue']",0.0,0.0,0,4,10
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['the', 'WAP', '.', ',', 'to', 'system', 'with', 'be', 'of', 'for']",0.0,0.0,0,6,10
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['loading', 'its', 'order', 'on', 'of', 'obtained', 'method', 'material', 'plane', 'induction']",0.0,0.0,0,9,10
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['minterms', 'is', 'of', 'no.', 'new', 'n', 'p.', 'method', 'functions', 'in']",0.1,0.25,0.14285714285714288,4,10
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['of', 'not', 'questionnaire', 'positive', 'performance', 'perceptions', 'perceived', 'other', 'optimising', 'reported']",0.0,0.0,0,6,10
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['full', 'for', 'of', 'minimized', 'function', 'problems', 'equations', 'feasible', 'quadratic', 'finite-element']",0.0,0.0,0,6,10
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['object-oriented', 'no.', 'paper', 'p.15-18', 'on', 'of', 'objects', 'procedure', 'it', 'hierarchy']",0.0,0.0,0,4,10
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","[',', 'government', 'procurement', 'electronic', 'and', 'system', 'the', 'online', 'of', 'a']",0.0,0.0,0,9,10
