Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['high-fidelity finite element model', 'kidney', 'trauma research', 'National Library of Medicine', 'image segmentation', 'organ reconstruction', 'software package', '2D VHF images', '3D polygonal representation', 'NURBS', 'polygonal surfaces', '3D hexahedral finite element mesh', 'hyperelastic material model', 'biological soft tissues', 'biomechanical research', 'Visible Human Female project', 'medical data set', 'physically based animation', 'nonuniform rational B-spline surfaces', 'viscoelastic model']","['finite element model', 'trauma research', 'National Library of Medicine', 'Visible Human Female', 'image segmentation', 'organ reconstruction', 'meshing software', 'biomechanical research', '']",0.5555555555555556,0.25,0.3448275862068966,20,9
"['hybrid simulation', 'space plasmas', 'massless fluid representation', 'Kelvin-Helmholtz instability', 'transition layer', 'tangential discontinuity', 'pressure anisotropy', 'electromagnetic hybrid model', 'three-dimensional hybrid simulation', 'magnetopause shear layer', 'field reversal layer', 'magnetized plasma flow', 'cylindrical plasma source']","['hybrid simulation', 'Kelvin-Helmholtz instability', 'survey', 'literature', 'simulation', 'numerical schemes', 'particles', 'fluid', 'electromagnetic', 'magnetic field', 'plasma', 'jet', 'cylindrical plasma source']",0.23076923076923078,0.23076923076923078,0.23076923076923078,13,13
"['freely available Java software', 'database connectivity', 'images', 'detailed story problems', 'feedback', 'multiple-choice questions', 'menu selections', 'button presses', 'individual pedagogical needs', 'online Homework/Quiz/Exam applet', 'online student performance evaluation', 'teacher authored content', 'automatic student score recording', 'randomized question sequence', 'question editing', 'question creation', 'typing content']","['Java', 'database connectivity', 'student performance', 'feedback', 'open source', 'modifications', '']",0.2857142857142857,0.11764705882352941,0.16666666666666666,17,7
"['information technology investments', 'technology managers', 'information requirements', 'intangible benefits', 'risks factors', 'evaluation categories', 'selection decision', 'tradeoffs', 'decision maker', 'analytic hierarchy process', 'hybrid multiple objective multi-criteria model', 'goal programming methodology', 'zero-one integer variables', 'mixed integer constraints', 'goal target values', 'information technology alternatives', 'pairwise comparison mechanisms', 'nonmonetary benefits', 'group decision process']","['information technology', 'evaluation', 'selection', 'models', 'benefits', 'risks', 'categories', 'models', 'goal programming', 'integer variables', 'mixed integer constraints', 'AHP', 'goal target values', 'information technology alternatives']",0.21428571428571427,0.15789473684210525,0.18181818181818182,19,14
"['Microsoft Project 2002', 'Web-based collaboration tools', 'scalability', 'OLAP support', 'workgroups', 'budgets', 'multiple Web project management']","['Microsoft Project 2002', 'Web-based collaboration tools', 'OLAP support', 'project managers', 'Web projects', 'workgroups', 'budgets', '']",0.625,0.7142857142857143,0.6666666666666666,7,8
"['quality image metrics', 'synthetic images', 'perceptual color differences', 'image rendering', 'color images', 'perceptually based metrics', 'visual quality', 'digital simulations', 'LLAB color space', 'CIELab1976 color space', 'pixel by pixel metric', 'local distance map', 'global value', 'recursive subdivision', 'adaptative distance map']","['image rendering', 'quantitative comparisons', 'synthetic color images', 'perceptually based metrics', 'objective image quality metric', 'LLAB color space', 'CIELab1976 color space', 'local distance map', 'global value', 'recursive subdivision', 'adaptative distance map']",0.7272727272727273,0.5333333333333333,0.6153846153846153,15,11
"['Boolean algebras', 'prescribed behaviour', 'free product', 'ZFC', 'ultraproducts', 'homomorphic images', 'cardinal invariants']","['Boolean algebras', 'ZFC', 'pcf', 'ultraproducts', 'homomorphic images', 'topology', 'cardinalities']",0.5714285714285714,0.5714285714285714,0.5714285714285714,7,7
"['polynomial equations', 'Bezout matrix identities', 'constructive system embedding', 'Euclidean algorithm', 'determinate systems']","['polynomial equations', 'Bezout matrix identities', 'constructive system embedding', 'Euclidean algorithm', 'substitutions', 'descriptive examples']",0.6666666666666666,0.8,0.7272727272727272,5,6
"['MEMS', 'computer disk drive dual-stage servo systems', 'decoupled discrete time pole placement design method', 'self-tuning scheme', 'microactuator', 'track-following controller design', 'servo control', 'hard disk drives', 'electrostatic design', 'fabrication process']","['decoupled discrete time pole placement', 'microactuator', 'gimbal structure', 'decoupled track-following controller', 'self-tuning control', 'resonance mode variations']",0.16666666666666666,0.1,0.125,10,6
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']","['dynamical behavior', 'recurrent bus', 'circular route', 'bus stops', 'nonlinear map', 'periodic behaviors', 'dynamical transitions', 'attractor', '']",0.4444444444444444,0.4444444444444444,0.4444444444444444,9,9
"['rapid microwell polymerase chain reaction', 'ultrathin-layer gel electrophoresis', 'large-scale genotyping', 'expression profiling', 'DNA amplification', 'reagent consumption', 'sample loading robots', 'computerized real time data analysis', 'automated microseparation', 'complexation with ethidium bromide', 'real time imaging', 'rapid high-performance analysis', 'automated electrophoresis analysis', 'integrated scanning LIF APD detection']","['affordable', 'fully automated', 'high-throughput', 'rapid', 'high-performance', 'analysis', 'reagents', 'minute quantities', 'total reaction volume', '0.75-1 mu L', 'time requirement', 'PCR', '15-20 min', 'submicroliter size', 'PCR reaction', 'loading robots', 'computerized real time data analysis', 'sample loading', 'aliquots', '0.2 mu L', 'ultrathin-layer gel electroph']",0.047619047619047616,0.07142857142857142,0.057142857142857134,14,21
"['Internet activity', 'national governments', 'online activities', 'legal jurisdiction', 'lawsuits', 'Internet treaties', 'public order protection', 'commercial laws enforcement', 'consumer interests protection', 'Internet sites blocking']","['internet', 'governments', 'control', 'online activities', 'legal jurisdiction', 'commercial laws', 'public order', 'blocking', 'sites', 'service providers', 'domains', 'lawsuits', 'libel', 'treaties']",0.21428571428571427,0.3,0.25,10,14
"['strategic stocks', 'materials requirements planning', 'MRP', 'market demand', 'service level', 'peak demand', 'safety stocks', 'inventory management', 'variance control', 'stock replenishment']","['materials requirements planning', 'MRP', 'uncertainty in market demand', 'safety stocks', 'strategic stocks', 'stock positioning', 'replenishment order triggering', 'simulation', 'case study', 'service level', 'peak demand conditions']",0.45454545454545453,0.5,0.47619047619047616,10,11
"['internship program', 'IBM business managers', 'MBA college students', 'computer-science students', 'patents']","['computer-science', 'MBA', 'summer internship', 'innovative technology', 'business managers']",0.0,0.0,0,5,5
