Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['high-fidelity finite element model', 'kidney', 'trauma research', 'National Library of Medicine', 'image segmentation', 'organ reconstruction', 'software package', '2D VHF images', '3D polygonal representation', 'NURBS', 'polygonal surfaces', '3D hexahedral finite element mesh', 'hyperelastic material model', 'biological soft tissues', 'biomechanical research', 'Visible Human Female project', 'medical data set', 'physically based animation', 'nonuniform rational B-spline surfaces', 'viscoelastic model']","['3D', 'polygonal representation', 'image segmentation', 'organ reconstruction', 'finite element mesh', 'viscoelastic', 'hyperelastic', 'material model', 'biomechanical research']",0.3333333333333333,0.15,0.20689655172413793,20,9
"['hybrid simulation', 'space plasmas', 'massless fluid representation', 'Kelvin-Helmholtz instability', 'transition layer', 'tangential discontinuity', 'pressure anisotropy', 'electromagnetic hybrid model', 'three-dimensional hybrid simulation', 'magnetopause shear layer', 'field reversal layer', 'magnetized plasma flow', 'cylindrical plasma source']",['Sure'],0.0,0.0,0,13,1
"['freely available Java software', 'database connectivity', 'images', 'detailed story problems', 'feedback', 'multiple-choice questions', 'menu selections', 'button presses', 'individual pedagogical needs', 'online Homework/Quiz/Exam applet', 'online student performance evaluation', 'teacher authored content', 'automatic student score recording', 'randomized question sequence', 'question editing', 'question creation', 'typing content']",[],0,0.0,0,17,0
"['information technology investments', 'technology managers', 'information requirements', 'intangible benefits', 'risks factors', 'evaluation categories', 'selection decision', 'tradeoffs', 'decision maker', 'analytic hierarchy process', 'hybrid multiple objective multi-criteria model', 'goal programming methodology', 'zero-one integer variables', 'mixed integer constraints', 'goal target values', 'information technology alternatives', 'pairwise comparison mechanisms', 'nonmonetary benefits', 'group decision process']","['Information technology', 'evaluation', 'selection', 'models', 'categories', 'advantages', 'disadvantages', 'inputs', 'tradeoffs', 'conflicting factors', 'methodology', 'goal programming', 'integer variables', 'mixed integer constraints', 'AHP', 'goal target values', 'data', 'structure', 'subjective', 'nonmonetary', 'intangible benefits', 'risks', 'factors', 'case illustration', 'GAHP']",0.16,0.21052631578947367,0.1818181818181818,19,25
"['Microsoft Project 2002', 'Web-based collaboration tools', 'scalability', 'OLAP support', 'workgroups', 'budgets', 'multiple Web project management']",[],0,0.0,0,7,0
"['quality image metrics', 'synthetic images', 'perceptual color differences', 'image rendering', 'color images', 'perceptually based metrics', 'visual quality', 'digital simulations', 'LLAB color space', 'CIELab1976 color space', 'pixel by pixel metric', 'local distance map', 'global value', 'recursive subdivision', 'adaptative distance map']","['image rendering', 'quantitative comparisons', 'digital simulations', 'LLAB color space', 'CIELab1976', 'pixel by pixel metric', 'global value', 'recursive subdivision']",0.75,0.4,0.5217391304347827,15,8
"['Boolean algebras', 'prescribed behaviour', 'free product', 'ZFC', 'ultraproducts', 'homomorphic images', 'cardinal invariants']",[],0,0.0,0,7,0
"['polynomial equations', 'Bezout matrix identities', 'constructive system embedding', 'Euclidean algorithm', 'determinate systems']",[],0,0.0,0,5,0
"['MEMS', 'computer disk drive dual-stage servo systems', 'decoupled discrete time pole placement design method', 'self-tuning scheme', 'microactuator', 'track-following controller design', 'servo control', 'hard disk drives', 'electrostatic design', 'fabrication process']","['decoupled discrete time pole placement design', 'microactuator', 'self-tuning scheme', 'decoupled track-following controller design']",0.5,0.2,0.28571428571428575,10,4
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']",[],0,0.0,0,9,0
"['rapid microwell polymerase chain reaction', 'ultrathin-layer gel electrophoresis', 'large-scale genotyping', 'expression profiling', 'DNA amplification', 'reagent consumption', 'sample loading robots', 'computerized real time data analysis', 'automated microseparation', 'complexation with ethidium bromide', 'real time imaging', 'rapid high-performance analysis', 'automated electrophoresis analysis', 'integrated scanning LIF APD detection']","['Affordable', 'fully automated high-throughput devices', 'rapid', 'high-performance analysis', 'minute quantities of reagents', 'microwell polymerase chain reaction (PCR)', 'automated ultrathin-layer gel electrophoresis', 'computerized real time data analysis', 'sample loading robots', 'integrated scanning laser-induced fluorescence-avalanche photodiode detection', 'conventional slab and capillary gel electrophoresis', 'visual']",0.16666666666666666,0.14285714285714285,0.15384615384615383,14,12
"['Internet activity', 'national governments', 'online activities', 'legal jurisdiction', 'lawsuits', 'Internet treaties', 'public order protection', 'commercial laws enforcement', 'consumer interests protection', 'Internet sites blocking']","['Internet', 'control', 'online activities', 'governments', 'laws', 'jurisdiction', 'sites', 'service providers', 'domains', 'companies', 'resources', 'lawsuits', 'libel', 'treaties']",0.14285714285714285,0.2,0.16666666666666666,10,14
"['strategic stocks', 'materials requirements planning', 'MRP', 'market demand', 'service level', 'peak demand', 'safety stocks', 'inventory management', 'variance control', 'stock replenishment']",[],0,0.0,0,10,0
"['internship program', 'IBM business managers', 'MBA college students', 'computer-science students', 'patents']",[],0,0.0,0,5,0
"['randomized two-process wait-free test-and-set', 'randomized algorithm', '4-valued single writer single reader atomic variables', 'expected elementary steps', 'finite-state analysis', 'correctness proofs', 'symmetry breaking', 'asynchronous distributed protocols', 'fault-tolerance', 'shared memory', 'wait-free read/write registers']",[],0,0.0,0,11,0
"['online auctions', 'dynamic pricing', 'lodging industry', 'overnight accommodations', 'Web site scripting', 'online intermediaries', 'specialty brokers', 'Internet usage', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['Web site scripting', 'online intermediaries', 'specialty brokers', 'Web-enabled companies', 'dynamic pricing', 'Internet based mediums', 'traditional pricing models', 'dynamic pricing model', 'efficient market pricing']",0.4444444444444444,0.2857142857142857,0.34782608695652173,14,9
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'moment function', 'canonical decomposition apparatus']",[],0,0.0,0,6,0
"['network security', 'international standards', 'IS 15408', 'business risk management', 'IS 17799', 'microcomputer', 'personal computer', 'MULTICS', 'education', 'Web', 'Internet-based information services', 'information systems management', 'computer security', 'trusted systems', 'trustworthy systems', 'IT manufacturers', 'large scale information systems', 'fourth generation computer professionals', 'information systems control']",[],0,0.0,0,19,0
"['social impact', 'Internet gambling', 'market opportunities', 'addiction', 'technological developments', 'electronic cash', 'psychology']","['Internet gambling', 'technological developments', 'social concerns', 'problem gambling', 'empirical studies']",0.4,0.2857142857142857,0.3333333333333333,7,5
"['insider investment', 'telecom industry']",[],0,0.0,0,2,0
"['fault-tolerant Hamiltonian laceability', 'hypercubes', 'bipartite graph', 'Hamiltonian path', 'vertices', 'partite sets', 'edge subset', 'tight bounds']",[],0,0.0,0,8,0
"['internal theory', 'inductive design process', 'bottom-up design activities', 'emergent phenomena', 'user experiences', 'constructive induction', 'information architecture design']","['Information Architecture', 'inductive process', 'user attributes', 'available content', 'internal theory', 'emergent phenomena', 'Constructive Induction', 'CI', 'design problem', 'representational framework', 'solution', 'design problem at hand']",0.16666666666666666,0.2857142857142857,0.2105263157894737,7,12
"['trademark dispute', 'Uzi Nissan', 'nissan.com Internet domain name', 'global Internet', 'trademark law', 'Nissan Motor Company trademark']",[],0,0.0,0,6,0
"['digital-to-analog converter', 'differential-quad switching', 'direct digital modulation', 'CMOS technology', 'signal-to-noise ratio', '1.5 V', 'high-conversion-rate DAC', 'high-resolution DAC', 'oversampling DAC', 'SNR', '0.8 micron']","['Sure', 'digital-to-analog converter', 'direct digital modulation', 'switching scheme', 'differential-quad switching', 'CMOS technology', 'supply voltage', 'low-voltage applications']",0.5,0.36363636363636365,0.4210526315789474,11,8
"['diffraction limit', 'circular mask', 'mask', 'periodic rectangular apertures array', 'periodic rectangular apertures', 'periodic apertures', 'pinhole cameras', 'coded imaging systems', 'optical information processing', 'high resolution', 'infinite depth of focus', 'broad frequency spectra', 'visible light', 'gamma rays', 'far-field diffraction', 'single aperture', 'far-field diffraction formula', 'multiaperture mask', 'near-field diffraction', 'convolution', 'circular mask diffraction', 'arbitrarily shaped apertures', 'x rays']",[],0,0.0,0,23,0
"['intestinal microflora', 'host-microflora interactions', 'human intestines', 'molecular methods', 'quantitative theory', 'observing power', 'MIMICS project', 'system complexity', 'microbial ecology', 'parallel computing', 'complex microbial ecosystem']",[],0,0.0,0,11,0
"['equilibrium model', 'industry evolution', 'life-cycle models', 'technological change', 'industry dynamics', 'personal computer market', 'microelectronics', 'PC industry', 'production cost']",[],0,0.0,0,9,0
