Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['A new graphical user interface for fast construction of computation phantoms and MCNP calculations : application to calibration of in vivo measurement systems', 'Reports on a new utility for development of computational phantoms for Monte Carlo calculations and data analysis for in vivo measurements of radionuclides deposited in tissues', 'The individual properties of each worker can be acquired for a rather precise geometric representation of his -LRB- her -RRB- anatomy', 'which is particularly important for low energy gamma ray emitting sources such']",0.0,0.0,0,25,4
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'bridge safety inspections', 'eyesight inspection', 'preliminary evaluation', 'precise inspection', 'inspection for cracks', 'inspector', 'bridge inspection vehicle', 'temporarily erected scaffolding', 'bridge', 'CCD cameras', 'four-axis manipulator system', 'parallel cameras', 'detect cracks', 'manipulator system', 'binocular charge coupled devices', 'CCD', 'arms', 'center of gravity', 'operation', 'mechanically', 'arms']",0.13043478260869565,0.42857142857142855,0.2,7,23
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'linear equations', 'modulo 2 residue class', 'evenness', 'initial state of the safe', 'correction of the initial state of the safe', 'insuring a solution']",0.42857142857142855,0.75,0.5454545454545454,4,7
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['I-WAP', 'wireless communications', 'wireless markup language', 'WML', 'hypertext markup language', 'HTML', 'WAP users', 'mobile phone screens', 'WAP sites', 'WAP content', 'WAP management system', 'communication cost', 'mobile phone screens', 'WAP users', 'mobile phone screens', 'WAP sites', 'WAP content', 'WAP management system', 'communication cost', 'mobile phone screens', 'WAP users', 'mobile phone screens', 'WAP sites', 'WAP content', 'WAP management system', 'communication cost']",0.11538461538461539,0.6,0.1935483870967742,5,26
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory of transversely isotropic bodies', 'general solution of a density functionally gradient piezoelectric cantilever', 'Airy stress function method', 'tip deflection and blocking force of a piezoelectric cantilever actuator']",0.0,0.0,0,8,5
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",['no. 6'],0.0,0.0,0,4,1
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling', 'user acceptance', 'building management systems', 'BMS', 'optimising', 'building performance', 'technology acceptance', 'perceived ease of use', 'compatibility']",0.2222222222222222,0.3333333333333333,0.26666666666666666,6,9
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['computational finite-element schemes', 'elliptic system', 'conjugation conditions', 'elliptic equations', 'quadratic minimized function', 'highly accurate computational discretization schemes', 'Hilbert space', 'controls']",0.25,0.3333333333333333,0.28571428571428575,6,8
"['systemological analysis', 'formal system representation', 'axiomatics']","['A new method of systemological analysis coordinated with the procedure of object-oriented design', 'object-oriented systemological method', 'complex systems', 'formal system representation', 'axiomatics of the calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'formalized NFO/UFO analysis algorithm']",0.125,0.3333333333333333,0.18181818181818182,3,8
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'electronic government procurement system', 'information infrastructures', 'electronic devices', 'online bidding', 'online payment', 'contract development tools', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet', 'Internet']",0.11627906976744186,0.625,0.19607843137254904,8,43
