Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['low', 'user', 'interface', 'fast', 'graphical', 'mcnp', 'measurement', 'energy', 'systems', 'graphical', 'construction', 'utility', 'input', 'new', 'vivo', 'creation', 'reports', 'user', 'development', 'interface', 'low', 'gamma', 'vivo', 'energy', 'important', 'analysis', 'new', 'calibration', 'creation', 'fast', 'energy', 'measurement', 'new', 'emitters', 'mcnp', 'vivo', 'data', 'data', 'individual', 'automatic', 'computational', 'computation', 'important', 'utility', 'systems', 'graphical', 'reports', 'user', 'properties', 'new', 'magnetic', 'low', 'construction', 'energy', 'voxels', 'new', 'development', 'application', 'low', 'measurements', 'input', 'individual', 'geometric', 'resonance', 'such', 'automatic', 'sources', 'precise', 'data', 'analysis', 'important', 'calibration', 'coupling', 'graphical', 'systems', 'automatic', 'creation', 'individual', 'low', 'individual', 'fast', 'mcnp', 'specification', 'vivo', 'vivo', 'coupling', 'precise', 'magnetic', 'segmentation', 'other', 'biological', 'calculational', 'memory', '-rrb-', 'mcnp', 'utility', 'new', 'data', 'measurement', 'calibration', 'application', 'important', 'sources', 'interface', 'new']",0.009523809523809525,0.037037037037037035,0.015151515151515154,27,105
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['bridge', 'crack', 'mobile', 'manipulator', 'imaging', 'system', 'inspection', 'bridge', 'mobile', 'manipulator', 'imaging', 'inspection', 'manipulator', 'system', 'system', 'crack', 'bridge', 'part', 'mobile', 'manipulator', 'imaging', 'preliminary', 'platform', 'automation', 'axis', 'mobile', 'important', 'inspection', 'inspection', 'crack', 'useful', 'accidents', 'development', 'inspection', 'crack', 'manipulator', 'development', 'system', 'system', 'platform', 'part', 'automation', 'bridge', 'center', 'danger', 'axis', 'crack', 'bridge', 'gravity', 'safety', 'human', 'bridge', 'bridge', 'important', 'useful', 'manipulator', 'imaging', 'important', 'platform', 'manipulator', 'development', 'mobile', 'accidents', 'automation', 'underside', 'bridge', 'ends', 'bridge', 'inspection', 'precise', 'ccd', 'eyesight', 'parallel', 'binocular', 'balance', 'axis', 'useful', 'accessible', 'center', 'crack', 'bridge', 'danger', 'inspection']",0.012048192771084338,0.125,0.021978021978021976,8,83
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe', 'initial', 'linear', 'equations', 'system', 'matrices', 'correction', 'state', 'solution', 'correction', 'solution', 'system', 'residue', 'possible', 'other', 'linear', 'matrices', 'initial']",0.0,0.0,0,4,18
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['management', 'proper', 'pages', 'wap', 'content', 'mobile', 'wml', 'intelligent', '-rrb-', 'pages', 'phone', 'site', 'proper', 'proper', 'efficient', 'wap', 'size', '-rrb-', 'help', 'system', 'mobile', 'site', 'content', 'help', 'pages', 'markup', 'size', 'intelligent', 'proper', 'more', 'wap', 'management', '-rrb-', 'wireless', '-rrb-', 'wap', 'help', 'size', 'original', 'relevance', 'wireless', 'more', 'various', 'numerical', 'communication', 'meaningless', 'system', 'wireless', 'web', 'manpower', 'considerable', 'pc', 'most', 'effective', 'site', 'proper']",0.0,0.0,0,6,56
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['general', 'piezoelectric', 'different', 'cantilever', 'functions', 'cantilever', 'loading', 'force', 'solution', 'force', 'solution', 'solutions', 'cantilever', 'different', 'form', 'piezoelectric', 'solution', 'gradient', 'density', 'distribution', 'stress', 'airy', 'plane', 'induction', 'strain', 'applications', 'general', 'gradient', 'force', 'applications', 'induction', 'general', 'cantilever', 'general', 'density', 'plane', 'airy', 'tip', 'piezoelectric', 'inverse', 'isotropic', 'solutions', 'functions']",0.0,0.0,0,9,43
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['disjunctive', 'simple', 'approach', 'functions', 'decomposition', 'simple', 'boolean', 'theorem', 'decomposition', 'method', 'new', 'theorem', 'disjunctive', 'new', 'approach', 'theorem', 'boolean', 'concept', 'decomposition', 'partitioning', 'decomposition', 'n', 'various', 'partial', 'functions', 'simple']",0.0,0.0,0,4,26
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user', 'ease', 'influence', 'perceptions', 'use', 'relative', 'influence', 'user', 'positive', 'other', 'use', 'positive', 'management', 'models', 'technology', 'ease', 'perceptions', 'perceptions', 'systems', 'relative', 'positive', 'models', 'user', 'levels', 'questionnaire', 'building', 'full', 'previous', 'management', 'use', 'user', 'user', 'ease', 'influence']",0.0,0.0,0,6,34
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal', 'conditions', 'conjugation', 'new', 'system', 'conditions', 'conjugation', 'new', 'elliptic', 'system', 'control', 'conditions', 'optimal', 'computational', 'schemes', 'control', 'conjugation', 'equations', 'elliptic', 'new', 'conjugate', 'discretization', 'element', 'elliptic', 'accurate', 'system', 'conjugation', 'elliptic', 'control', 'conditions', 'schemes', 'equations', 'accurate', 'computational', 'minimized', 'full', 'hilbert', 'elliptic', 'element', 'quadratic', 'optimal', 'conjugation', 'optimal', 'elliptic', 'element', 'accurate', 'full', 'quadratic', 'feasible', 'computational', 'elliptic', 'system']",0.0,0.0,0,6,52
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['calculus', 'method', 'systems', 'systemological', 'new', 'functional', 'method', 'development', 'axiomatics', 'systems', 'results', 'class', 'formal', 'object', 'system', 'new', 'calculus', 'new', 'formal', 'object', 'procedure', 'type', 'formalized', 'case', 'complex', 'systemological', 'axiomatics', 'calculus', 'results']",0.034482758620689655,0.25,0.0606060606060606,4,29
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government', 'procurement', 'tendering', 'electronic', 'government', 'electronic', 'internal', 'system', 'electronic', 'electronic', 'procurement', 'procurement', 'framework', 'reengineers', 'electronic', 'framework', 'tendering', 'government', 'internal', 'reengineers', 'procurement', 'development', 'contract', 'procurement', 'electronic', 'electronic', 'bids', 'reengineers', 'contract', 'government', 'request', 'certificate', 'online', 'online', 'information', 'vendor', 'government', 'electronic', 'government', 'framework']",0.0,0.0,0,9,40
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['complex', 'basis', 'systems', 'admissible', 'estimation', 'states', 'fuzzy', 'fuzzy', 'measurement', 'information', 'values', 'identification', 'errors', 'degree', 'problem', 'fuzzy', 'states', 'systems', 'complex', 'estimation', 'admissible', 'set', 'measurement', 'informative', 'admissible', 'apparatus', 'fuzzy', 'fuzzy', 'systems', 'identification', 'measurement', 'basis', 'basis', 'values', 'admissible', 'degree', 'apparatus', 'state', 'fuzzy', 'current', 'information', 'identification', 'admissible', 'apparatus', 'admissible', 'fuzzy', 'complex', 'estimation', 'current', 'errors', 'complex', 'systems', 'states', 'basis', 'fuzzy', 'systems', 'problem', 'basis']",0.0,0.0,0,5,58
"['linear algebraic equations', 'numerical system']","['linear', 'algebraic', 'systems', 'linear', 'solution', 'system', 'equations', 'special', 'numerical', 'systems', 'system', 'algebraic', 'system', 'method', 'numerical', 'solution', 'system', 'linear', 'numerical', 'system', 'systems', 'dimensional', 'solution', 'method', 'solution']",0.0,0.0,0,2,25
"['building management systems', 'bms', 'facilities management systems', 'fms', 'database integration', 'internet protocols', 'embedded web server', 'pc web server', 'distributed component object model', 'dcom', 'software development technology', 'open control network']","['open', 'control', 'local', 'development', 'facilities', 'networks', 'technology', 'networks', 'software', 'control', 'platform', 'bms', 'management', 'platform', 'development', 'control', 'management', 'local', 'web', 'open', 'bms', 'software', 'open', 'building', 'management', 'object', 'component', 'pc', 'facilities', 'software', 'platform', 'open', 'bms', 'facilities', 'integration', 'pc', 'building', 'component', 'internet', 'database', 'technical', 'great', 'experimental']",0.023255813953488372,0.08333333333333333,0.03636363636363636,12,43
"['collective dose calculations', 'facility operations', 'public', 'geographic information system software', 'electronic population data resources', 'personal computer']","['collective', 'dose', 'calculations', 'collective', 'information', 'population', 'dose', 'effects', 'data', 'electronic', 'system', 'geographic', 'facility', 'populations', 'calculations', 'populations', 'estimate', 'operations', 'information', 'electronic', 'population', 'geographic', 'dose', 'collective', 'populations', 'facility', 'estimate', 'electronic', 'effects', 'population', 'geographic', 'estimates', 'personal', 'km', 'estimate', 'collective']",0.0,0.0,0,6,36
"['accelerated simulation', 'numerical examples']","['accelerated', 'general', 'simulation', 'systems', 'general', 'method', 'accelerated', 'systems', 'markovian', 'simulation', 'general', 'class', 'markovian', 'systems', 'accelerated', 'state', 'investigation', 'systems', 'availability', 'markovian', 'evaluation', 'general', 'state', 'numerical', 'systems', 'simulation', 'class', 'investigation', 'method', 'markovian']",0.0,0.0,0,2,30
"['descriptological foundations', 'programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['set', 'concept', 'abstraction', 'intensional', 'descriptological', 'bipolar', 'complete', 'abstraction', 'explication', 'concept', 'descriptological', 'set', 'elimination', 'extraction', 'concept', 'level', 'foundations', 'descriptive', 'bipole', 'complete', 'concept', 'intensional', 'intensional', 'complete', 'abstraction', 'concept', 'descriptological', 'operations', 'abstraction', 'extraction', 'explication', 'elimination']",0.0,0.0,0,6,32
"['linear constraints', 'set of natural numbers', 'linear diophantine equations', 'strict inequations', 'nonstrict inequations', 'upper bounds', 'minimal generating sets']","['minimal', 'generating', 'numbers', 'natural', 'construction', 'criteria', 'sets', 'linear', 'linear', 'set', 'systems', 'system', 'constraints', 'construction', 'compatibility', 'solutions', 'natural', 'bounds', 'algorithms', 'compatibility', 'minimal', 'minimal', 'diophantine', 'components', 'types', 'set', 'systems', 'generating', 'system', 'numbers', 'set', 'linear', 'upper', 'mixed', 'systems', 'compatibility', 'algorithms', 'set', 'linear', 'minimal', 'construction', 'components', 'system', 'natural', 'systems', 'upper', 'minimal', 'strict', 'corresponding', 'constraints', 'solutions', 'sets', 'algorithms', 'bounds', 'compatibility', 'criteria', 'compatibility']",0.0,0.0,0,7,57
"['recurring issues', 'changing practices']","['print', 'decades', 'new', 'half', 'new', 'materials', 'materials', 'entire', 'materials', 'half', 'years', 'gaps', 'entire', 'print', 'missing', 'weak', 'strong', 'new', 'print']",0.0,0.0,0,2,19
"['mathematical fundamentals', 'fuzzy bayesian inference techniques', 'pseudofuzzy quantities']","['fuzzy', 'bayesian', 'inference', 'bayesian', 'realization', 'concepts', 'bayesian', 'techniques', 'operations', 'concepts', 'pseudofuzzy', 'fuzzy', 'inference', 'main', 'principal', 'decision', 'practical', 'bayesian', 'case', 'realization', 'operations', 'bayesian', 'fuzzy', 'making', 'approach', 'fuzzy', 'bayesian', 'fuzzy', 'bayesian', 'main', 'practical', 'principal', 'principal', 'realization', 'concepts', 'main', 'fuzzy', 'bayesian', 'case', 'mathematical', 'basic', 'ponens', 'concept', 'practical', 'making']",0.0,0.0,0,3,45
