Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['low', 'user', 'interface', 'fast', 'graphical', 'systems', 'mcnp', 'measurement', 'energy', 'graphical', 'utility', 'construction', 'input', 'new', 'vivo', 'interface', 'low', 'user', 'development', 'reports', 'creation', 'creation', 'vivo', 'energy', 'gamma', 'fast', 'mcnp', 'new', 'measurement', 'energy', 'vivo', 'user', 'emitters', 'important', 'new', 'analysis', 'calibration', 'new', 'low', 'graphical', 'reports', 'graphical', 'computation', 'computational', 'data', 'data', 'automatic', 'individual', 'development', 'new', 'energy', 'construction', 'creation', 'automatic', 'systems', 'low', 'input', 'properties', 'voxels', 'magnetic', 'utility', 'important', 'systems', 'low', 'fast', 'measurements', 'application', 'vivo', 'mcnp', 'individual', 'individual', 'important', 'geometric', 'individual', 'resonance', 'vivo', 'coupling', 'magnetic', 'precise', 'specification', 'data', 'analysis', 'automatic', 'calibration', 'new', 'important', 'segmentation', 'precise', 'coupling', 'sources', 'such', 'new', 'interface', 'calibration', 'measurement', 'data', 'utility', 'other', 'mcnp', 'memory', 'calculational', '-rrb-', 'biological', 'application', 'sources']",0.009523809523809525,0.037037037037037035,0.015151515151515154,27,105
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['bridge', 'crack', 'mobile', 'manipulator', 'imaging', 'system', 'bridge', 'mobile', 'inspection', 'manipulator', 'imaging', 'manipulator', 'system', 'inspection', 'mobile', 'crack', 'manipulator', 'imaging', 'system', 'bridge', 'platform', 'preliminary', 'system', 'automation', 'part', 'mobile', 'imaging', 'manipulator', 'system', 'platform', 'development', 'part', 'inspection', 'crack', 'inspection', 'mobile', 'axis', 'inspection', 'important', 'crack', 'automation', 'development', 'manipulator', 'important', 'platform', 'axis', 'bridge', 'bridge', 'crack', 'manipulator', 'automation', 'gravity', 'center', 'danger', 'useful', 'accidents', 'development', 'bridge', 'accidents', 'bridge', 'bridge', 'human', 'safety', 'bridge', 'underside', 'useful', 'important', 'bridge', 'inspection', 'crack', 'ends', 'inspection', 'useful', 'axis', 'balance', 'binocular', 'parallel', 'ccd', 'eyesight', 'precise', 'center', 'danger', 'accessible']",0.012048192771084338,0.125,0.021978021978021976,8,83
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe', 'initial', 'linear', 'solution', 'correction', 'system', 'solution', 'equations', 'correction', 'matrices', 'system', 'state', 'residue', 'possible', 'other', 'matrices', 'linear', 'initial']",0.0,0.0,0,4,18
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['management', 'proper', 'pages', 'wap', 'mobile', 'content', 'intelligent', 'wml', '-rrb-', 'site', 'mobile', 'proper', 'site', 'phone', 'pages', 'pages', '-rrb-', 'help', 'content', 'efficient', 'proper', 'size', 'help', 'wap', 'intelligent', 'proper', 'markup', 'wap', '-rrb-', 'size', 'size', 'system', 'help', '-rrb-', 'more', 'wap', 'wireless', 'more', 'original', 'management', 'relevance', 'wireless', 'proper', 'site', 'meaningless', 'communication', 'system', 'various', 'numerical', 'considerable', 'web', 'manpower', 'pc', 'most', 'wireless', 'effective']",0.0,0.0,0,6,56
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['general', 'piezoelectric', 'different', 'solution', 'functions', 'general', 'cantilever', 'force', 'cantilever', 'loading', 'cantilever', 'force', 'gradient', 'piezoelectric', 'different', 'solutions', 'solution', 'cantilever', 'solution', 'form', 'force', 'induction', 'general', 'applications', 'distribution', 'gradient', 'plane', 'strain', 'density', 'airy', 'stress', 'induction', 'general', 'density', 'plane', 'airy', 'applications', 'tip', 'piezoelectric', 'inverse', 'isotropic', 'solutions', 'functions']",0.0,0.0,0,9,43
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['disjunctive', 'approach', 'simple', 'simple', 'functions', 'new', 'method', 'decomposition', 'boolean', 'new', 'theorem', 'theorem', 'decomposition', 'approach', 'boolean', 'decomposition', 'concept', 'disjunctive', 'theorem', 'decomposition', 'partitioning', 'simple', 'n', 'various', 'partial', 'functions']",0.0,0.0,0,4,26
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user', 'ease', 'influence', 'perceptions', 'use', 'relative', 'influence', 'user', 'positive', 'other', 'positive', 'management', 'use', 'positive', 'models', 'technology', 'models', 'user', 'ease', 'relative', 'perceptions', 'levels', 'perceptions', 'systems', 'use', 'user', 'ease', 'influence', 'questionnaire', 'building', 'full', 'previous', 'management', 'user']",0.0,0.0,0,6,34
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal', 'conditions', 'conjugation', 'new', 'system', 'new', 'conjugation', 'conditions', 'elliptic', 'system', 'conditions', 'control', 'optimal', 'new', 'conjugation', 'conditions', 'conjugation', 'computational', 'elliptic', 'conjugation', 'elliptic', 'schemes', 'control', 'equations', 'control', 'system', 'conjugate', 'element', 'discretization', 'elliptic', 'equations', 'schemes', 'optimal', 'computational', 'accurate', 'elliptic', 'element', 'accurate', 'accurate', 'minimized', 'full', 'hilbert', 'quadratic', 'full', 'optimal', 'element', 'elliptic', 'elliptic', 'system', 'quadratic', 'feasible', 'computational']",0.0,0.0,0,6,52
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['calculus', 'method', 'systems', 'systemological', 'new', 'functional', 'method', 'systems', 'development', 'axiomatics', 'new', 'results', 'class', 'object', 'formal', 'system', 'formal', 'object', 'new', 'calculus', 'procedure', 'calculus', 'type', 'formalized', 'case', 'complex', 'systemological', 'axiomatics', 'results']",0.034482758620689655,0.25,0.0606060606060606,4,29
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government', 'procurement', 'government', 'tendering', 'electronic', 'electronic', 'electronic', 'electronic', 'system', 'internal', 'electronic', 'procurement', 'government', 'electronic', 'procurement', 'tendering', 'framework', 'reengineers', 'internal', 'electronic', 'framework', 'reengineers', 'reengineers', 'development', 'procurement', 'contract', 'government', 'contract', 'bids', 'request', 'procurement', 'framework', 'government', 'vendor', 'certificate', 'electronic', 'online', 'online', 'information', 'government']",0.0,0.0,0,9,40
