Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['creation', 'graphical', 'systems', 'automatic', 'user', 'individual', 'creation', 'individual', 'fast', 'reports', 'low', 'magnetic', 'low', 'construction', 'mcnp', 'specification', 'properties', 'interface', 'fast', 'low', 'new', 'vivo', 'voxels', 'development', 'new', 'vivo', 'energy', 'coupling', 'application', 'new', 'vivo', 'measurement', 'utility', 'measurements', 'graphical', 'precise', 'energy', 'construction', 'mcnp', 'input', 'segmentation', 'low', 'emitters', 'magnetic', 'low', 'calibration', 'utility', 'application', 'data', 'interface', 'new', 'new', 'measurement', 'important', 'analysis', 'data', 'automatic', 'systems', 'calibration', 'graphical', 'utility', 'important', 'vivo', 'memory', 'new', 'computational', 'resonance', 'systems', 'user', 'mcnp', 'computation', 'fast', 'graphical', 'energy', 'measurement', 'calculational', 'biological', 'individual', 'input', '-rrb-', 'energy', 'gamma', 'geometric', 'vivo', 'data', 'data', 'other', 'automatic', 'individual', 'mcnp', 'analysis', 'sources', 'important', 'creation', 'reports', 'calibration', 'user', 'coupling', 'development', 'important', 'such', 'interface', 'sources', 'new', 'precise']",0.009523809523809525,0.037037037037037035,0.015151515151515154,27,105
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['bridge', 'bridge', 'mobile', 'manipulator', 'mobile', 'manipulator', 'crack', 'mobile', 'development', 'manipulator', 'manipulator', 'imaging', 'platform', 'important', 'manipulator', 'accidents', 'development', 'imaging', 'system', 'part', 'platform', 'automation', 'system', 'mobile', 'manipulator', 'imaging', 'preliminary', 'underside', 'automation', 'imaging', 'system', 'bridge', 'platform', 'bridge', 'ends', 'bridge', 'automation', 'center', 'gravity', 'system', 'axis', 'crack', 'bridge', 'inspection', 'danger', 'bridge', 'crack', 'inspection', 'axis', 'danger', 'manipulator', 'inspection', 'important', 'center', 'useful', 'bridge', 'crack', 'inspection', 'bridge', 'safety', 'eyesight', 'crack', 'human', 'important', 'bridge', 'inspection', 'ccd', 'axis', 'mobile', 'binocular', 'precise', 'parallel', 'balance', 'inspection', 'accidents', 'development', 'crack', 'accessible', 'part', 'system', 'useful', 'useful', 'inspection']",0.012048192771084338,0.125,0.021978021978021976,8,83
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['solution', 'correction', 'safe', 'system', 'initial', 'linear', 'residue', 'initial', 'linear', 'possible', 'other', 'correction', 'equations', 'matrices', 'solution', 'state', 'system', 'matrices']",0.0,0.0,0,4,18
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['management', 'mobile', 'site', '-rrb-', 'wap', 'help', 'content', 'size', 'help', 'pages', 'original', 'phone', 'mobile', 'markup', 'site', 'size', 'intelligent', 'relevance', 'proper', 'proper', 'wireless', 'more', 'proper', 'site', 'wap', '-rrb-', 'numerical', 'wireless', 'more', 'wap', 'wml', 'most', 'pc', 'effective', 'system', 'various', 'manpower', 'communication', 'efficient', 'wap', 'proper', '-rrb-', 'intelligent', 'considerable', 'web', 'meaningless', 'help', 'content', 'management', 'pages', '-rrb-', 'size', 'pages', 'system', 'proper', 'wireless']",0.0,0.0,0,6,56
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['general', 'general', 'piezoelectric', 'solution', 'gradient', 'force', 'cantilever', 'force', 'applications', 'general', 'induction', 'cantilever', 'general', 'solutions', 'solution', 'functions', 'piezoelectric', 'density', 'airy', 'plane', 'different', 'solution', 'form', 'solutions', 'functions', 'piezoelectric', 'gradient', 'plane', 'strain', 'isotropic', 'inverse', 'airy', 'distribution', 'induction', 'stress', 'cantilever', 'density', 'tip', 'loading', 'different', 'force', 'applications', 'cantilever']",0.0,0.0,0,9,43
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['new', 'approach', 'method', 'approach', 'theorem', 'boolean', 'new', 'decomposition', 'functions', 'concept', 'partitioning', 'decomposition', 'simple', 'decomposition', 'functions', 'simple', 'boolean', 'n', 'various', 'disjunctive', 'partial', 'disjunctive', 'theorem', 'theorem', 'decomposition', 'simple']",0.0,0.0,0,4,26
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['ease', 'positive', 'user', 'management', 'user', 'models', 'positive', 'influence', 'user', 'influence', 'models', 'levels', 'perceptions', 'user', 'influence', 'ease', 'use', 'perceptions', 'previous', 'positive', 'technology', 'full', 'building', 'other', 'questionnaire', 'use', 'relative', 'user', 'ease', 'management', 'perceptions', 'relative', 'systems', 'use']",0.0,0.0,0,6,34
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal', 'conjugation', 'conjugation', 'elliptic', 'element', 'conditions', 'control', 'elliptic', 'optimal', 'accurate', 'equations', 'new', 'system', 'elliptic', 'schemes', 'conditions', 'full', 'computational', 'accurate', 'quadratic', 'optimal', 'new', 'system', 'elliptic', 'system', 'optimal', 'system', 'computational', 'elliptic', 'elliptic', 'discretization', 'feasible', 'full', 'control', 'conjugation', 'minimized', 'hilbert', 'element', 'conjugate', 'control', 'element', 'elliptic', 'conjugation', 'equations', 'conjugation', 'schemes', 'conditions', 'conditions', 'new', 'computational', 'quadratic', 'accurate']",0.0,0.0,0,6,52
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['new', 'development', 'axiomatics', 'systems', 'method', 'calculus', 'procedure', 'object', 'formal', 'results', 'calculus', 'axiomatics', 'results', 'calculus', 'functional', 'new', 'systemological', 'systemological', 'formal', 'case', 'complex', 'type', 'object', 'class', 'formalized', 'system', 'new', 'systems', 'method']",0.034482758620689655,0.25,0.0606060606060606,4,29
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government', 'electronic', 'government', 'electronic', 'electronic', 'electronic', 'electronic', 'procurement', 'tendering', 'framework', 'electronic', 'reengineers', 'government', 'bids', 'reengineers', 'contract', 'internal', 'request', 'procurement', 'government', 'tendering', 'framework', 'information', 'procurement', 'electronic', 'system', 'internal', 'procurement', 'vendor', 'certificate', 'contract', 'development', 'online', 'online', 'government', 'electronic', 'framework', 'government', 'procurement', 'reengineers']",0.0,0.0,0,9,40
