Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']",['Monte Carlo'],0.0,0.0,0,27,1
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['two', 'CCD', 'four', 'CCD', 'four', '2', '2']",0.0,0.0,0,8,7
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['0,1', '2', 'three', 'only one', 'two']",0.0,0.0,0,4,5
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WAP', 'WML', 'WML', 'WAP', 'WML', 'WAP', 'WAP', 'WAP', 'WAP']",0.0,0.0,0,6,10
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",[],0,0.0,0,9,0
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean', 'II', 'Upr', 'Sist', 'Mash', '6', '29', 'Boolean']",0.0,0.0,0,4,8
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']",['BMS'],0.0,0.0,0,6,1
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']",['Hilbert'],0.0,0.0,0,6,1
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['II', 'Vestn', 'KhGPU', '81', 'p.15-', '18 -LRB- 2000', 'NFO']",0.0,0.0,0,4,7
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['Taiwan', 'Taiwan']",0.0,0.0,0,9,2
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']",[],0,0.0,0,5,0
"['linear algebraic equations', 'numerical system']",[],0,0.0,0,2,0
"['building management systems', 'bms', 'facilities management systems', 'fms', 'database integration', 'internet protocols', 'embedded web server', 'pc web server', 'distributed component object model', 'dcom', 'software development technology', 'open control network']","['BMS', 'FMS -RRB-', 'two', '-RRB-', 'BMS', 'FMS', 'BMS', 'the Distributed Component Object Model -LRB-', 'Three', 'BMS']",0.0,0.0,0,12,10
"['collective dose calculations', 'facility operations', 'public', 'geographic information system software', 'electronic population data resources', 'personal computer']","['80 km', 'two']",0.0,0.0,0,6,2
"['accelerated simulation', 'numerical examples']","['non-Markovian', 'non-Markovian']",0.0,0.0,0,2,2
"['descriptological foundations', 'programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological', 'Descriptological']",0.0,0.0,0,6,2
"['linear constraints', 'set of natural numbers', 'linear diophantine equations', 'strict inequations', 'nonstrict inequations', 'upper bounds', 'minimal generating sets']","['Criteria', 'Diophantine', 'nonstrict inequations']",0.3333333333333333,0.14285714285714285,0.2,7,3
"['recurring issues', 'changing practices']","['Twenty years', 'two']",0.0,0.0,0,2,2
"['mathematical fundamentals', 'fuzzy bayesian inference techniques', 'pseudofuzzy quantities']","['Bayesian', 'Bayesian', 'pseudofuzzy', 'pseudofuzzy', 'Bayesian', 'Bayesian']",0.0,0.0,0,3,6
"['purdue university libraries interlibrary loan unit', 'monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['Purdue University Libraries Interlibrary Loan', 'Amazon', 'six months']",0.0,0.0,0,5,3
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['the V. S. Pugachev', 'third']",0.0,0.0,0,6,2
"['precoded ofdm', 'scalable video transmission', 'orthogonal frequency division multiplexing', 'channel spectral nulls', 'heavy data rate overhead', 'isi channel', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'frobenius norm metrics', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['Precoded OFDM', 'OFDM -RRB-', 'ISI', 'OFDM', 'ISI', 'ISI', 'OFDM', 'OFDM', 'two', 'ISI', 'ISI', 'Frobenius', 'fed']",0.0,0.0,0,16,13
"['scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers']",[],0,0.0,0,5,0
"['lower bounds', 'optimization problems', 'graphs']",[],0,0.0,0,3,0
"['firm growth rates', 'flatness', 'correlation', 'constituent businesses']",[],0,0.0,0,4,0
"['energy management system', 'standard components', 'application software package', 'security control', 'control center infrastructures', 'liberalized environment', 'energy market']","['EMS', 'two']",0.0,0.0,0,7,2
"['online auctions', 'dynamic pricing', 'lodging industry', 'web site scripting', 'online intermediaries', 'specialty brokers', 'internet usage', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['overnight', 'one']",0.0,0.0,0,13,2
"['pss design', 'optimal linear control']","['seven', 'PSS']",0.0,0.0,0,2,2
"['computer applications', 'technology changes', 'interconnected bulk electric systems', 'networked information systems']",['the past few years'],0.0,0.0,0,4,1
"['quantum memory', 'ground state spin', 'ensemble', 'two quadrature phase operators', 'squeezed states', 'mapping procedure', 'magnetooptical resonance method', '2 ms', 'cs']","['2 ms', 'one', 'two', 'approximately 1', 'Gaussian']",0.2,0.1111111111111111,0.14285714285714285,9,5
"['diagnostic relevance', 'volumetric data', 'rate allocation', 'lifting steps scheme', 'disjoint segments', 'bitstream', 'embedded zerotree coding', 'multidimensional layered zero coding', 'region boundaries', 'filter length', 'decomposition depth', 'head magnetic resonance images']","['3', 'three-dimensional', '3', 'first', '3', 'Two', '3', 'EZW-3D', '-RRB-', 'zero', 'MLZC', 'EZW-3D', 'MLZC']",0.0,0.0,0,12,13
"['hierarchical mixture model', 'classification', 'data generation process', 'experts classifier', 'posterior probability of class membership']","['three', '1', '2', 'two']",0.0,0.0,0,5,4
"['geometrically invariant watermarking', 'feature points', 'digital images', 'geometrical distortions', 'global transformations', 'rotations', 'translations', 'local transformations', 'stirmark attack', 'periodical properties', 'invariant properties', 'transforms', 'template insertion', 'image content', 'embedding', 'detection scheme', 'content descriptor', 'delaunay tessellation', 'additive scheme', 'correlation properties', 'jpeg compression', 'geometrical attack']","['first', 'two', 'StirMark', 'Theses', 'Three', 'Delaunay', 'JPEG']",0.0,0.0,0,22,7
"['enterprise application integration', 'imark communications']","['the past few years', 'today', 'Justin Opie', 'Imark Communications']",0.0,0.0,0,2,4
"['spiht algorithm', 'wavelet transform', 'zerotree quantization', 'codec', 'wavelet decomposition', 'number of error bits', 'absolute zerotree', 'dsp chip', 'set partitioning in hierarchical trees', 'video coding']","['SPIHT', 'DSP', 'Said', 'Pearlman', '1996', 'SPIHT', 'SPIHT', 'DSP', 'SPIHT', 'SPIHT', 'two', 'absolute zerotree', 'DSP']",0.07692307692307693,0.1,0.08695652173913043,10,13
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']",['one'],0.0,0.0,0,9,1
"['performance comparison', 'pid controllers', 'performance criterion', 'integrated absolute error', 'iae', 'dtc', 'step load disturbance', 'integrating processes', 'equal robustness', 'complementary sensitivity function']","['PID', 'PI', 'DTC', 'DTC']",0.0,0.0,0,10,4
"['local features', 'edge detection', 'texture segmentation', 'neighborhood operation', 'overlapping windows', 'matrix formulation', 'accumulation moments']",[],0,0.0,0,7,0
"['robust stabilization', 'nonlinear uncertainties', 'uncertain dynamical systems', 'state feedback']",[],0,0.0,0,4,0
"['image sources', 'watermarking', 'capacity limits', 'statistical model', 'distortion constraints', 'wavelet statistical models', 'geometric attacks', 'distortion measures']",[],0,0.0,0,8,0
"['subspace identification approach', 'principal component analysis', 'pca', 'system observability subspace', 'moesp algorithm', 'n4sid algorithm', 'subspace model identification', 'smi']","['PCA', 'PCA', 'PCA', 'PCA', 'N4SID', 'PCA', 'SMI']",0.0,0.0,0,8,7
"['highway traffic', 'tollbooths', 'toll collection', 'waiting time', 'reduced speed', 'saturated flow', 'lane expansion', 'vehicle queuing', 'numerical simulations']","['Nagel-Schreckenberg', 'first']",0.0,0.0,0,9,2
"['bagsik oscillator', 'incorrect banking data', 'statistical mechanism apparatus']","['Bagsik Oscillator', 'Piotrowski', 'Sladkowski', '2001', '1', '2']",0.0,0.0,0,3,6
"['adaptive image denoising', 'scale consistency', 'space consistency', 'edge preservation', 'image multiresolution decomposition', 'redundant wavelet transform', 'image edges', 'gradient magnitudes', 'shrinkage function', 'geometric constraints']",[],0,0.0,0,10,0
"['resonant grounding systems', 'compensation coil tuning', 'fault detection']",['RESFAL'],0.0,0.0,0,3,1
"['cellular automata model', 'population', 'penna model', 'biological ageing', 'verhulst factor', 'restraining effect', 'lattice', 'wolves', 'sheep', 'predation']","['two', 'Penna', 'Penna', '1995', 'Verhulst', 'Danuta Makowiec', 'four', 'Verhulst', 'two', 'Penna', 'two', 'one', 'one']",0.0,0.0,0,10,13
"['edge detection', 'a priori knowledge', 'geometrical characteristics', 'probability factor', 'double thresholding technique', 'spatial domain filtering', 'pixel similarity', 'gradient amplitudes', 'gradient phases', 'edge connectivity', 'dynamic range compression', 'wavelet correlation', 'probabilistic formulation', 'final edge probability image', 'adaptive filters', 'approximation images', 'matched filters', 'image noise', 'noise suppression']",['two'],0.0,0.0,0,19,1
"['deriveassist', 'parameter derivation process', 'parameter matching', 'power system simulation', 'control simulation']",['DeriveAssist'],0.0,0.0,0,5,1
"['multilane traffic model', 'vehicular boltzmann equation', 'traffic dispersion model', 'road users', 'nonlinear poisson equation', 'dynamic evolution', 'variance equation']","['Boltzmann', 'two', 'two', 'Poisson', 'Boltzmann', 'second', 'second']",0.0,0.0,0,7,7
"['interactive 3d volume segmentation', 'interaction metaphor', 'deformable surfaces', 'interactive segmentation', 'sensory feedback', '3d haptic device', 'tubular structure', 'deformable surface']",[],0,0.0,0,8,0
"['image compression', 'multilayered representation', 'image representation', 'piecewise smooth regions layer', 'textures layer', 'multilayered decomposition algorithm', 'residual part', 'sparse representation', 'basis functions']",[],0,0.0,0,9,0
"['nonlinear modeling', 'adaptive fuzzy control', 'mcfc stack', 'fuel cells', 'radial basis function neural networks identification model', 'backpropagation algorithm', 'rule database']","['MCFC', 'MCFC', 'MCFC', 'MCFC', 'MCFC', 'MCFC']",0.0,0.0,0,7,6
"['streaming', 'cellular automata', 'iteration time', 'adjacent cell vacancy', 'arching signatures', 'jamming', 'disruptive interference', 'exit dynamics', 'confined pedestrians']","['greater than one', '1', '2', '20', '1', '2', '3', '4', 'two', '1', '4w']",0.0,0.0,0,9,11
"['stock market returns', 'empirical statistical observations', 'invariant measures', 'first poincare return time', 'statistical quantities', 'brazilian stock']","['first', 'Poincare', 'Brazilian', 'Telebras']",0.0,0.0,0,6,4
"['antipersistent markov behavior', 'foreign exchange markets', 'efficiency', 'exchange rates', 'statistical forecast', 'quote sequence', 'trading rule']","['Antipersistent Markov', 'US', 'Deutsche', '-RRB-', 'Markov']",0.0,0.0,0,7,5
"['nonuniformly sampled systems', 'digital control systems', 'gpc', 'causality constraint', 'optimal causal control laws', 'integer multiples']",['GPC'],0.0,0.0,0,6,1
"['decoherence', 'engineering constraints', 'scalable quantum computing devices']","['first', 'two']",0.0,0.0,0,3,2
"['phase control', 'quantum field', 'quantum fluctuations']","['88 -LRB- 2002', 'two', 'two', 'second']",0.0,0.0,0,3,4
