Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['A new graphical user interface', 'fast construction', 'computation phantoms', 'MCNP calculations', 'application', 'calibration', 'vivo measurement systems Reports', 'a new utility', 'development', 'computational phantoms', 'Monte Carlo calculations and data analysis', 'vivo measurements', 'radionuclides', 'tissues', 'The individual properties', 'each worker', 'a rather precise geometric representation', 'his -LRB-', 'her -RRB- anatomy', 'which', 'low energy gamma ray', 'sources', 'thorium', 'uranium', 'plutonium', 'other actinides', 'The software', 'automatic creation', 'an MCNP input data file', 'data', 'The utility', 'segmentation', 'images', 'either computed tomography', 'magnetic resonance imaging', 'tissues', 'their signal', '-LRB- brightness -RRB-', 'specification', 'the source', 'detector', 'addition', 'a coupling', 'individual voxels', 'the tissue', 'the memory demand', 'the calculational speed', 'The utility', 'low energy emitters', 'plastic and biological tissues', 'computed tomography', 'magnetic resonance', 'information']",0.16981132075471697,0.3333333333333333,0.22499999999999998,27,53
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['The development', 'a mobile manipulator imaging system', 'bridge crack inspection', 'A mobile manipulator imaging system', 'the automation', 'bridge crack inspection', 'bridge safety inspections', 'an eyesight inspection', 'preliminary evaluation', 'screening', 'a more precise inspection', 'The inspection', 'cracks', 'an important part', 'the preliminary evaluation', 'the inspectors', 'the platform', 'a bridge inspection vehicle', 'the underside', 'a bridge', 'such a procedure', 'the bridge crack inspection process', 'we', 'two CCD cameras', 'a four-axis manipulator system', 'a mobile vehicle', 'The parallel cameras', 'cracks', 'The manipulator system', 'binocular charge coupled devices', 'CCD -RRB-', 'structures', 'that', 'the eye', 'The system', 'the danger', 'accidents', 'the human inspectors', 'The manipulator system', 'four arms', 'Balance weights', 'the ends', 'arms', 'the center', 'gravity', 'operation', 'arms', 'Experiments', 'the system', 'bridge crack inspections']",0.02,0.125,0.03448275862068966,8,50
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['Solution', 'the safe problem', '-LRB-', '0,1 -RRB- - matrices', 'A safe problem', 'mn locks', 'It', 'a system', 'linear equations', 'the modulo 2 residue class', 'three possible variants', 'the numbers', 'evenness', 'them', 'a solution', 'two other cases', 'correction', 'the initial state', 'the safe insuring', 'a solution']",0.1,0.5,0.16666666666666669,4,20
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['I-WAP', 'an intelligent WAP site management system', 'The popularity', 'wireless communications', 'more and more WAP sites', 'wireless markup language', 'hypertext markup language', 'HTML -RRB-', 'pages', 'proper WML ones', 'it', 'WAP users', 'most contents', 'PC users', 'their mobile phone screens', 'those sites', 'that', 'hypertext markup language', 'considerable time', 'manpower costs', 'them', 'WML', 'this paper', 'we', 'an intelligent WAP site management system', 'these problems', 'the help', 'the intelligent management system', 'the original contents', 'HTML Web sites', 'proper WAP content', 'an efficient way', 'a consequence', 'the costs', 'WAP sites', 'The management system', 'the system manager', 'the relevance', 'numerals', 'keywords', 'unimportant or meaningless contents', 'The original contents', 'the size', 'mobile phone screens', 'the communication cost', 'readability', 'Numerical results', 'various experiments', 'the effective performance', 'the WAP management system']",0.06,0.5,0.10714285714285712,6,50
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'a density functionally gradient piezoelectric cantilever', 'its applications', 'We', 'the plane strain theory', 'transversely isotropic bodies', 'a piezoelectric cantilever', 'order', 'the general solution', 'we', 'the inverse method', '-LRB-', 'i.e. the Airy stress function method', 'We', 'the stress', 'induction functions', 'the form', 'polynomials', 'the general solution', 'the beam', 'this general solution', 'we', 'the solutions', 'the cantilever', 'different loading conditions', 'applications', 'this general solution', 'engineering', 'we', 'the tip deflection', 'blocking force', 'a piezoelectric cantilever actuator', 'we', 'a method', 'the density distribution profile', 'a given piezoelectric material']",0.05555555555555555,0.2222222222222222,0.08888888888888888,9,36
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['A new approach', 'the decomposition', 'Boolean functions', 'the method', 'q', '-partitions', 'Repeated decomposition', 'pt', 'I', 'Upr', 'Sist', 'Mash', '.', 'A new approach', 'the decomposition', 'Boolean , functions', 'that', 'n variables', 'various forms', 'The approach', 'the method', 'q-partitioning', 'minterms', 'the introduced concept', 'a decomposition clone', 'The theorem', 'simple disjunctive decomposition', 'full and partial functions', 'The approach', 'examples']",0.03333333333333333,0.25,0.058823529411764705,4,30
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'management systems', 'This study', 'user acceptance', 'management systems', 'BMS -RRB-', 'a questionnaire survey', 'These systems', 'building performance', 'it', 'users', 'full use', ""their systems ' facilities"", 'Established models', 'technology acceptance', 'this research', 'the positive influence', 'user perceptions', 'ease', 'use', 'compatibility', 'Previous research', 'differing levels', 'importance', 'perceived ease', 'use', 'other factors', 'perceived ease', 'use', 'the balance', 'this', 'compatibility', 'the user perceptions', 'voluntariness']",0.08823529411764706,0.5,0.15,6,34
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'an elliptic system', 'conjugation conditions', 'New optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'a quadratic minimized function', 'Highly accurate computational discretization schemes', 'the case', 'a feasible control', 'u/sub delta', 'the full Hilbert space u', 'controls']",0.2,0.5,0.28571428571428575,6,15
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['A new method', 'systemological analysis', 'the procedure', 'object-oriented design', 'II', 'pt', 'I', 'Vestn', 'KhGPU', '.', ', p.15-18 -LRB-', 'The paper', 'the results', 'development', 'an object-oriented systemological method', 'complex systems', 'A formal system representation', 'an axiomatics', 'the calculus', 'systems', 'functional flow-type objects', 'a Node-Function-Object class hierarchy', 'A formalized NFO/UFO analysis algorithm', 'CASE tools', 'it']",0.04,0.25,0.06896551724137932,4,25
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['A framework', 'electronic tendering', 'government procurement', 'a lesson', 'Taiwan', 'government procurement', 'an electronic government procurement system', 'Accordingly , Taiwan government procurement law -LRB-', 'TGPL -RRB-', 'suppliers', 'electronic devices', 'a tender', 'This investigation', 'how the electronic government procurement system functions', 'reengineers internal procurement processes', 'which', 'turn', 'both government bodies', 'vendors', 'The system', 'posting/receiving bids', 'the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'bid/request', 'proposal', '-LRB-', 'RFP -RRB- development', 'online bidding', 'online payment', 'all', 'which', 'most existing information infrastructures']",0.17647058823529413,0.6666666666666666,0.27906976744186046,9,34
