Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['utility', 'new graphical user interface', 'includes segmentation', 'tissues', 'tissue', 'computation', 'computational', 'computed', 'uranium', 'according', 'biological', 'distinguishing']",0.08333333333333333,0.037037037037037035,0.05128205128205128,27,12
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['inspections', 'crack inspection', 'manipulator', 'ccd', 'erected', 'evaluation', 'smoothly', 'experiments', 'cracks']",0.0,0.0,0,8,9
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'insuring', 'rrb']",0.3333333333333333,0.25,0.28571428571428575,4,3
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['costs', 'communication cost', 'markup', 'wireless communications', 'translated', 'translate hypertext', 'rrb', 'wml', 'lrb']",0.1111111111111111,0.16666666666666666,0.13333333333333333,6,9
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['general solution', 'solutions', 'transversely isotropic bodies', 'strain', 'blocking']",0.2,0.1111111111111111,0.14285714285714285,9,5
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['sist', 'approach', 'functions', 'upr']",0.0,0.0,0,4,4
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['users', 'user acceptance', 'building management systems', 'examines', 'bms']",0.2,0.16666666666666666,0.1818181818181818,6,5
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['control', 'controls', 'u', 'systems', 'computational', 'conditions']",0.0,0.0,0,6,6
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['analysis', 'object', 'nfo', 'flow objects', 'functional']",0.0,0.0,0,4,5
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'electronic', 'bids', 'bid', 'online bidding', 'development', 'vendors', 'vendor registration', 'certificate', 'accordingly']",0.2,0.2222222222222222,0.2105263157894737,9,10
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['current state', 'states', 'complex']",0.0,0.0,0,5,3
"['linear algebraic equations', 'numerical system']","['proposed', 'method']",0.0,0.0,0,2,2
"['building management systems', 'bms', 'facilities management systems', 'fms', 'database integration', 'internet protocols', 'embedded web server', 'pc web server', 'distributed component object model', 'dcom', 'software development technology', 'open control network']","['internet', 'lrb', 'bms', 'integration', 'integrates', 'integrated', 'web', 'integrating building', 'rrb', 'develop', 'developed', 'development']",0.08333333333333333,0.08333333333333333,0.08333333333333333,12,12
"['collective dose calculations', 'facility operations', 'public', 'geographic information system software', 'electronic population data resources', 'personal computer']","['dose', 'populations', 'population', 'geographic']",0.0,0.0,0,6,4
"['accelerated simulation', 'numerical examples']",['accelerated simulation'],1.0,0.5,0.6666666666666666,2,1
"['descriptological foundations', 'programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['descriptological', 'programming']",0.5,0.16666666666666666,0.25,6,2
"['linear constraints', 'set of natural numbers', 'linear diophantine equations', 'strict inequations', 'nonstrict inequations', 'upper bounds', 'minimal generating sets']","['strict inequations', 'diophantine equations']",0.5,0.14285714285714285,0.22222222222222224,7,2
"['recurring issues', 'changing practices']","['new', 'copies', 'materials', 'changing', 'recurring', 'weak']",0.0,0.0,0,2,6
"['mathematical fundamentals', 'fuzzy bayesian inference techniques', 'pseudofuzzy quantities']","['mathematical fundamentals', 'basic relationships', 'pseudofuzzy']",0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
"['purdue university libraries interlibrary loan unit', 'monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['acquisitions', 'com', 'loan', 'loans', 'patrons', 'patron', 'amazon']",0.0,0.0,0,5,7
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['extrapolation algorithm', 'process']",0.0,0.0,0,6,2
"['precoded ofdm', 'scalable video transmission', 'orthogonal frequency division multiplexing', 'channel spectral nulls', 'heavy data rate overhead', 'isi channel', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'frobenius norm metrics', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['channels', 'vector channel', 'ofdm', 'layers', 'layered', 'frequency', 'transmission', 'lrb', 'isi', 'data rate', 'provides', 'provide stronger', 'insertion']",0.0,0.0,0,16,13
"['scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers']","['music', 'editions', 'publishing', 'publishers']",0.0,0.0,0,5,4
"['lower bounds', 'optimization problems', 'graphs']",['new lower'],0.0,0.0,0,3,1
"['firm growth rates', 'flatness', 'correlation', 'constituent businesses']","['firm growth rates', 'rate', 'large firms', 'small']",0.25,0.25,0.25,4,4
"['energy management system', 'standard components', 'application software package', 'security control', 'control center infrastructures', 'liberalized environment', 'energy market']","['control centers', 'center', 'market', 'software', 'despite', 'functions', 'security', 'article']",0.0,0.0,0,7,8
"['online auctions', 'dynamic pricing', 'lodging industry', 'web site scripting', 'online intermediaries', 'specialty brokers', 'internet usage', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['pricing', 'prices', 'traditionally', 'product', 'production', 'products', 'price setting', 'industry', 'profit', 'traditional channels', 'marketing', 'market', 'distribution', 'margin', 'margins', 'model', 'models', 'theory']",0.05555555555555555,0.07692307692307693,0.06451612903225808,13,18
"['pss design', 'optimal linear control']","['control', 'controller', 'stabilizer design', 'low', 'synthesis', 'step', 'stability']",0.0,0.0,0,2,7
"['computer applications', 'technology changes', 'interconnected bulk electric systems', 'networked information systems']","['power', 'electric', 'article', 'current key']",0.0,0.0,0,4,4
"['quantum memory', 'ground state spin', 'ensemble', 'two quadrature phase operators', 'squeezed states', 'mapping procedure', 'magnetooptical resonance method', '2 ms', 'cs']","['state', 'squeezed states', 'recording quantum', 'ms', 'ground']",0.2,0.1111111111111111,0.14285714285714285,9,5
"['diagnostic relevance', 'volumetric data', 'rate allocation', 'lifting steps scheme', 'disjoint segments', 'bitstream', 'embedded zerotree coding', 'multidimensional layered zero coding', 'region boundaries', 'filter length', 'decomposition depth', 'head magnetic resonance images']","['d', 'object coding', 'lrb', 'based', 'rrb', 'lossless', 'mlzc', 'objects', 'extra', 'steps scheme', 'information', 'magnetic', 'images']",0.0,0.0,0,12,13
"['hierarchical mixture model', 'classification', 'data generation process', 'experts classifier', 'posterior probability of class membership']","['training', 'lrb', 'classification', 'hierarchical', 'model', 'models', 'generation', 'generated', 'class', 'sources', 'source', 'clusters', 'cluster']",0.07692307692307693,0.2,0.1111111111111111,5,13
"['geometrically invariant watermarking', 'feature points', 'digital images', 'geometrical distortions', 'global transformations', 'rotations', 'translations', 'local transformations', 'stirmark attack', 'periodical properties', 'invariant properties', 'transforms', 'template insertion', 'image content', 'embedding', 'detection scheme', 'content descriptor', 'delaunay tessellation', 'additive scheme', 'correlation properties', 'jpeg compression', 'geometrical attack']","['schemes', 'scheme', 'geometrical', 'transformations', 'transforms', 'different', 'geometrically invariant watermarking', 'image', 'images providing', 'provided', 'properties', 'content', 'presents', 'presented', 'feature']",0.13333333333333333,0.09090909090909091,0.10810810810810811,22,15
"['enterprise application integration', 'imark communications']","['application', 'applications', 'numerous', 'says', 'portfolio', 'rrb']",0.0,0.0,0,2,6
"['spiht algorithm', 'wavelet transform', 'zerotree quantization', 'codec', 'wavelet decomposition', 'number of error bits', 'absolute zerotree', 'dsp chip', 'set partitioning in hierarchical trees', 'video coding']","['new', 'implementation', 'memory requirement', 'spiht', 'concepts', 'coding', 'low', 'meets common']",0.0,0.0,0,10,8
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']","['period', 'periodic motions', 'dynamical', 'occur', 'depend']",0.2,0.1111111111111111,0.14285714285714285,9,5
"['performance comparison', 'pid controllers', 'performance criterion', 'integrated absolute error', 'iae', 'dtc', 'step load disturbance', 'integrating processes', 'equal robustness', 'complementary sensitivity function']","['performance comparison', 'perform better', 'criterion', 'fair', 'load', 'sensitivity']",0.16666666666666666,0.1,0.125,10,6
"['local features', 'edge detection', 'texture segmentation', 'neighborhood operation', 'overlapping windows', 'matrix formulation', 'accumulation moments']","['computation', 'computationally', 'computed inside overlapping windows', 'moments', 'integral']",0.0,0.0,0,7,5
"['robust stabilization', 'nonlinear uncertainties', 'uncertain dynamical systems', 'state feedback']","['systems', 'practically', 'practical', 'robust', 'state', 'scheme']",0.0,0.0,0,4,6
"['image sources', 'watermarking', 'capacity limits', 'statistical model', 'distortion constraints', 'wavelet statistical models', 'geometric attacks', 'distortion measures']","['data capacity', 'hiding', 'hider', 'compute', 'fundamental', 'limits']",0.0,0.0,0,8,6
"['subspace identification approach', 'principal component analysis', 'pca', 'system observability subspace', 'moesp algorithm', 'n4sid algorithm', 'subspace model identification', 'smi']","['pca', 'process', 'subspace identification', 'lrb', 'industrial processes', 'rrb', 'consistent', 'algorithm']",0.125,0.125,0.125,8,8
"['highway traffic', 'tollbooths', 'toll collection', 'waiting time', 'reduced speed', 'saturated flow', 'lane expansion', 'vehicle queuing', 'numerical simulations']","['increases', 'tollbooths', 'tollbooth', 'flow', 'highway traffic', 'saturated', 'fundamental']",0.2857142857142857,0.2222222222222222,0.25,9,7
"['bagsik oscillator', 'incorrect banking data', 'statistical mechanism apparatus']","['bagsik', 'oscillator', 'recently']",0.0,0.0,0,3,3
"['adaptive image denoising', 'scale consistency', 'space consistency', 'edge preservation', 'image multiresolution decomposition', 'redundant wavelet transform', 'image edges', 'gradient magnitudes', 'shrinkage function', 'geometric constraints']","['image', 'edges', 'wavelet', 'edge preservation', 'appear', 'obtained', 'preserved', 'preserve', 'consistency', 'proposes', 'proposed technique', 'regions', 'magnitudes']",0.07692307692307693,0.1,0.08695652173913043,10,13
"['resonant grounding systems', 'compensation coil tuning', 'fault detection']",['resonant grounding'],0.0,0.0,0,3,1
"['cellular automata model', 'population', 'penna model', 'biological ageing', 'verhulst factor', 'restraining effect', 'lattice', 'wolves', 'sheep', 'predation']","['danuta', 'model', 'makowiec gave', 'populations', 'population', 'movable']",0.16666666666666666,0.1,0.125,10,6
"['edge detection', 'a priori knowledge', 'geometrical characteristics', 'probability factor', 'double thresholding technique', 'spatial domain filtering', 'pixel similarity', 'gradient amplitudes', 'gradient phases', 'edge connectivity', 'dynamic range compression', 'wavelet correlation', 'probabilistic formulation', 'final edge probability image', 'adaptive filters', 'approximation images', 'matched filters', 'image noise', 'noise suppression']","['edge', 'edges', 'image', 'images', 'filters', 'wavelet noise filtering', 'domains', 'domain', 'range', 'probability', 'probabilities', 'gradient', 'pixel', 'pixels', 'methods']",0.0,0.0,0,19,15
"['deriveassist', 'parameter derivation process', 'parameter matching', 'power system simulation', 'control simulation']","['test measurements', 'generating', 'lsb generator']",0.0,0.0,0,5,3
"['multilane traffic model', 'vehicular boltzmann equation', 'traffic dispersion model', 'road users', 'nonlinear poisson equation', 'dynamic evolution', 'variance equation']","['modeling', 'model', 'boltzmann equation', 'dynamic traffic', 'users', 'especially', 'multilane', 'functions', 'function']",0.0,0.0,0,7,9
"['interactive 3d volume segmentation', 'interaction metaphor', 'deformable surfaces', 'interactive segmentation', 'sensory feedback', '3d haptic device', 'tubular structure', 'deformable surface']","['new', 'd volume segmentation', 'virtual', 'based', 'reality']",0.0,0.0,0,8,5
"['image compression', 'multilayered representation', 'image representation', 'piecewise smooth regions layer', 'textures layer', 'multilayered decomposition algorithm', 'residual part', 'sparse representation', 'basis functions']","['coherent layers', 'compression', 'compressed', 'piecewise smooth regions layer', 'compressions applied successively', 'image', 'images', 'textures']",0.125,0.1111111111111111,0.11764705882352941,9,8
"['nonlinear modeling', 'adaptive fuzzy control', 'mcfc stack', 'fuel cells', 'radial basis function neural networks identification model', 'backpropagation algorithm', 'rule database']","['modeling', 'models', 'model', 'algorithm', 'adaptive', 'adaptively', 'control', 'controlled', 'networks', 'mcfc stack', 'sampled']",0.09090909090909091,0.14285714285714285,0.1111111111111111,7,11
