Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['tissues', 'new utility', 'images', 'computation phantoms', 'data analysis', 'individual properties', 'measurement systems reports', 'mcnp calculations', 'tomography', 'monte carlo calculations', 'segmentation', 'detector', 'source', 'uranium', 'development', 'application', 'coupling', 'automatic creation', 'addition', 'radionuclides', 'mcnp input data file', 'specification', 'plutonium', 'signal -lrb- brightness', 'calibration', 'software', 'fast construction', 'thorium', 'plastic', 'low energy emitters', 'worker', 'new graphical user interface', 'memory demand', 'precise geometric representation', 'anatomy', 'important']",0.3333333333333333,0.48,0.39344262295081966,25,36,0.4,0.08,0.13333333333333333,0.2,0.08,0.11428571428571428,0.2,0.12,0.15,0.7329904547073808,0.4359883023976125
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'arms', 'eyesight inspection', 'ccd cameras', 'cracks', 'inspectors', 'preliminary evaluation', 'devices', 'accidents', 'binocular charge', 'danger', 'gravity', 'eye', 'balance weights', 'accessible', 'operation', 'structures', 'center', 'mobile vehicle', 'ends', 'screening', 'parallel cameras', 'procedure', 'risky', 'automation', 'useful', 'platform', 'underside', 'experiments', 'development']",0.12903225806451613,0.5714285714285714,0.2105263157894737,7,31,0.4,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.5716825852058142,0.2717039993254827
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'solution', 'linear equations', 'modulo', 'residue class', 'system', 'mn locks', 'matrices', 'initial state', 'correction', 'possible variants']",0.2727272727272727,0.75,0.39999999999999997,4,11,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.8211923425539637,0.6071428571428571
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['intelligent wap site management system', 'html', 'wml', 'manpower costs', 'original contents', 'wireless markup language', 'numerals', 'mobile phone screens', 'wap users', 'sites', 'keywords', 'pages', 'unimportant', 'relevance', 'imperative', 'considerable time', 'difficult', 'efficient way', 'consequence', 'popularity', 'help', 'proper wap content', 'readability', 'size', 'problems', 'wireless communications', 'paper', 'effective performance', 'i-wap']",0.06896551724137931,0.4,0.1176470588235294,5,29,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.398309890520904,0.14447463768115942
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['general solution', 'gradient piezoelectric cantilever', 'density', 'applications', 'inverse method', 'induction functions', 'form', 'polynomials', 'different loading conditions', 'stress', 'engineering', 'beam', 'order', 'isotropic bodies', 'force', 'tip deflection', 'plane strain theory', 'airy stress function method', 'piezoelectric material']",0.21052631578947367,0.5,0.2962962962962963,8,19,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.13333333333333333,0.25,0.1739130434782609,0.5222233435242801,0.27853765648135687
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'new approach', 'boolean functions', 'method', 'functions', 'sist', 'theorem', 'upr', 'q-partitions', 'mash', 'concept', 'minterms', 'examples']",0.07692307692307693,0.25,0.11764705882352941,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.25,0.11764705882352941,0.3985181941169789,0.20833333333333334
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['modelling user acceptance', 'building management systems', 'ease', 'use', 'research', 'compatibility', 'importance', 'established models', 'facilities', 'differing levels', 'positive influence', 'technology acceptance', 'crucial', 'study', 'bms', 'questionnaire survey', 'building performance', 'balance', 'voluntariness']",0.21052631578947367,0.6666666666666666,0.32,6,19,0.2,0.16666666666666666,0.1818181818181818,0.2,0.3333333333333333,0.25,0.13333333333333333,0.3333333333333333,0.19047619047619044,0.579507760103415,0.30046470342522974
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal control', 'computational finite-element schemes', 'elliptic system', 'conjugate conditions', 'elliptic equations', 'quadratic minimized function', 'case', 'sub delta']",0.375,0.5,0.42857142857142855,6,8,0.4,0.3333333333333333,0.3636363636363636,0.375,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.6181484394802115,0.4643939393939394
"['systemological analysis', 'formal system representation', 'axiomatics']","['design complex systems', 'calculus', 'development', 'functional flow-type objects', 'results', 'ufo analysis algorithm', 'object-oriented systemological method', 'procedure', 'axiomatics', 'systemological analysis', 'object-oriented design', 'nfo', 'vestn', 'paper', 'khgpu', 'node-function-object class hierarchy', 'new method', 'case tools']",0.1111111111111111,0.6666666666666666,0.1904761904761905,3,18,0.0,0.0,0.0,0.2,0.6666666666666666,0.30769230769230765,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.3854998193933103,0.15633528265107213
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'vendors', 'development tools', 'electronic tendering', 'online bidding', 'proposal', 'rfp', 'states', 'government bodies', 'receiving bids', 'tgpl', 'internet', 'certificate authorization', 'suppliers', 'request', 'posting', 'turn benefits', 'system features', 'reengineers internal procurement processes', 'electronic devices', 'investigation', 'transparent', 'taiwan', 'lesson', 'accountable', 'framework', 'information infrastructures']",0.1111111111111111,0.375,0.17142857142857143,8,27,0.4,0.25,0.3076923076923077,0.2,0.25,0.22222222222222224,0.2,0.375,0.26086956521739135,0.5286274155577729,0.26634615384615384
