Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['low energy', 'magnetic resonance', 'resonance imaging', 'Monte Carlo', 'computed tomography', 'MCNP input', 'systems Reports', 'MCNP calculations', 'Carlo calculations', 'vivo measurement', 'calculational speed', 'scanning information', 'measurement systems', 'energy gamma', 'energy emitters', 'imaging scanning', 'utility includes', 'graphical user', 'user interface', 'fast construction', 'radionuclides deposited', 'precise geometric', 'geometric representation', 'gamma ray', 'ray emitting', 'software enables', 'enables automatic', 'automatic creation', 'file based', 'includes segmentation', 'images obtained', 'memory demand', 'computation phantoms', 'individual properties', 'emitting sources', 'individual voxels', 'data analysis']",0.16216216216216217,0.24,0.1935483870967742,25,37,0.4,0.08,0.13333333333333333,0.2,0.08,0.11428571428571428,0.13333333333333333,0.08,0.1,0.6560955903448296,0.40196584896584897
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack', 'manipulator system', 'crack inspection', 'mobile manipulator', 'manipulator imaging', 'imaging system', 'preliminary evaluation', 'Balance weights', 'CCD cameras', 'detect cracks', 'four-axis manipulator', 'bridge inspection', 'bridge safety', 'mobile vehicle', 'system consists', 'inspection process', 'coupled devices', 'revolve smoothly', 'inspection vehicle', 'safety inspections', 'eyesight inspection', 'precise inspection', 'parallel cameras', 'human inspectors', 'important part', 'temporarily erected', 'erected scaffolding', 'binocular charge', 'charge coupled', 'examining structures', 'bridge', 'system', 'inspection', 'manipulator', 'crack', 'arms', 'mobile']",0.10810810810810811,0.5714285714285714,0.18181818181818182,7,37,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.39854039143222236,0.13059640522875815
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'residue class', 'safe insuring', 'linear equations', 'variants defined', 'initial state', 'safe', 'LRB', 'RRB', 'Solution', 'problem', 'matrices', 'studied', 'modulo', 'residue', 'class', 'evenness', 'cases', 'correction', 'proposed', 'locks', 'reduced', 'system', 'linear', 'equations', 'variants', 'defined', 'numbers', 'initial', 'state', 'insuring']",0.06451612903225806,0.5,0.1142857142857143,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134199848554736,0.08566366429269655
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['management system', 'markup language', 'intelligent WAP', 'WAP site', 'phone screens', 'HTML Web', 'WAP management', 'site management', 'hypertext markup', 'mobile phone', 'maintaining WAP', 'original contents', 'WAP users', 'proper WAP', 'WAP content', 'Web sites', 'Numerical results', 'proper WML', 'intelligent management', 'WAP', 'wireless markup', 'considerable time', 'enhancing readability', 'system manager', 'translate hypertext', 'automatically translated', 'removing unimportant', 'results gained', 'effective performance', 'significantly reduced', 'wireless communications', 'manpower costs', 'contents designed', 'meaningless contents', 'communication cost', 'LRB', 'RRB']",0.05405405405405406,0.4,0.09523809523809523,5,37,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.4305982809108397,0.15595238095238095
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'piezoelectric cantilever', 'gradient piezoelectric', 'functionally gradient', 'density functionally', 'Airy stress', 'piezoelectric material', 'cantilever actuator', 'density distribution', 'loading conditions', 'plane strain', 'strain theory', 'transversely isotropic', 'isotropic bodies', 'tip deflection', 'blocking force', 'distribution profile', 'induction functions', 'stress function', 'inverse method', 'function method', 'solution', 'General', 'piezoelectric', 'cantilever', 'density', 'method', 'functionally', 'gradient', 'LRB', 'RRB', 'Finally', 'Based', 'applications', 'stress', 'Airy', 'beam']",0.08108108108108109,0.375,0.13333333333333333,8,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983210653442112,0.1470174091141833
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Repeated decomposition', 'Sist', 'Mash', 'Repeated', 'Upr', 'decomposition', 'approach', 'Boolean functions', 'Boolean', 'functions', 'q-partitions', 'pt.I', 'method', 'decomposition clone', 'approach proposed', 'disjunctive decomposition', 'LRB', 'RRB', 'partial functions', '29-42', 'introduced concept', 'simple disjunctive', 'considered', 'clone', 'formulated', 'depend', 'variables', 'represented', 'forms', 'based', 'q-partitioning', 'minterms', 'introduced', 'concept', 'theorem', 'simple', 'disjunctive']",0.10810810810810811,1.0,0.1951219512195122,4,37,0.0,0.0,0.0,0.1,0.25,0.14285714285714288,0.06666666666666667,0.25,0.10526315789473685,0.42636382226375547,0.12290669856459328
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building management', 'perceived ease', 'user perceptions', 'management systems', 'user acceptance', 'Established models', 'Previous research', 'Modelling user', 'optimising building', 'building performance', 'technology acceptance', 'questionnaire survey', 'examines user', 'study examines', 'widely reported', 'making full', 'positive influence', 'differing levels', 'shown generally', 'user', 'systems', 'ease', 'acceptance', 'building', 'management', 'perceptions', 'compatibility', 'perceived', 'LRB', 'BMS', 'RRB', 'research', 'Established', 'Previous', 'facilities', 'Modelling', 'survey']",0.08108108108108109,0.5,0.13953488372093023,6,37,0.0,0.0,0.0,0.1,0.16666666666666666,0.125,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.3787053478459802,0.11725774225774226
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Highly accurate', 'full Hilbert', 'Hilbert space', 'minimized function', 'optimal control', 'quadratic minimized', 'Computational finite-element', 'finite-element schemes', 'conjugation conditions', 'distributed systems', 'elliptic equations', 'accurate computational', 'computational discretization', 'discretization schemes', 'control problems', 'feasible control', 'control set', 'elliptic system', 'Highly', 'optimal', 'control', 'Hilbert', 'Computational', 'schemes', 'elliptic', 'conditions', 'function', 'delta', 'coincides', 'finite-element', 'conjugation', 'problems', 'considered', 'distributed', 'equations', 'conjugate', 'quadratic']",0.05405405405405406,0.3333333333333333,0.09302325581395349,6,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3521319445585538,0.11906635195384212
"['systemological analysis', 'formal system representation', 'axiomatics']","['analysis coordinated', 'UFO analysis', 'systemological analysis', 'object-oriented design', 'object-oriented systemological', 'systemological method', 'Vestn', 'formalized NFO', 'CASE tools', 'KhGPU', 'design complex', 'analysis algorithm', 'pt.I', 'class hierarchy', 'method', 'systemological', 'analysis', 'object-oriented', 'design', 'system representation', 'coordinated', 'procedure', 'paper presents', 'functional flow-type', 'flow-type objects', 'objects based', 'LRB', 'RRB', 'complex systems', 'formal system', 'NFO', 'UFO', 'systems', 'CASE', 'representation', 'class', 'proposed']",0.02702702702702703,0.3333333333333333,0.05,3,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688492727150692,0.06080586080586081
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'procurement system', 'certificate authorization', 'Taiwan government', 'electronic government', 'include posting', 'information infrastructures', 'procurement efficient', 'procurement law', 'procurement processes', 'receiving bids', 'vendor registration', 'contract development', 'development tools', 'online bidding', 'online payment', 'lesson learned', 'investigation demonstrates', 'reengineers internal', 'turn benefits', 'features explored', 'integrated easily', 'existing information', 'internal procurement', 'render government', 'government bodies', 'system functions', 'system features', 'LRB', 'RRB', 'electronic tendering', 'employ electronic', 'electronic devices', 'procurement', 'government', 'Taiwan', 'electronic']",0.13513513513513514,0.625,0.22222222222222224,8,37,0.2,0.125,0.15384615384615385,0.1,0.125,0.11111111111111112,0.06666666666666667,0.125,0.08695652173913045,0.4448674580465538,0.16626984126984126
