Ground_truth Keywords,Extracted Keywords,Method,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['anion', 'anions', '“bulges”', 'cation', 'fluorite materials', 'ion', 'oxide', 'oxide-ion diffusion', 'present material', 'Ta and Re cations']",[],llama2_KeyBERT_zero_shot,0.0,0.0,0.0,10,0
"['anion', 'anions', '“bulges”', 'cation', 'fluorite materials', 'ion', 'oxide', 'oxide-ion diffusion', 'present material', 'Ta and Re cations']","['quantum field treatment', 'vacuum state', ""particle's plane wave"", 'potential', 'free evolution', 'initial fock state', 'final state', 'field region', 'photon exchange probability', 'vacuum field', 'poissonian distributed final photon number', 'superconducting resonant circuit', 'magnetic field', 'coil', 'kinetic energy', 'casimir forces', 'lamb shift']",llama2_KeyBERT_one_shot,0.0,0.0,0.0,10,17
"['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']",[],llama2_KeyBERT_zero_shot,0.0,0.0,0.0,14,0
"['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']",[],llama2_KeyBERT_one_shot,0.0,0.0,0.0,14,0
"['cooling', 'enriched in plutonium dioxide', 'freezing', 'laser pulse', 'liquid', 'liquid surface', 'plutonium dioxide', 'post-melting material characterisation', 'PuO2', 'sample surface', 'simulation', 'small segregation effects', 'solidification', 'surface solid crust', 'UO2–PuO2 phase boundaries']",[],llama2_KeyBERT_zero_shot,0.0,0.0,0.0,15,0
"['cooling', 'enriched in plutonium dioxide', 'freezing', 'laser pulse', 'liquid', 'liquid surface', 'plutonium dioxide', 'post-melting material characterisation', 'PuO2', 'sample surface', 'simulation', 'small segregation effects', 'solidification', 'surface solid crust', 'UO2–PuO2 phase boundaries']","['computer simulations', 'neutron scattering', 'total excess entropy', 'excess vibrational entropy', 'excess configurational entropy', 'first principles studies', 'short-range order', 'temperature dependencies']",llama2_KeyBERT_one_shot,0.0,0.0,0.0,15,8
"['alkanes', 'argon', 'bead', 'beads', 'closed form EoS', 'fluid', 'fluids', 'group contribution approach', 'Hard spheres', 'intermolecular potential', 'isotropic molecule', 'LJ fluids', 'LJ potential', 'Mie potential', '(m,n) potential', 'perturbation theory', 'reference fluids', 'SAFT', 'SAFT EoS', 'SAFT-VR Mie', 'SAFT-γ', 'simple fluids', 'square well fluids', 'Statistical Associating Fluid Theory', 'unbounded constituent particles']",[],llama2_KeyBERT_zero_shot,0.0,0.0,0.0,25,0
"['alkanes', 'argon', 'bead', 'beads', 'closed form EoS', 'fluid', 'fluids', 'group contribution approach', 'Hard spheres', 'intermolecular potential', 'isotropic molecule', 'LJ fluids', 'LJ potential', 'Mie potential', '(m,n) potential', 'perturbation theory', 'reference fluids', 'SAFT', 'SAFT EoS', 'SAFT-VR Mie', 'SAFT-γ', 'simple fluids', 'square well fluids', 'Statistical Associating Fluid Theory', 'unbounded constituent particles']",[],llama2_KeyBERT_one_shot,0.0,0.0,0.0,25,0
"['calibrate', 'calibrate the involved model parameters', 'classification scale method', 'CSM', 'experimental measurements', 'Field examples', 'NMR', 'permeability', 'permeability estimation models', 'porosity', 'sandstone', 'sandstones', 'Schlumberger Doll Research', 'SDR', 'Timur-Coates models']",[],llama2_KeyBERT_zero_shot,0.0,0.0,0.0,15,0
"['calibrate', 'calibrate the involved model parameters', 'classification scale method', 'CSM', 'experimental measurements', 'Field examples', 'NMR', 'permeability', 'permeability estimation models', 'porosity', 'sandstone', 'sandstones', 'Schlumberger Doll Research', 'SDR', 'Timur-Coates models']",[],llama2_KeyBERT_one_shot,0.0,0.0,0.0,15,0
