Ground_truth Keywords,Extracted Keywords,Method,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['anion', 'anions', '“bulges”', 'cation', 'fluorite materials', 'ion', 'oxide', 'oxide-ion diffusion', 'present material', 'Ta and Re cations']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,10,0
"['anion', 'anions', '“bulges”', 'cation', 'fluorite materials', 'ion', 'oxide', 'oxide-ion diffusion', 'present material', 'Ta and Re cations']",[''],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,10,1
"['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']","['permeability', 'tight sandstones', 'heterogeneity', 'Timur-Coates models', 'classification scale method (CSM)', 'field examples']",Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,14,6
"['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']","['porosity', 'permeability', 'tight sandstones', 'extreme heterogeneity', 'classical sdr (schlumberger doll research) and timur-coates models', 'core derived porosity']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,14,6
"['cooling', 'enriched in plutonium dioxide', 'freezing', 'laser pulse', 'liquid', 'liquid surface', 'plutonium dioxide', 'post-melting material characterisation', 'PuO2', 'sample surface', 'simulation', 'small segregation effects', 'solidification', 'surface solid crust', 'UO2–PuO2 phase boundaries']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,15,0
"['cooling', 'enriched in plutonium dioxide', 'freezing', 'laser pulse', 'liquid', 'liquid surface', 'plutonium dioxide', 'post-melting material characterisation', 'PuO2', 'sample surface', 'simulation', 'small segregation effects', 'solidification', 'surface solid crust', 'UO2–PuO2 phase boundaries']",[''],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,15,1
"['alkanes', 'argon', 'bead', 'beads', 'closed form EoS', 'fluid', 'fluids', 'group contribution approach', 'Hard spheres', 'intermolecular potential', 'isotropic molecule', 'LJ fluids', 'LJ potential', 'Mie potential', '(m,n) potential', 'perturbation theory', 'reference fluids', 'SAFT', 'SAFT EoS', 'SAFT-VR Mie', 'SAFT-γ', 'simple fluids', 'square well fluids', 'Statistical Associating Fluid Theory', 'unbounded constituent particles']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,25,0
"['alkanes', 'argon', 'bead', 'beads', 'closed form EoS', 'fluid', 'fluids', 'group contribution approach', 'Hard spheres', 'intermolecular potential', 'isotropic molecule', 'LJ fluids', 'LJ potential', 'Mie potential', '(m,n) potential', 'perturbation theory', 'reference fluids', 'SAFT', 'SAFT EoS', 'SAFT-VR Mie', 'SAFT-γ', 'simple fluids', 'square well fluids', 'Statistical Associating Fluid Theory', 'unbounded constituent particles']",[],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,25,0
"['calibrate', 'calibrate the involved model parameters', 'classification scale method', 'CSM', 'experimental measurements', 'Field examples', 'NMR', 'permeability', 'permeability estimation models', 'porosity', 'sandstone', 'sandstones', 'Schlumberger Doll Research', 'SDR', 'Timur-Coates models']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,15,0
"['calibrate', 'calibrate the involved model parameters', 'classification scale method', 'CSM', 'experimental measurements', 'Field examples', 'NMR', 'permeability', 'permeability estimation models', 'porosity', 'sandstone', 'sandstones', 'Schlumberger Doll Research', 'SDR', 'Timur-Coates models']","['multiwalled carbon nanotubes', 'diatoms', 'pseudo-nitzschia pungens', 'golden alga isochrysis galbana', 'toxic effects', 'linear dimensions', 'chloroplasts', 'cell']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,15,8
"['bcc', 'bcc lattice', 'body-centred-cubic', 'bubble', 'bubble enlargement', 'bubbles', 'diffusion', 'Emission of interracial loops', 'Fe interstitials', 'Fe lattice', 'Ferritic and martensitic steels', 'He', 'He atoms', 'He interstitial clusters', 'induced strain', 'lattice strain', 'mechanisms by which He in a perfect body-centred-cubic (bcc) Fe lattice, can agglomerate into bubbles', 'microstructural evolution of these steels under neutron irradiation', 'molecular dynamics simulations', 'neutron irradiation', 'nuclear reactors', 'radiation induced mechanisms', 'reduce the lattice strain', 'steels', 'transmutation-created inert gas']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,25,0
"['bcc', 'bcc lattice', 'body-centred-cubic', 'bubble', 'bubble enlargement', 'bubbles', 'diffusion', 'Emission of interracial loops', 'Fe interstitials', 'Fe lattice', 'Ferritic and martensitic steels', 'He', 'He atoms', 'He interstitial clusters', 'induced strain', 'lattice strain', 'mechanisms by which He in a perfect body-centred-cubic (bcc) Fe lattice, can agglomerate into bubbles', 'microstructural evolution of these steels under neutron irradiation', 'molecular dynamics simulations', 'neutron irradiation', 'nuclear reactors', 'radiation induced mechanisms', 'reduce the lattice strain', 'steels', 'transmutation-created inert gas']","['structural efficiency', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', 'crashworthiness', '']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,25,11
"['downscaling rules', 'evolutionary computation', 'fitness calculation', 'multi-objective optimization', 'optimization', 'Pareto optimal models', 'regression', 'scaling procedure', 'SPEA', 'Strength Pareto Evolutionary Algorithm', 'using a single (weighted) fitness or cost function']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,11,0
"['downscaling rules', 'evolutionary computation', 'fitness calculation', 'multi-objective optimization', 'optimization', 'Pareto optimal models', 'regression', 'scaling procedure', 'SPEA', 'Strength Pareto Evolutionary Algorithm', 'using a single (weighted) fitness or cost function']","['classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'classical', 'class']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,11,16
"['Angular distributions', 'anti-squarks', 'asymmetry distributions', 'charge asymmetry', 'demonstrate that they are indeed the predicted super-partners', 'lepton-jet invariant mass distributions', 'measure the spins of the new particles', 'Monte Carlo simulations', 'mSUGRA model point', 'particles', 'primary production asymmetry', 'sparticle decays', 'spin-0 slepton', 'squarks', 'super-partners', 'supersymmetry', 'SUSY', 'SUSY particles']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,18,0
