Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']",[],0,0.0,0.0,25,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'bridge safety inspections', 'preliminary evaluation', 'crack inspection', 'inspectors', 'bridge inspection vehicle', 'scaffolding', 'underside of a bridge', 'structures', 'arms', 'center of gravity', 'operation']",0.0,0.0,0.0,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4544157152351851,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4544157152351851,0.3333333333333333
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']",['1 -RRB- - matrices'],0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']",['WAP sites'],0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816510974258781,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816510974258781,0.8333333333333334
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",[],0,0.0,0.0,8,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",[],0,0.0,0.0,4,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'building management systems', 'questionnaire survey', 'systems', 'building performance', 'facilities', 'technology acceptance', 'research', 'user perceptions', 'ease of use', 'compatibility', 'importance', 'user perceptions']",0.38461538461538464,0.8333333333333334,0.5263157894736842,6,13,0.4,0.3333333333333333,0.3636363636363636,0.4,0.6666666666666666,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7215931948367114,0.4241452991452992,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.4,0.3333333333333333,0.3636363636363636,0.4,0.6666666666666666,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7215931948367114,0.4241452991452992
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'quadratic minimized function', 'feasible control set u/sub delta /']",0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6,0.2,0.16666666666666666,0.1818181818181818,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6259674968297715,0.4823232323232323,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.708225354913938,0.5111111111111111
"['systemological analysis', 'formal system representation', 'axiomatics']",[],0,0.0,0.0,3,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic government procurement system', 'suppliers', 'electronic devices', 'tender', 'internal procurement processes', 'posting/receiving bids', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.5833333333333334,0.875,0.7000000000000001,8,12,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5833333333333334,0.875,0.7000000000000001,0.8178686763120063,0.5873397435897436,0.5833333333333334,0.875,0.7000000000000001,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5833333333333334,0.875,0.7000000000000001,0.8178686763120063,0.5873397435897436
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']",[],0,0.0,0.0,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['linear algebraic equations', 'numerical system']",['The proposed method'],0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934264036172708,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934264036172708,0.6666666666666666
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['Web-based access', 'database integration', 'Internet/intranet', 'control networks', 'Internet protocols', 'building facilities management', 'embedded Web server', 'PC Web server', 'open control network']",0.2222222222222222,0.4,0.2857142857142857,5,9,0.2,0.2,0.20000000000000004,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889,0.2222222222222222,0.4,0.2857142857142857,0.2,0.2,0.20000000000000004,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['Estimating', 'populations', 'collective dose calculations', 'electronic population data resources', 'personal computer', 'estimates', 'population', '80 km radii']",0.375,0.6,0.4615384615384615,5,8,0.6,0.6,0.6,0.375,0.6,0.4615384615384615,0.375,0.6,0.4615384615384615,0.7029583697635048,0.425,0.375,0.6,0.4615384615384615,0.6,0.6,0.6,0.5,0.6,0.5454545454545454,0.5,0.6,0.5454545454545454,0.780452185474883,0.55
['accelerated simulation'],[],0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']",[],0,0.0,0.0,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['Compatibility of systems of linear constraints', 'natural numbers', 'Diophantine equations', 'strict inequations', 'nonstrict inequations', 'components of a minimal set of solutions', 'algorithms of construction of minimal generating sets of solutions', 'minimal supporting set of solutions', 'considered types of systems']",0.2222222222222222,0.4,0.2857142857142857,5,9,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889,0.2222222222222222,0.4,0.2857142857142857,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889
"['recurring issues', 'changing practices']",[],0,0.0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
['pseudofuzzy quantities'],"['Mathematical fundamentals', 'constructing', 'fuzzy Bayesian inference techniques', 'problems', 'associated technique', 'developing', 'Bayesian approach', 'decision-making', 'fuzzy data', 'concept', 'fuzzy', 'pseudofuzzy quantities', 'main operations', 'pseudofuzzy quantities', 'basic relationships', 'principal concepts', 'Bayesian decision procedure', 'modus-ponens rule', 'practical realization']",0.05263157894736842,1.0,0.1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,0.3656233288925999,0.05555555555555555,0.05263157894736842,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,0.3656233288925999,0.05555555555555555
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['patrons', 'loan requests', 'titles', 'collection', 'staff', 'previous monograph loans', 'ordering criteria', 'statistics', 'patron comments', 'program']",0.2,0.5,0.28571428571428575,4,10,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.2,0.5,0.28571428571428575,0.5691323296123444,0.26666666666666666,0.2,0.5,0.28571428571428575,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.2,0.5,0.28571428571428575,0.5691323296123444,0.26666666666666666
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['Nonlinear extrapolation algorithm', 'V. S. Pugachev canonical decomposition apparatus', 'V. S. Pugachev canonical decomposition apparatus']",0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5,0.16666666666666666,0.25,0.5,0.16666666666666666,0.25,0.5,0.16666666666666666,0.25,0.8541058313273973,0.7976190476190477
"['scalable video transmission', 'channel spectral nulls', 'heavy data rate overhead', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['cyclic prefix insertion', 'precoded OFDM', 'adaptive vector channel allocation', 'scalable video transmission', 'layered bit stream structure', 'channel spectral nulls', 'data rate overhead', 'Frobenius norm metrics', 'channel estimation', 'wireless channels', 'noise', 'fading']",0.4166666666666667,0.4166666666666667,0.4166666666666667,12,12,0.6,0.25,0.35294117647058826,0.5,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7543743735371254,0.54203216374269,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6,0.25,0.35294117647058826,0.5,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7543743735371254,0.54203216374269
"['scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers']","['factors', 'out-of-print music', 'scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers', 'vendors', 'out-of-print printed music']",0.5555555555555556,1.0,0.7142857142857143,5,9,0.6,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556,1.0,0.7142857142857143,0.801641795526412,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,0.6,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556,1.0,0.7142857142857143,0.801641795526412,0.5555555555555556
"['lower bounds', 'graphs']","['size of error-correcting codes', 'Z-channel']",0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57064171895532,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57064171895532,0.5
"['firm growth rates', 'flatness', 'correlation', 'constituent businesses']",[],0,0.0,0.0,4,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['energy management system', 'standard components', 'application software package', 'security control', 'control center infrastructures', 'liberalized environment', 'energy market']","['Control centers', 'structures', 'market rules', 'uncertainties', 'control center', 'major functions', 'application software package', 'security control', 'load-following control', 'electric service', 'utility business', 'technology trends', 'control center infrastructure', 'energy market', 'example of a control center infrastructure']",0.2,0.42857142857142855,0.27272727272727276,7,15,0.0,0.0,0.0,0.2,0.2857142857142857,0.23529411764705882,0.2,0.42857142857142855,0.27272727272727276,0.5837053175772164,0.2962406015037594,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.0,0.0,0.0,0.2222222222222222,0.2857142857142857,0.25,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.6425798586031836,0.3397358943577431
"['online auctions', 'dynamic pricing', 'lodging industry', 'online intermediaries', 'specialty brokers', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['Web site scripting', 'online intermediaries', 'specialty brokers', 'Internet', 'Web-enabled companies', 'pricing', 'trading model', 'sales and marketing', 'product distribution channels', 'production', 'profit', 'intermediaries', 'dynamic pricing', 'product to product', 'customer to customer', 'transaction to transaction', 'lodging industry', 'profit margins', 'pricing theory', 'market pricing', 'supply chain', 'producer']",0.2727272727272727,0.5454545454545454,0.3636363636363636,11,22,0.4,0.18181818181818182,0.25000000000000006,0.3,0.2727272727272727,0.28571428571428564,0.26666666666666666,0.36363636363636365,0.30769230769230765,0.644071052701865,0.3339455157636976,0.2727272727272727,0.5454545454545454,0.3636363636363636,0.4,0.18181818181818182,0.25000000000000006,0.3,0.2727272727272727,0.28571428571428564,0.26666666666666666,0.36363636363636365,0.30769230769230765,0.644071052701865,0.3339455157636976
"['computer applications', 'interconnected bulk electric systems', 'networked information systems']",[],0,0.0,0.0,3,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
