Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computational phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'geometric representation', 'memory demand', 'calculational speed', 'biological tissues', 'computed tomography']",0.7,0.28,0.4,25,10,0.8,0.16,0.26666666666666666,0.7,0.28,0.4,0.7,0.28,0.4,0.9091345602668136,0.838857142857143,0.7,0.28,0.4,0.8,0.16,0.26666666666666666,0.7,0.28,0.4,0.7,0.28,0.4,0.9075646635637806,0.8337962962962961
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'automation', 'eyesight inspection', 'preliminary evaluation', 'screening', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'center of gravity', 'revolve smoothly', 'bridge crack inspection', 'automation', 'eyesight inspection', 'preliminary evaluation', 'screening', 'CCD cameras', 'four-axis manipulator system', 'binocular charge coupled devices', 'center of gravity', 'revolve smoothly']",0.15,0.42857142857142855,0.2222222222222222,7,20,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.3,0.42857142857142855,0.3529411764705882,0.668184909937437,0.41428571428571426,0.15,0.42857142857142855,0.2222222222222222,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.3,0.42857142857142855,0.3529411764705882,0.668184909937437,0.41428571428571426
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['Solution', 'safe problem', 'linear equations', 'modulo 2 residue class', 'system of linear equations', 'variants', 'evenness', 'correction', 'Solution', 'safe problem', 'linear equations', 'modulo 2 residue class', 'system of linear equations', 'variants', 'evenness', 'correction']",0.1875,0.75,0.3,4,16,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.1875,0.75,0.3,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP sites', 'Numerical results']",0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807182344492226,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807182344492226,0.7142857142857143
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'density functionally gradient', 'plane strain theory', 'transversely isotropic bodies', 'inverse method', 'Airy stress function method', 'induction functions', 'polynomials', 'general solution', 'loading conditions', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.5,0.875,0.6363636363636364,8,14,0.6,0.375,0.4615384615384615,0.5,0.625,0.5555555555555556,0.5,0.875,0.6363636363636364,0.772910440085661,0.5041666666666667,0.5,0.875,0.6363636363636364,0.6,0.375,0.4615384615384615,0.5555555555555556,0.625,0.5882352941176471,0.5384615384615384,0.875,0.6666666666666667,0.7941463837734807,0.5425824175824175
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['q-partitions', 'q-partitions', 'minterms', 'decomposition clone', 'simple disjunctive decomposition', 'partial functions', 'examples']",0.42857142857142855,0.75,0.5454545454545454,4,7,0.5,0.5,0.5,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.42857142857142855,0.75,0.5454545454545454,0.5,0.5,0.5,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling', 'user acceptance', 'building management systems', 'questionnaire survey', 'optimising building performance', 'technology acceptance', 'user perceptions', 'ease of use', 'compatibility', 'Modelling', 'user acceptance', 'building management systems', 'questionnaire survey', 'optimising building performance', 'technology acceptance', 'user perceptions', 'ease of use', 'compatibility']",0.2777777777777778,0.8333333333333334,0.4166666666666667,6,18,0.4,0.3333333333333333,0.3636363636363636,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963,0.2777777777777778,0.8333333333333334,0.4166666666666667,0.4,0.3333333333333333,0.3636363636363636,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'Highly accurate computational discretization schemes', 'Hilbert space', 'Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'quadratic minimized function', 'distributed systems', 'feasible control set']",0.2,0.3333333333333333,0.25,6,10,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.6192270253017201,0.38176638176638183,0.3,0.5,0.37499999999999994,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented design', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.375,1.0,0.5454545454545454,3,8,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375,0.375,1.0,0.5454545454545454,0.6,1.0,0.7499999999999999,0.375,1.0,0.5454545454545454,0.375,1.0,0.5454545454545454,0.6957287968104828,0.375
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'electronic government procurement system', 'suppliers', 'electronic devices', 'tendering', 'internal procurement processes', 'posting/receiving bids via the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.5833333333333334,0.875,0.7000000000000001,8,12,0.2,0.125,0.15384615384615385,0.5,0.625,0.5555555555555556,0.5833333333333334,0.875,0.7000000000000001,0.8178686763120063,0.5873397435897436,0.5833333333333334,0.875,0.7000000000000001,0.2,0.125,0.15384615384615385,0.5,0.625,0.5555555555555556,0.5833333333333334,0.875,0.7000000000000001,0.8178686763120063,0.5873397435897436
