Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computation phantoms', 'MCNP calculations', 'in vivo measurement systems', 'radionuclides', 'Monte Carlo calculations', 'data analysis', 'anatomy', 'geometric representation', 'low energy gamma ray emitting sources', 'actinides', 'thorium', 'uranium', 'plutonium', 'software', 'automatic creation', 'MCNP input data file', 'scanning data', 'computed tomography', 'magnetic resonance imaging', 'memory demand', 'calculational speed', 'low energy emitters']",0.5454545454545454,0.48,0.5106382978723404,25,22,0.6,0.12,0.19999999999999998,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.829122893686113,0.6332467532467532,0.5454545454545454,0.48,0.5106382978723404,0.6,0.12,0.19999999999999998,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.8269718975860825,0.625668449197861
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['imaging system', 'bridge crack inspection', 'automation', 'safety inspections', 'eyesight inspection', 'preliminary evaluation', 'screening', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'binocular charge coupled devices', 'human inspectors', 'center of gravity']",0.3076923076923077,0.5714285714285714,0.4,7,13,0.8,0.5714285714285714,0.6666666666666666,0.4,0.5714285714285714,0.47058823529411764,0.3076923076923077,0.5714285714285714,0.4,0.6592691325343927,0.36332417582417587,0.3076923076923077,0.5714285714285714,0.4,0.8,0.5714285714285714,0.6666666666666666,0.4,0.5714285714285714,0.47058823529411764,0.3076923076923077,0.5714285714285714,0.4,0.6592691325343927,0.36332417582417587
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'linear equations', 'modulo 2 residue class', 'evenness', 'correction', 'initial state']",0.5,0.75,0.6,4,6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.5,0.75,0.6,0.6,0.75,0.6666666666666665,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP sites', 'site management', 'readability', 'communication cost', 'mobile phone screens']",0.4,0.4,0.4000000000000001,5,5,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.7408578368246302,0.535,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.7408578368246302,0.535
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['plane strain theory', 'transversely isotropic bodies', 'piezoelectric cantilever', 'density functionally gradient', 'inverse method', 'Airy stress function method', 'induction functions', 'polynomials', 'loading conditions', 'tip deflection', 'blocking force']",0.45454545454545453,0.625,0.5263157894736842,8,11,0.6,0.375,0.4615384615384615,0.5,0.625,0.5555555555555556,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336,0.45454545454545453,0.625,0.5263157894736842,0.6,0.375,0.4615384615384615,0.5,0.625,0.5555555555555556,0.45454545454545453,0.625,0.5263157894736842,0.753994931468078,0.49837662337662336
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'decomposition', 'minterms', 'decomposition clone', 'simple disjunctive decomposition']",0.3333333333333333,0.5,0.4,4,6,0.4,0.5,0.4444444444444445,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.683303143613926,0.41666666666666663,0.3333333333333333,0.5,0.4,0.4,0.5,0.4444444444444445,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.683303143613926,0.41666666666666663
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user acceptance', 'technology acceptance', 'ease of use', 'compatibility', 'voluntariness', 'building performance', 'questionnaire survey']",0.5714285714285714,0.6666666666666666,0.6153846153846153,6,7,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'elliptic equations', 'quadratic minimized function', 'discretization schemes', 'Hilbert space']",0.3333333333333333,0.5,0.4,6,9,0.2,0.16666666666666666,0.1818181818181818,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented design', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools']",0.3,1.0,0.4615384615384615,3,10,0.6,1.0,0.7499999999999999,0.3,1.0,0.4615384615384615,0.3,1.0,0.4615384615384615,0.6396587213360692,0.3,0.3,1.0,0.4615384615384615,0.6,1.0,0.7499999999999999,0.3,1.0,0.4615384615384615,0.3,1.0,0.4615384615384615,0.6396587213360692,0.3
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",['Internet'],0.0,0.0,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888
