Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['Monte Carlo', 'MCNP', 'radionuclides', 'thorium', 'uranium', 'plutonium', 'actinides', 'computed tomography', 'magnetic resonance imaging', 'voxels', 'plastic', 'biological tissues']",0.3333333333333333,0.16,0.21621621621621623,25,12,0.2,0.04,0.06666666666666667,0.3,0.12,0.17142857142857143,0.3333333333333333,0.16,0.21621621621621623,0.7822682784028532,0.6896969696969697,0.3333333333333333,0.16,0.21621621621621623,0.2,0.04,0.06666666666666667,0.3,0.12,0.17142857142857143,0.3333333333333333,0.16,0.21621621621621623,0.7784626124163713,0.6805555555555556
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge', 'crack', 'inspectors', 'platform', 'bridge inspection vehicle', 'scaffolding', 'cameras', 'manipulator system', 'mobile vehicle', 'binocular charge coupled devices', 'CCD', 'LRB', 'RRB', 'arms', 'center of gravity']",0.0,0.0,0.0,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391651582874801,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391651582874801,0.30434782608695654
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe', 'problem', 'matrices', 'A', 'locks', 'system', 'linear equations', 'modulo 2 residue class', 'variants', 'numbers', 'm', 'n', 'solution', 'initial state', 'correction']",0.13333333333333333,0.5,0.2105263157894737,4,15,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.13333333333333333,0.5,0.2105263157894737,0.49421180348173527,0.1843137254901961,0.13333333333333333,0.5,0.2105263157894737,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.13333333333333333,0.5,0.2105263157894737,0.49421180348173527,0.1843137254901961
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'PC', 'mobile phone', 'I-WAP', 'intelligent WAP site management system', 'Web sites', 'system manager', 'numerals', 'keywords']",0.09090909090909091,0.2,0.12500000000000003,5,11,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.09090909090909091,0.2,0.12500000000000003,0.5010261133814036,0.28484848484848485,0.09090909090909091,0.2,0.12500000000000003,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.09090909090909091,0.2,0.12500000000000003,0.5010261133814036,0.28484848484848485
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'inverse method', 'Airy stress function method', 'induction functions', 'polynomials', 'beam', 'loading conditions', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",0.5714285714285714,1.0,0.7272727272727273,8,14,0.6,0.375,0.4615384615384615,0.5,0.625,0.5555555555555556,0.5714285714285714,1.0,0.7272727272727273,0.8110568735928534,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.6,0.375,0.4615384615384615,0.5,0.625,0.5555555555555556,0.5714285714285714,1.0,0.7272727272727273,0.8110568735928534,0.5714285714285714
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'pt.I', 'no. 6', 'p. 29-42', '1999', 'minterms', 'decomposition clone', 'theorem', 'simple disjunctive decomposition', 'partial functions', 'examples']",0.25,0.75,0.375,4,12,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.25,0.75,0.375,0.5995592053303098,0.2644230769230769,0.25,0.75,0.375,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.25,0.75,0.375,0.5995592053303098,0.2644230769230769
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['user', 'questionnaire survey', 'building performance', 'ease of use', 'compatibility', 'voluntariness', 'research']",0.5714285714285714,0.6666666666666666,0.6153846153846153,6,7,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['elliptic system', 'conjugation conditions', 'optimal control', 'Hilbert space', 'control set', 'discretization schemes', 'distributed systems', 'elliptic equations']",0.25,0.3333333333333333,0.28571428571428575,6,8,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.643829619720473,0.4166666666666667,0.375,0.5,0.42857142857142855,0.2,0.16666666666666666,0.1818181818181818,0.375,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.7115958900032683,0.4602272727272727
"['systemological analysis', 'formal system representation', 'axiomatics']","['method', 'systemological analysis', 'object-oriented design', 'paper', 'system', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools']",0.125,0.3333333333333333,0.18181818181818182,3,8,0.2,0.3333333333333333,0.25,0.125,0.3333333333333333,0.18181818181818182,0.125,0.3333333333333333,0.18181818181818182,0.5088285452291041,0.24166666666666667,0.125,0.3333333333333333,0.18181818181818182,0.2,0.3333333333333333,0.25,0.125,0.3333333333333333,0.18181818181818182,0.125,0.3333333333333333,0.18181818181818182,0.5088285452291041,0.24166666666666667
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['Taiwan', 'Internet']",0.0,0.0,0.0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7367283992687399,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7367283992687399,0.8
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['states', 'complex systems', 'measurement errors', 'fuzzy information', 'informative attributes', 'fuzzy set theory', 'system']",0.42857142857142855,0.6,0.5,5,7,0.4,0.4,0.4000000000000001,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793,0.5714285714285714,0.8,0.6666666666666666,0.6,0.6,0.6,0.5714285714285714,0.8,0.6666666666666666,0.5714285714285714,0.8,0.6666666666666666,0.8120586777714732,0.5821428571428571
"['linear algebraic equations', 'numerical system']","['method', 'system', 'linear algebraic equations', 'lambda', 'matrices', 'solution']",0.16666666666666666,0.5,0.25,2,6,0.2,0.5,0.28571428571428575,0.16666666666666666,0.5,0.25,0.16666666666666666,0.5,0.25,0.542090209012283,0.22619047619047616,0.16666666666666666,0.5,0.25,0.2,0.5,0.28571428571428575,0.16666666666666666,0.5,0.25,0.16666666666666666,0.5,0.25,0.542090209012283,0.22619047619047616
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['Internet', 'Web server', 'PC Web server']",0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181312641796785,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181312641796785,0.625
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['facility', 'population', 'electronic population data resources', 'personal computer', 'sites']",0.4,0.4,0.4000000000000001,5,5,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.7408578368246302,0.535,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.4,0.4,0.4000000000000001,0.7408578368246302,0.535
['accelerated simulation'],"['method', 'systems', 'simulation', 'availability', 'class', 'examples']",0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.14285714285714285
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological foundations of programming', 'descriptive process', 'abstraction', 'processes', 'bipolar function', 'bipole level', 'descriptological operations']",0.42857142857142855,0.6,0.5,5,7,0.4,0.4,0.4000000000000001,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793,0.42857142857142855,0.6,0.5,0.4,0.4,0.4000000000000001,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.7378896865433324,0.4793650793650793
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['systems of linear constraints', 'natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal set of solutions', 'algorithms', 'minimal generating sets of solutions', 'supporting set of solutions']",0.25,0.4,0.3076923076923077,5,8,0.4,0.4,0.4000000000000001,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.6299574868670904,0.3727272727272727,0.25,0.4,0.3076923076923077,0.4,0.4,0.4000000000000001,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.6299574868670904,0.3727272727272727
