Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'scanning data', 'segmentation', 'computed tomography', 'magnetic resonance imaging', 'source', 'detector', 'voxels', 'tissue', 'memory demand', 'calculational speed', 'plastic', 'biological tissues']",0.5652173913043478,0.52,0.5416666666666667,25,23,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8356538677587037,0.6367701863354037,0.5652173913043478,0.52,0.5416666666666667,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8453194310221853,0.6534090909090909
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'eyesight inspection', 'preliminary evaluation', 'screening', 'cracks', 'inspectors', 'bridge inspection vehicle', 'scaffolding', 'underside of a bridge', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'parallel cameras', 'structures', 'eye', 'arms', 'center of gravity', 'operation']",0.16666666666666666,0.42857142857142855,0.24,7,18,0.4,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.2,0.42857142857142855,0.27272727272727276,0.5500899396964319,0.2532467532467532,0.16666666666666666,0.42857142857142855,0.24,0.4,0.2857142857142857,0.3333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.2,0.42857142857142855,0.27272727272727276,0.5500899396964319,0.2532467532467532
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'mn locks', 'system of linear equations in the modulo 2 residue class', 'three possible variants', 'numbers m and n evenness', 'two other cases', 'correction of the initial state of the safe']",0.2857142857142857,0.5,0.36363636363636365,4,7,0.4,0.5,0.4444444444444445,0.2857142857142857,0.5,0.36363636363636365,0.2857142857142857,0.5,0.36363636363636365,0.6464394365751582,0.36507936507936506,0.2857142857142857,0.5,0.36363636363636365,0.4,0.5,0.4444444444444445,0.2857142857142857,0.5,0.36363636363636365,0.2857142857142857,0.5,0.36363636363636365,0.6464394365751582,0.36507936507936506
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['I-WAP', 'wireless communications', 'WAP sites', 'wireless markup language', 'WML', 'hypertext markup language', 'HTML', 'PC users', 'mobile phone screens', 'time and manpower costs', 'rebuild', 'intelligent WAP site management system', 'original contents', 'HTML Web sites', 'WAP content', 'costs', 'system manager', 'relevance', 'numerals', 'keywords', 'unimportant or meaningless contents', 'communication cost', 'readability', 'experiments', 'effective performance']",0.16,0.8,0.26666666666666666,5,25,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.13333333333333333,0.4,0.2,0.5126041591716047,0.16646153846153847,0.16,0.8,0.26666666666666666,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.13333333333333333,0.4,0.2,0.5126041591716047,0.16646153846153847
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'piezoelectric cantilever', 'inverse method', 'Airy stress function method', 'stress and induction functions', 'polynomials', 'beam', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.42857142857142855,0.75,0.5454545454545454,8,14,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.42857142857142855,0.75,0.5454545454545454,0.733410900243511,0.4464285714285714,0.42857142857142855,0.75,0.5454545454545454,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.42857142857142855,0.75,0.5454545454545454,0.733410900243511,0.4464285714285714
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'Boolean functions', 'q-partitions', 'method', 'q-partitioning', 'minterms', 'decomposition clone', 'theorem', 'simple disjunctive decomposition', 'partial functions']",0.3,0.75,0.4285714285714285,4,10,0.0,0.0,0.0,0.3,0.75,0.4285714285714285,0.3,0.75,0.4285714285714285,0.6410082375317347,0.3159090909090909,0.3,0.75,0.4285714285714285,0.0,0.0,0.0,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.75,0.46153846153846156,0.666468401414293,0.35
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['questionnaire survey', 'users', 'building performance', 'user perceptions of ease of use', 'compatibility', 'other factors']",0.3333333333333333,0.3333333333333333,0.3333333333333333,6,6,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.708225354913938,0.5111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.708225354913938,0.5111111111111111
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'distributed systems', 'elliptic equations', 'conjugation conditions', 'quadratic minimized function', 'feasible control set u/sub delta', 'Hilbert space u of controls', 'elliptic equations with conjugate conditions', 'control set']",0.3,0.5,0.37499999999999994,6,10,0.4,0.3333333333333333,0.3636363636363636,0.3,0.5,0.37499999999999994,0.3,0.5,0.37499999999999994,0.6581295160124496,0.38076923076923075,0.4,0.6666666666666666,0.5,0.6,0.5,0.5454545454545454,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.5,0.7161403349639142,0.43333333333333335
"['systemological analysis', 'formal system representation', 'axiomatics']","['new method', 'systemological analysis', 'procedure of object-oriented design', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools', 'support', 'development', 'object-oriented systemological method']",0.21428571428571427,1.0,0.35294117647058826,3,14,0.4,0.6666666666666666,0.5,0.3,1.0,0.4615384615384615,0.21428571428571427,1.0,0.35294117647058826,0.5642756228096277,0.21428571428571427,0.21428571428571427,1.0,0.35294117647058826,0.4,0.6666666666666666,0.5,0.3,1.0,0.4615384615384615,0.21428571428571427,1.0,0.35294117647058826,0.5642756228096277,0.21428571428571427
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic government procurement system', 'government procurement', 'suppliers', 'electronic devices', 'tender', 'internal procurement processes', 'government bodies', 'vendors', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.5,0.875,0.6363636363636364,8,14,0.2,0.125,0.15384615384615385,0.3,0.375,0.33333333333333326,0.5,0.875,0.6363636363636364,0.772910440085661,0.5041666666666667,0.5,0.875,0.6363636363636364,0.2,0.125,0.15384615384615385,0.3,0.375,0.33333333333333326,0.5,0.875,0.6363636363636364,0.772910440085661,0.5041666666666667
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['complex systems', 'states', 'identification', 'estimation', 'maximally admissible degree of measurement error', 'apparatus of fuzzy set theory', 'current state', 'system', 'fuzzy values']",0.0,0.0,0.0,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460190706920515,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460190706920515,0.35714285714285715
"['linear algebraic equations', 'numerical system']","['method', 'solution', 'systems of linear algebraic equations', 'proposed method', 'searching', 'numerical system', 'special kind', 'linear algebraic equations', 'solution']",0.2222222222222222,1.0,0.3636363636363636,2,9,0.0,0.0,0.0,0.25,1.0,0.4,0.25,1.0,0.4,0.6060139174371344,0.25,0.2222222222222222,1.0,0.3636363636363636,0.0,0.0,0.0,0.25,1.0,0.4,0.25,1.0,0.4,0.6060139174371344,0.25
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['Internet', 'intranet', 'Web-based access', 'database integration', 'control networks', 'open control networks', 'embedded Web server', 'PC Web server']",0.125,0.2,0.15384615384615385,5,8,0.2,0.2,0.20000000000000004,0.125,0.2,0.15384615384615385,0.125,0.2,0.15384615384615385,0.5540042851923446,0.3583333333333334,0.25,0.4,0.3076923076923077,0.2,0.2,0.20000000000000004,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.6299574868670904,0.3727272727272727
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']",[],0,0.0,0.0,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
['accelerated simulation'],"['Accelerated simulation', 'method', 'evaluation', 'steady-state availability', 'non-Markovian systems', 'class of systems', 'repair']",0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3154648767857289,0.125,0.14285714285714285,1.0,0.25,0.2,1.0,0.33333333333333337,0.14285714285714285,1.0,0.25,0.14285714285714285,1.0,0.25,0.5197142341886782,0.14285714285714285
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological foundations of programming', 'concept of a descriptive process', 'operations of introduction and elimination of abstraction', 'level of processes', 'intensional concept of a bipolar function', 'concept of introduction and extraction of abstraction', 'bipole level']",0.14285714285714285,0.2,0.16666666666666666,5,7,0.0,0.0,0.0,0.14285714285714285,0.2,0.16666666666666666,0.14285714285714285,0.2,0.16666666666666666,0.578002546379249,0.3922077922077922,0.14285714285714285,0.2,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,0.2,0.16666666666666666,0.14285714285714285,0.2,0.16666666666666666,0.578002546379249,0.3922077922077922
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['Compatibility of systems of linear constraints', 'natural numbers', 'system of linear Diophantine equations', 'strict inequations', 'nonstrict inequations', 'components of a minimal set of solutions', 'algorithms of construction of minimal generating sets of solutions', 'types of systems', 'mixed types']",0.2222222222222222,0.4,0.2857142857142857,5,9,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889,0.2222222222222222,0.4,0.2857142857142857,0.4,0.4,0.4000000000000001,0.2222222222222222,0.4,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,0.6049563786769191,0.3388888888888889
"['recurring issues', 'changing practices']","['article', 'two-and-a-half decades', 'literature', 'acquiring', 'out-of-print materials', 'libraries', 'out-of-print materials', 'worn or damaged copies', 'missing copies', 'heavily used materials', 'gaps in collections', 'weak collections', 'strong collections', 'new courses', 'new programs']",0.0,0.0,0.0,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032935912997024,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032935912997024,0.125
