Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'anatomy', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP input data file', 'scanning data', 'segmentation', 'tissues', 'source and detector', 'voxels', 'memory demand', 'calculational speed', 'biological tissues', 'computed tomography', 'magnetic resonance imaging']",0.5454545454545454,0.48,0.5106382978723404,25,22,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.829122893686113,0.6332467532467532,0.5454545454545454,0.48,0.5106382978723404,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8269718975860825,0.625668449197861
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']",['Experiments'],0.0,0.0,0.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118374955798289,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118374955798289,0.875
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['Solution of the safe problem', '-LRB- 0', '1 -RRB-', 'matrices A', 'safe problem', 'locks', 'modulo 2 residue class', 'three possible variants', 'evenness', 'correction of the initial state', 'safe insuring a solution']",0.18181818181818182,0.5,0.26666666666666666,4,11,0.2,0.25,0.22222222222222224,0.2,0.5,0.28571428571428575,0.18181818181818182,0.5,0.26666666666666666,0.5503212106011944,0.24475524475524477,0.18181818181818182,0.5,0.26666666666666666,0.2,0.25,0.22222222222222224,0.2,0.5,0.28571428571428575,0.18181818181818182,0.5,0.26666666666666666,0.5503212106011944,0.24475524475524477
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WML', 'WAP', 'wireless markup language', 'HTML', 'hypertext markup language', 'WAP sites', 'mobile phone screens', 'management system', 'relevance', 'numerals', 'keywords', 'readability', 'communication cost']",0.3076923076923077,0.8,0.4444444444444444,5,13,0.4,0.4,0.4000000000000001,0.2,0.4,0.26666666666666666,0.3076923076923077,0.8,0.4444444444444444,0.6456831339688895,0.31758241758241756,0.3076923076923077,0.8,0.4444444444444444,0.4,0.4,0.4000000000000001,0.2,0.4,0.26666666666666666,0.3076923076923077,0.8,0.4444444444444444,0.6456831339688895,0.31758241758241756
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",['General solution of a density functionally gradient piezoelectric cantilever'],0.0,0.0,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232006379497263,0.8888888888888888
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",['Boolean functions'],0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling user acceptance', 'BMS']",0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028046245779905,0.75
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugate conditions', 'distributed systems', 'quadratic minimized function', 'feasible control set', 'full Hilbert space', 'controls']",0.3333333333333333,0.5,0.4,6,9,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663,0.3333333333333333,0.5,0.4,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663
"['systemological analysis', 'formal system representation', 'axiomatics']","['new method', 'systemological analysis', 'object-oriented design', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools']",0.3,1.0,0.4615384615384615,3,10,0.6,1.0,0.7499999999999999,0.3,1.0,0.4615384615384615,0.3,1.0,0.4615384615384615,0.6396587213360692,0.3,0.3,1.0,0.4615384615384615,0.6,1.0,0.7499999999999999,0.3,1.0,0.4615384615384615,0.3,1.0,0.4615384615384615,0.6396587213360692,0.3
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'Taiwan', 'TGPL', 'electronic government procurement system', 'posting/receiving bids', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding']",0.5555555555555556,0.625,0.5882352941176471,8,9,0.2,0.125,0.15384615384615385,0.5555555555555556,0.625,0.5882352941176471,0.5555555555555556,0.625,0.5882352941176471,0.8098856017163255,0.5972222222222222,0.5555555555555556,0.625,0.5882352941176471,0.2,0.125,0.15384615384615385,0.5555555555555556,0.625,0.5882352941176471,0.5555555555555556,0.625,0.5882352941176471,0.8098856017163255,0.5972222222222222
