Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computation phantoms', 'MCNP calculations', 'calibration of in vivo measurement systems', 'computational phantoms', 'Monte Carlo calculations and data analysis', 'in vivo measurements of radionuclides', 'uranium', 'plutonium', 'software', 'MCNP input data file', 'scanning data', 'segmentation of images', 'computed tomography or magnetic resonance imaging', 'source and detector', 'voxels', 'memory demand', 'calculational speed', 'low energy emitters', 'plastic and biological tissues']",0.3157894736842105,0.24,0.2727272727272727,25,19,0.4,0.08,0.13333333333333333,0.3,0.12,0.17142857142857143,0.26666666666666666,0.16,0.2,0.7446386710960365,0.5757894736842105,0.2631578947368421,0.2,0.22727272727272727,0.25,0.04,0.06896551724137932,0.2222222222222222,0.08,0.11764705882352941,0.21428571428571427,0.12,0.15384615384615383,0.7291527460889913,0.5713838838838838
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'automation', 'preliminary evaluation', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'bridge safety inspections', 'eyesight inspection', 'underside of a bridge', 'manipulator system', 'four arms', 'center of gravity', 'bridge crack inspections']",0.23076923076923078,0.42857142857142855,0.3,7,13,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.23076923076923078,0.42857142857142855,0.3,0.6119517533809811,0.3341952165481577,0.23076923076923078,0.42857142857142855,0.3,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.25,0.42857142857142855,0.3157894736842105,0.6284891253958004,0.35714285714285715
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['0', 'mn locks', 'system of linear equations', 'modulo 2 residue class', 'evenness']",0.4,0.5,0.4444444444444445,4,5,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.7295907101325985,0.4857142857142857,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.7295907101325985,0.4857142857142857
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wireless communications', 'WAP content', 'mobile phone screens', 'time and manpower costs', 'system manager', 'relevance of numerals and keywords', 'communication cost', 'readability']",0.25,0.4,0.3076923076923077,5,8,0.0,0.0,0.0,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.6299574868670904,0.3727272727272727,0.25,0.4,0.3076923076923077,0.0,0.0,0.0,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.6299574868670904,0.3727272727272727
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'general solution', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'tip deflection', 'blocking force', 'given piezoelectric material', 'density distribution profile']",0.5,0.75,0.6,8,12,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428,0.5,0.75,0.6,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'method of q-partitioning', 'minterms', 'decomposition clone', 'simple disjunctive decomposition', 'partial functions', 'theorem', 'examples', 'n variables', 'various forms']",0.2727272727272727,0.75,0.39999999999999997,4,11,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785,0.2727272727272727,0.75,0.39999999999999997,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['questionnaire survey', 'user acceptance', 'optimising building performance', 'ease of use', 'compatibility', 'user perceptions', 'voluntariness', 'balance', 'importance']",0.5555555555555556,0.8333333333333334,0.6666666666666667,6,9,0.6,0.5,0.5454545454545454,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6,0.5,0.5454545454545454,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['conjugate conditions', 'quadratic minimized function', 'distributed systems', 'feasible control set u/sub delta', 'Hilbert space u']",0.6,0.5,0.5454545454545454,6,5,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.8394435660655429,0.675,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.8394435660655429,0.675
"['systemological analysis', 'formal system representation', 'axiomatics']","['development', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'formalized NFO/UFO analysis algorithm', 'CASE tools']",0.25,0.6666666666666666,0.36363636363636365,3,8,0.4,0.6666666666666666,0.5,0.25,0.6666666666666666,0.36363636363636365,0.25,0.6666666666666666,0.36363636363636365,0.6050861707334841,0.2777777777777778,0.25,0.6666666666666666,0.36363636363636365,0.4,0.6666666666666666,0.5,0.25,0.6666666666666666,0.36363636363636365,0.25,0.6666666666666666,0.36363636363636365,0.6050861707334841,0.2777777777777778
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['posting/receiving bids via the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.8333333333333334,0.625,0.7142857142857143,8,6,0.8,0.5,0.6153846153846154,0.8333333333333334,0.625,0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.9368281361871058,0.8541666666666667,0.8333333333333334,0.625,0.7142857142857143,0.8,0.5,0.6153846153846154,0.8333333333333334,0.625,0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.9368281361871058,0.8541666666666667
