Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'anatomy', 'thorium', 'uranium', 'plutonium', 'actinides', 'scanning data', 'segmentation', 'computed tomography', 'magnetic resonance imaging', 'source', 'detector', 'voxels', 'memory demand', 'calculational speed', 'plastic and biological tissues']",0.55,0.44,0.48888888888888893,25,20,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.8341633483008551,0.653764705882353,0.55,0.44,0.48888888888888893,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.8319542286605643,0.6460227272727272
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'automation', 'bridge safety inspections', 'eyesight inspection', 'preliminary evaluation', 'screening', 'crack inspection', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'parallel cameras', 'accessible', 'danger of accidents', 'human inspectors', 'four arms', 'center of gravity', 'operation', 'bridge crack inspections']",0.21052631578947367,0.5714285714285714,0.3076923076923077,7,19,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.579222154268246,0.2566643882433356,0.21052631578947367,0.5714285714285714,0.3076923076923077,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.5898256774003771,0.2698412698412698
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['mn locks', 'system of linear equations', 'modulo 2 residue class', 'evenness', 'correction of the initial state']",0.4,0.5,0.4444444444444445,4,5,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.7295907101325985,0.4857142857142857,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.4,0.5,0.4444444444444445,0.7295907101325985,0.4857142857142857
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wireless communications', 'WAP sites', 'manpower costs', 'system manager', 'communication cost', 'readability', 'effective performance']",0.2857142857142857,0.4,0.3333333333333333,5,7,0.2,0.2,0.20000000000000004,0.2857142857142857,0.4,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.659662586023637,0.41428571428571426,0.2857142857142857,0.4,0.3333333333333333,0.2,0.2,0.20000000000000004,0.2857142857142857,0.4,0.3333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.659662586023637,0.41428571428571426
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'Airy stress function method', 'stress and induction functions', 'polynomials', 'general solution', 'beam', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.5,0.75,0.6,8,12,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428,0.5,0.75,0.6,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition of Boolean functions', 'q-partitions', 'method of q-partitioning', 'minterms', 'decomposition clone', 'simple disjunctive decomposition', 'partial functions', 'n variables', 'various forms', 'theorem', '1999']",0.2727272727272727,0.75,0.39999999999999997,4,11,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785,0.2727272727272727,0.75,0.39999999999999997,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling user acceptance', 'building management systems', 'questionnaire survey', 'users', 'full use', 'facilities', 'user perceptions', 'ease of use', 'compatibility', 'perceived ease of use']",0.5,0.8333333333333334,0.625,6,10,0.4,0.3333333333333333,0.3636363636363636,0.5,0.8333333333333334,0.625,0.5,0.8333333333333334,0.625,0.7718548193728025,0.5075757575757576,0.5,0.8333333333333334,0.625,0.4,0.3333333333333333,0.3636363636363636,0.5,0.8333333333333334,0.625,0.5,0.8333333333333334,0.625,0.7718548193728025,0.5075757575757576
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.14285714285714285,0.16666666666666666,0.15384615384615383,6,7,0.2,0.16666666666666666,0.1818181818181818,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.5974748583411873,0.44047619047619047,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.4,0.3333333333333333,0.3636363636363636,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.6729669221871969,0.4588744588744589
"['systemological analysis', 'formal system representation', 'axiomatics']","['new method', 'systemological analysis', 'object-oriented design', 'object-oriented systemological method', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools', 'systemological analysis', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.21428571428571427,1.0,0.35294117647058826,3,14,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.2727272727272727,1.0,0.42857142857142855,0.6172084712604803,0.2727272727272727,0.21428571428571427,1.0,0.35294117647058826,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.2727272727272727,1.0,0.42857142857142855,0.6172084712604803,0.2727272727272727
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'efficient', 'transparent', 'nondiscriminating', 'accountable', 'electronic government procurement system', 'suppliers', 'electronic devices', 'tender', 'internal procurement processes', 'posting/receiving bids via the Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.47058823529411764,1.0,0.6399999999999999,8,17,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.4,0.75,0.5217391304347827,0.7553536881352876,0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.4,0.75,0.5217391304347827,0.7553536881352876,0.47058823529411764
