Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'anatomy', 'low energy gamma ray emitting sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'MCNP', 'input data file', 'scanning data', 'segmentation', 'images', 'computed tomography', 'magnetic resonance imaging', 'tissues', 'voxels', 'memory demand', 'calculational speed']",0.5454545454545454,0.48,0.5106382978723404,25,22,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.829122893686113,0.6332467532467532,0.5454545454545454,0.48,0.5106382978723404,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.5333333333333333,0.32,0.4,0.8269718975860825,0.625668449197861
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['CCD cameras', 'Balance weights']",0.0,0.0,0.0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211558598969094,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211558598969094,0.7777777777777778
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['Solution', 'problem', 'safe', 'matrices', 'locks', 'modulo 2', 'residue class', 'evenness', 'correction', 'initial state', 'safe']",0.0,0.0,0.0,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4168433904426998,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4168433904426998,0.2857142857142857
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'site', 'management', 'system', 'wireless', 'communications', 'WML', 'HTML', 'mobile', 'phone', 'screens', 'costs', 'relevance', 'keywords', 'numerals', 'readability']",0.0625,0.2,0.09523809523809523,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44629913371492136,0.21250000000000002,0.0625,0.2,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44629913371492136,0.21250000000000002
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['General solution', 'density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'stress and induction functions', 'polynomials', 'general solution of the beam', 'loading conditions', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.5,0.75,0.6,8,12,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428,0.5,0.75,0.6,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']",['Boolean functions'],0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7606395682357036,0.8
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling', 'user acceptance', 'building management systems', 'BMS', 'questionnaire survey', 'technology acceptance', 'ease of use', 'compatibility', 'voluntariness']",0.5555555555555556,0.8333333333333334,0.6666666666666667,6,9,0.4,0.3333333333333333,0.3636363636363636,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.4,0.3333333333333333,0.3636363636363636,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8027052182565173,0.562962962962963
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugate conditions', 'distributed systems', 'quadratic minimized function', 'feasible control set', 'full Hilbert space', 'controls', 'discretization schemes']",0.3,0.5,0.37499999999999994,6,10,0.4,0.3333333333333333,0.3636363636363636,0.3,0.5,0.37499999999999994,0.3,0.5,0.37499999999999994,0.6581295160124496,0.38076923076923075,0.3,0.5,0.37499999999999994,0.4,0.3333333333333333,0.3636363636363636,0.3,0.5,0.37499999999999994,0.3,0.5,0.37499999999999994,0.6581295160124496,0.38076923076923075
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented design', 'method', 'coordinated', 'procedure', 'object-oriented system', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis', 'CASE tools']",0.23076923076923078,1.0,0.375,3,13,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.23076923076923078,1.0,0.375,0.5799624424569719,0.23076923076923078,0.23076923076923078,1.0,0.375,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.23076923076923078,1.0,0.375,0.5799624424569719,0.23076923076923078
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['government procurement', 'Taiwan', 'TGPL', 'suppliers', 'electronic devices', 'forward', 'tender', 'internal procurement processes', 'posting', 'receiving bids', 'vendor registration', 'certificate authorization', 'contract development tools', 'bid/request for proposal', 'online bidding']",0.3333333333333333,0.625,0.43478260869565216,8,15,0.0,0.0,0.0,0.1,0.125,0.11111111111111112,0.3333333333333333,0.625,0.43478260869565216,0.6762814177704355,0.375,0.3333333333333333,0.625,0.43478260869565216,0.0,0.0,0.0,0.1,0.125,0.11111111111111112,0.3333333333333333,0.625,0.43478260869565216,0.6762814177704355,0.375
