Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computation phantoms', 'MCNP', 'Monte Carlo calculations', 'in vivo measurement systems', 'radionuclides', 'tissues', 'low energy gamma ray', 'thorium', 'uranium', 'plutonium', 'actinides', 'computed tomography', 'magnetic resonance imaging', 'segmentation', 'voxels', 'memory demand', 'calculational speed', 'plastic', 'biological tissues']",0.47368421052631576,0.36,0.40909090909090906,25,19,0.6,0.12,0.19999999999999998,0.4,0.16,0.22857142857142856,0.4,0.24,0.3,0.806613268589945,0.6276691729323308,0.47368421052631576,0.36,0.40909090909090906,0.6,0.12,0.19999999999999998,0.4,0.16,0.22857142857142856,0.4,0.24,0.3,0.8038575468793546,0.6188080495356038
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile', 'manipulator', 'imaging', 'system', 'bridge', 'crack', 'inspection', 'automation', 'safety', 'inspection vehicle', 'scaffolding', 'CCD cameras', 'four-axis', 'manipulator system', 'binocular', 'charge coupled devices', 'accident', 'danger', 'human inspectors', 'arms', 'center of gravity']",0.09523809523809523,0.2857142857142857,0.14285714285714285,7,21,0.0,0.0,0.0,0.1,0.14285714285714285,0.11764705882352941,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.48637211453033197,0.2195185766614338,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.1,0.14285714285714285,0.11764705882352941,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.48637211453033197,0.2195185766614338
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'modulo 2 residue class', 'linear equations', 'locks', 'system', 'solution', 'evenness', 'correction', 'initial state']",0.3333333333333333,0.75,0.46153846153846156,4,9,0.6,0.75,0.6666666666666665,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.75,0.46153846153846156,0.666468401414293,0.35,0.3333333333333333,0.75,0.46153846153846156,0.6,0.75,0.6666666666666665,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.75,0.46153846153846156,0.666468401414293,0.35
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP', 'WML', 'HTML', 'wireless communications', 'mobile phone', 'WAP site management', 'intelligent management system', 'readability', 'communication cost', 'mobile phone screens', 'numerals', 'keywords', 'relevance']",0.23076923076923078,0.6,0.33333333333333337,5,13,0.2,0.2,0.20000000000000004,0.3,0.6,0.4,0.23076923076923078,0.6,0.33333333333333337,0.5907550958540527,0.27179487179487183,0.23076923076923078,0.6,0.33333333333333337,0.2,0.2,0.20000000000000004,0.3,0.6,0.4,0.23076923076923078,0.6,0.33333333333333337,0.5907550958540527,0.27179487179487183
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient', 'piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'stress', 'induction', 'general solution', 'beam', 'loading conditions', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']",0.4,0.75,0.5217391304347827,8,15,0.4,0.25,0.3076923076923077,0.3,0.375,0.33333333333333326,0.4,0.75,0.5217391304347827,0.7155754645998414,0.4176470588235295,0.4,0.75,0.5217391304347827,0.4,0.25,0.3076923076923077,0.3,0.375,0.33333333333333326,0.4,0.75,0.5217391304347827,0.7155754645998414,0.4176470588235295
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitioning', 'minterms', 'decomposition', 'clone', 'disjunctive decomposition', 'partial functions', 'examples']",0.375,0.75,0.5,4,8,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['management', 'systems', 'user', 'acceptance', 'questionnaire', 'survey', 'performance', 'technology', 'ease', 'use', 'compatibility', 'voluntariness', 'perceived', 'importance', 'models', 'research', 'factors', 'influence', 'importance', 'balance', 'moderated', 'perceptions']",0.09090909090909091,0.3333333333333333,0.14285714285714288,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3333333333333333,0.19047619047619044,0.4717909510424869,0.19174603174603175,0.09090909090909091,0.3333333333333333,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.3333333333333333,0.19047619047619044,0.4717909510424869,0.19174603174603175
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational', 'finite-element', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'quadratic minimized function', 'feasible control set', 'Hilbert space', 'controls']",0.2,0.3333333333333333,0.25,6,10,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.5980938299162285,0.3523809523809524,0.3,0.5,0.37499999999999994,0.2,0.16666666666666666,0.1818181818181818,0.3,0.5,0.37499999999999994,0.3,0.5,0.37499999999999994,0.6581295160124496,0.38076923076923075
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'object-oriented design', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools']",0.3333333333333333,1.0,0.5,3,9,0.6,1.0,0.7499999999999999,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.6655145881181499,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6,1.0,0.7499999999999999,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.6655145881181499,0.3333333333333333
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'Taiwan', 'TGPL', 'electronic government procurement system', 'electronic devices', 'tender', 'Internet', 'vendor registration', 'certificate authorization', 'contract development', 'RFP', 'online bidding', 'online payment', 'information infrastructure']",0.4,0.75,0.5217391304347827,8,15,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.4,0.75,0.5217391304347827,0.7155754645998414,0.4176470588235295,0.4,0.75,0.5217391304347827,0.4,0.25,0.3076923076923077,0.4,0.5,0.4444444444444445,0.4,0.75,0.5217391304347827,0.7155754645998414,0.4176470588235295
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['Identification', 'states', 'complex systems', 'estimation', 'measurement errors', 'fuzzy information', 'fuzzy set theory', 'maximally admissible', 'degree', 'measurement error']",0.3,0.6,0.4,5,10,0.0,0.0,0.0,0.3,0.6,0.4,0.3,0.6,0.4,0.6485587299686668,0.3466666666666667,0.3,0.6,0.4,0.2,0.2,0.20000000000000004,0.3333333333333333,0.6,0.42857142857142855,0.3333333333333333,0.6,0.42857142857142855,0.6736307098538684,0.38181818181818183
"['linear algebraic equations', 'numerical system']","['linear', 'algebraic', 'equations', 'm-dimensional', 'lambda', 'matrices', 'system', 'solution', 'numerical', 'special']",0.0,0.0,0.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367288498329476,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367288498329476,0.16666666666666666
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['facilities management', 'Internet', 'intranet', 'Web-based access', 'database integration', 'control networks', 'Internet protocols', 'infrastructures', 'embedded Web server', 'PC Web server', 'Distributed Component Object Model', 'DCOM', 'open control network']",0.15384615384615385,0.4,0.2222222222222222,5,13,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.15384615384615385,0.4,0.2222222222222222,0.5340127345059309,0.24903846153846154,0.15384615384615385,0.4,0.2222222222222222,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.15384615384615385,0.4,0.2222222222222222,0.5340127345059309,0.24903846153846154
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['collective dose', 'population', 'facility operations', 'public', 'electronic population data', 'personal computer', 'radii', 'sites']",0.375,0.6,0.4615384615384615,5,8,0.4,0.4,0.4000000000000001,0.375,0.6,0.4615384615384615,0.375,0.6,0.4615384615384615,0.7029583697635048,0.425,0.375,0.6,0.4615384615384615,0.4,0.4,0.4000000000000001,0.375,0.6,0.4615384615384615,0.375,0.6,0.4615384615384615,0.7029583697635048,0.425
['accelerated simulation'],"['steady-state', 'availability', 'non-Markovian systems', 'accelerated', 'method', 'evaluation', 'repair', 'systems', 'investigation', 'class', 'examples']",0.0,0.0,0.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['descriptological', 'programming', 'foundations', 'concept', 'descriptive', 'process', 'introduction', 'elimination', 'abstraction', 'level', 'operations', 'intensional', 'concept', 'bipolar', 'function', 'extraction', 'descriptological', 'set', 'operations']",0.05263157894736842,0.2,0.08333333333333333,5,19,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.07142857142857142,0.2,0.10526315789473682,0.44629913371492136,0.21250000000000002,0.05263157894736842,0.2,0.08333333333333333,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.07142857142857142,0.2,0.10526315789473682,0.44629913371492136,0.21250000000000002
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['linear', 'constraints', 'Diophantine equations', 'inequations', 'nonstrict', 'strict', 'natural numbers', 'compatibility', 'criteria', 'minimal', 'set', 'solutions', 'algorithms', 'construction', 'generating', 'supporting', 'systems', 'mixed types']",0.0,0.0,0.0,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806942074692665,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806942074692665,0.21739130434782608
"['recurring issues', 'changing practices']","['out-of-print', 'materials', 'literature', 'libraries', 'acquiring', 'worn', 'damaged', 'copies', 'missing', 'duplicate', 'heavily used', 'collections', 'gaps', 'weak', 'strong', 'courses', 'programs', 'new', 'libraries']",0.0,0.0,0.0,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814642757307447,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814642757307447,0.1
['pseudofuzzy quantities'],"['Bayesian', 'inference', 'technique', 'decision-making', 'fuzzy data', 'pseudofuzzy', 'quantities', 'modus-ponens', 'rule', 'Bayesian decision procedure', 'problems', 'practical realization']",0.0,0.0,0.0,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2626495350371938,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2626495350371938,0.07692307692307693
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['Purdue University', 'Amazon', 'pilot project', 'just-in-time acquisitions', 'ordering criteria', 'patron comments', 'statistics', 'staff perceptions']",0.375,0.75,0.5,4,8,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.2,0.25,0.22222222222222224,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['Nonlinear extrapolation', 'random process', 'method', 'algorithm', 'construction', 'mixed central moment functions', 'V. S. Pugachev', 'canonical decomposition', 'moment function']",0.2222222222222222,0.3333333333333333,0.26666666666666666,6,9,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.6192270253017201,0.38176638176638183,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.6192270253017201,0.38176638176638183
