Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']",[],0,0.0,0.0,25,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['bridge crack inspection', 'automation', 'preliminary evaluation', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'bridge safety inspections', 'parallel cameras', 'binocular charge coupled devices', 'center of gravity', 'bridge crack inspections']",0.2727272727272727,0.42857142857142855,0.33333333333333326,7,11,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.2727272727272727,0.42857142857142855,0.33333333333333326,0.6470791212830274,0.38354978354978353,0.2727272727272727,0.42857142857142855,0.33333333333333326,0.4,0.2857142857142857,0.3333333333333333,0.3,0.42857142857142855,0.3529411764705882,0.3,0.42857142857142855,0.3529411764705882,0.668184909937437,0.41428571428571426
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['0', 'mn locks', 'linear equations', 'modulo 2 residue class', 'evenness', 'solution', 'initial state', 'correction']",0.375,0.75,0.5,4,8,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111,0.375,0.75,0.5,0.6,0.75,0.6666666666666665,0.375,0.75,0.5,0.375,0.75,0.5,0.6962737330462945,0.3923611111111111
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['WAP sites', 'HTML', 'mobile phone screens', 'WAP users', 'intelligent WAP site management system', 'WAP content', 'system manager', 'relevance', 'numerals and keywords', 'unimportant or meaningless contents', 'original contents', 'communication cost', 'readability', 'experiments']",0.14285714285714285,0.4,0.21052631578947364,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.4,0.21052631578947364,0.5209786160588079,0.23361344537815126,0.14285714285714285,0.4,0.21052631578947364,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.4,0.21052631578947364,0.5209786160588079,0.23361344537815126
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'general solution', 'polynomials', 'beam', 'loading conditions', 'piezoelectric cantilever actuator', 'tip deflection', 'blocking force', 'density distribution profile', 'given piezoelectric material']",0.46153846153846156,0.75,0.5714285714285714,8,13,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.46153846153846156,0.75,0.5714285714285714,0.7531815352963929,0.47948717948717945,0.46153846153846156,0.75,0.5714285714285714,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.46153846153846156,0.75,0.5714285714285714,0.7531815352963929,0.47948717948717945
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'q-partitions', 'decomposition', 'variables', 'forms', 'minterms', 'decomposition clone', 'theorem', 'simple disjunctive decomposition', 'partial functions', 'examples']",0.2727272727272727,0.75,0.39999999999999997,4,11,0.0,0.0,0.0,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785,0.2727272727272727,0.75,0.39999999999999997,0.0,0.0,0.0,0.3,0.75,0.4285714285714285,0.2727272727272727,0.75,0.39999999999999997,0.6189343158569034,0.28787878787878785
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['BMS', 'questionnaire survey', 'user acceptance', 'optimising building performance', 'ease of use', 'compatibility', 'technology acceptance', 'user perceptions', 'voluntariness', 'facilities', 'research', 'performance', 'crucial', 'moderated', 'balance', 'factors', 'importance', 'relative', 'generally', 'important', 'user perceptions']",0.23809523809523808,0.8333333333333334,0.37037037037037035,6,21,0.4,0.3333333333333333,0.3636363636363636,0.5,0.8333333333333334,0.625,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.6004572734328022,0.25595238095238093,0.23809523809523808,0.8333333333333334,0.37037037037037035,0.4,0.3333333333333333,0.3636363636363636,0.5,0.8333333333333334,0.625,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.6113958397143802,0.26929824561403504
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal control', 'elliptic system', 'conjugate conditions', 'quadratic minimized function', 'distributed systems', 'feasible control set', 'u/sub delta', 'Hilbert space']",0.375,0.5,0.42857142857142855,6,8,0.6,0.5,0.5454545454545454,0.375,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.7115958900032683,0.4602272727272727,0.375,0.5,0.42857142857142855,0.6,0.5,0.5454545454545454,0.375,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.7115958900032683,0.4602272727272727
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis', 'paper', 'no. 81', 'object-oriented systemological method', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'formalized NFO/UFO analysis algorithm', 'CASE tools']",0.25,1.0,0.4,3,12,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.25,1.0,0.4,0.597478686196872,0.25,0.25,1.0,0.4,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.25,1.0,0.4,0.597478686196872,0.25
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['efficient', 'transparent', 'nondiscriminating', 'accountable', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.5555555555555556,0.625,0.5882352941176471,8,9,0.2,0.125,0.15384615384615385,0.5555555555555556,0.625,0.5882352941176471,0.5555555555555556,0.625,0.5882352941176471,0.8098856017163255,0.5972222222222222,0.5555555555555556,0.625,0.5882352941176471,0.2,0.125,0.15384615384615385,0.5555555555555556,0.625,0.5882352941176471,0.5555555555555556,0.625,0.5882352941176471,0.8098856017163255,0.5972222222222222
