Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['graphical user interface', 'computation phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'anatomy', 'thorium', 'uranium', 'plutonium', 'actinides', 'scanning data', 'segmentation', 'computed tomography', 'magnetic resonance imaging', 'source', 'detector', 'voxels', 'computational phantoms', 'individual properties', 'geometric representation', 'memory demand', 'calculational speed', 'plastic', 'biological tissues']",0.56,0.56,0.56,25,25,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8311540447484906,0.6191555555555556,0.52,0.52,0.52,0.8,0.16,0.26666666666666666,0.6,0.24,0.34285714285714286,0.6,0.36,0.45,0.8227303077239508,0.6076884920634921
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'preliminary evaluation', 'screening', 'cracks', 'CCD cameras', 'four-axis manipulator system', 'mobile vehicle', 'parallel cameras', 'structures', 'danger', 'accidents', 'human inspectors', 'arms', 'center of gravity', 'operation']",0.2222222222222222,0.5714285714285714,0.32,7,18,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.5898256774003771,0.2698412698412698,0.2222222222222222,0.5714285714285714,0.32,0.6,0.42857142857142855,0.5,0.3,0.42857142857142855,0.3529411764705882,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.5898256774003771,0.2698412698412698
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'matrices', 'modulo 2 residue class', 'linear equations', 'm and n', 'evenness', 'variants', 'correction', 'initial state', 'insuring']",0.3,0.75,0.4285714285714285,4,10,0.6,0.75,0.6666666666666665,0.3,0.75,0.4285714285714285,0.3,0.75,0.4285714285714285,0.6410082375317347,0.3159090909090909,0.3,0.75,0.4285714285714285,0.6,0.75,0.6666666666666665,0.3,0.75,0.4285714285714285,0.3,0.75,0.4285714285714285,0.6410082375317347,0.3159090909090909
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wireless communications', 'WAP sites', 'considerable time and manpower costs', 'system manager', 'communication cost', 'readability']",0.3333333333333333,0.4,0.3636363636363636,5,6,0.2,0.2,0.20000000000000004,0.3333333333333333,0.4,0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636,0.6957476968145455,0.4666666666666667,0.3333333333333333,0.4,0.3636363636363636,0.2,0.2,0.20000000000000004,0.3333333333333333,0.4,0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636,0.6957476968145455,0.4666666666666667
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'Airy stress function method', 'stress and induction functions', 'polynomials', 'general solution', 'beam', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.5,0.75,0.6,8,12,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428,0.5,0.75,0.6,0.6,0.375,0.4615384615384615,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.7752637633254678,0.5178571428571428
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['new approach', 'decomposition', 'Boolean functions', 'q-partitions', 'method', 'q-partitioning', 'minterms', 'decomposition clone', 'theorem', 'disjunctive decomposition', 'partial functions', 'illustrated', 'examples', 'Boolean', 'variables', 'represented', 'forms', 'based', 'considered']",0.21052631578947367,1.0,0.34782608695652173,4,19,0.0,0.0,0.0,0.3,0.75,0.4285714285714285,0.26666666666666666,1.0,0.4210526315789474,0.5598952420684384,0.21052631578947367,0.21052631578947367,1.0,0.34782608695652173,0.0,0.0,0.0,0.3333333333333333,0.75,0.46153846153846156,0.2857142857142857,1.0,0.4444444444444445,0.5709282136454872,0.2222222222222222
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['Modelling', 'user acceptance', 'building management systems', 'questionnaire survey', 'users', 'facilities', 'technology acceptance', 'ease of use', 'compatibility']",0.4444444444444444,0.6666666666666666,0.5333333333333333,6,9,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['Computational finite-element schemes', 'optimal control', 'elliptic system', 'conjugation conditions', 'distributed systems', 'elliptic equations', 'quadratic minimized function', 'feasible control set', 'Hilbert space']",0.3333333333333333,0.5,0.4,6,9,0.2,0.16666666666666666,0.1818181818181818,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6827953429261459,0.41666666666666663,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7440673260079957,0.4781144781144781
"['systemological analysis', 'formal system representation', 'axiomatics']","['new method', 'systemological analysis', 'object-oriented design', 'development', 'object-oriented systemological method', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools', 'support', 'systemological analysis', 'object-oriented design', 'development', 'object-oriented systemological method', 'complex systems', 'formal system representation', 'axiomatics', 'calculus of systems', 'functional flow-type objects', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm']",0.12,1.0,0.21428571428571425,3,25,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.21428571428571427,1.0,0.35294117647058826,0.5642756228096277,0.21428571428571427,0.12,1.0,0.21428571428571425,0.2,0.3333333333333333,0.25,0.3,1.0,0.4615384615384615,0.21428571428571427,1.0,0.35294117647058826,0.5642756228096277,0.21428571428571427
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic tendering', 'government procurement', 'efficient', 'transparent', 'nondiscriminating', 'accountable', 'electronic government procurement system', 'suppliers', 'electronic devices', 'tender', 'internal procurement processes', 'posting/receiving bids', 'Internet', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']",0.4444444444444444,1.0,0.6153846153846153,8,18,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.3333333333333333,0.625,0.43478260869565216,0.7398540240400181,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.3333333333333333,0.625,0.43478260869565216,0.7398540240400181,0.4444444444444444
