Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['archaeological landscapes', 'artefacts', 'control of camera position', 'data capture at close range', 'digital camera', 'digital photogrammetry', 'laser scanners', 'laser scanning', 'ordinary still photographs', 'prior training about the required number and overlap of photographs', 'recording process', 'sites', 'terracotta warrior models']","['3D models', 'digital photogrammetry', 'laser scanners', 'camera position', 'archaeological landscapes', 'sites', 'artefacts', 'terracotta warrior models', 'surface detail']",0.6666666666666666,0.46153846153846156,0.5454545454545455,13,9,0.6,0.23076923076923078,0.33333333333333337,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.8753487096796059,0.7451923076923077,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6,0.23076923076923078,0.33333333333333337,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.8753487096796059,0.7451923076923077
"['describe the geodetic data transformation method', 'terrain data processing', 'terrain digital data']","['terrain data processing', 'geodetic data transformation', 'Shuttle Radar Topographical Mission', 'SRTM', '3DWF', 'atmospheric flow', 'Cartesian coordinate system']",0.14285714285714285,0.3333333333333333,0.2,3,7,0.2,0.3333333333333333,0.25,0.14285714285714285,0.3333333333333333,0.2,0.14285714285714285,0.3333333333333333,0.2,0.533198762058717,0.2698412698412699,0.14285714285714285,0.3333333333333333,0.2,0.2,0.3333333333333333,0.25,0.14285714285714285,0.3333333333333333,0.2,0.14285714285714285,0.3333333333333333,0.2,0.533198762058717,0.2698412698412699
"['applications', 'broker', 'cloud computing', 'grid computing', 'high performance computing', 'interaction models', 'queuing system', 'virtualization technologies', 'virtualized interface', 'virtual server']","['high performance computing', 'virtualization technologies', 'heterogeneous computing environments', 'bare metal', 'performance degradation', 'grid computing', 'cloud computing', 'interaction models', 'queuing system', 'virtual server', 'operating system', 'usability hurdles', 'scientific investigations']",0.5384615384615384,0.7,0.608695652173913,10,13,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769,0.5384615384615384,0.7,0.608695652173913,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769
"['adiabaticity violation', 'conversion in matter', 'neutrino', 'relative orientation of the eigenstates', 'vacuum']","['neutrino', 'matter Hamiltonians', 'eigenstates', 'adiabaticity', 'level crossing', 'neutrino trajectory', 'probability Pc', 'linear profile', 'step function', 'level jumping']",0.1,0.2,0.13333333333333333,5,10,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.1,0.2,0.13333333333333333,0.516250872867048,0.30571428571428577,0.1,0.2,0.13333333333333333,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.1,0.2,0.13333333333333333,0.516250872867048,0.30571428571428577
"['approximate solution', 'brane solutions', 'calculate the cross section for the absorption of massless scalars', 'entirely world volume approach', 'higher angular momentum modes', 'linear fluctuations', 'linearized approximation', 'supergravity calculation', 'world volume solitons']","['self-dual string', 'M-theory five-brane', 'world volume approach', 'linearized approximation', 'angular momentum modes', 'world volume solitons', 'supergravity', 'Coulomb type potential', 'six-dimensional supergravity.']",0.2222222222222222,0.2222222222222222,0.2222222222222222,9,9,0.2,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6574100038116009,0.4868827160493827,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6574100038116009,0.4868827160493827
"['clear inflections', 'crystallise', 'latent heat', 'liquid', 'molten pool', 'phase change', 'phase transition', 'quenched', 'reflected light signal technique', 'segregation', 'solidification arrest', 'surface', 'thermograms']","['XRD analysis', 'segregation effects', 'phase transition temperature', 'thermograms', 'latent heat', 'reflected light signal', 'Raman spectroscopy', 'phase transition', 'uncertainties in composition']",0.3333333333333333,0.23076923076923078,0.27272727272727276,13,9,0.4,0.15384615384615385,0.2222222222222222,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.7424797220386219,0.6032388663967612,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.4,0.15384615384615385,0.2222222222222222,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.7424797220386219,0.6032388663967612
"['adipic acid', 'alditols', 'amino acids', 'citric acid', 'copolymerization', 'copolymerizations', 'cyclic ester monomers', 'dimethyl malonate', 'divinyl adipate', 'glycerol', 'lactic acid', 'lipases', 'monomers', 'polycondensation', 'polyester', 'polyesters', 'triols']","['poly(butylene succinate)', 'polyester', 'polycondensation', 'ring-opening polymerization', 'enzyme-catalyzed reactions', 'hydroxyl-bearing polyesters', 'pendant functional groups', 'poly[(l-lactic acid)-co-(citric acid)]', 'PLCA oligomer', 'PLCA–PLLA multiblock copolymer', 'lipases', 'cyclic ester monomers', 'α-hydroxy acids', 'amino acids', 'polycondensation reactions.']",0.3333333333333333,0.29411764705882354,0.3125,17,15,0.4,0.11764705882352941,0.1818181818181818,0.2,0.11764705882352941,0.14814814814814817,0.3333333333333333,0.29411764705882354,0.3125,0.7315888763149229,0.5424836601307189,0.3333333333333333,0.29411764705882354,0.3125,0.4,0.11764705882352941,0.1818181818181818,0.2,0.11764705882352941,0.14814814814814817,0.3333333333333333,0.29411764705882354,0.3125,0.7206874987795308,0.5111111111111111
['directed acyclic graphs'],"['MapReduce workflows', 'Hadoop', 'directed acyclic graphs (DAGs)', 'Pig Latin', 'procedural language', 'SQL', 'relational database systems', 'user-defined functions (UDFs)', 'Java', 'Hadoop community', 'generalized DAG processing']",0.0,0.0,0.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333
"['asphaltic samples', 'bitumen', 'bituminous material', 'glass', 'interlocking', 'modified asphalt', 'particles', 'saphaltic samples', 'stiffness modulus']","['stiffness modulus', 'asphaltic samples', 'waste glass cullet', 'bitumen content', 'Marshall tests', 'interlocking', 'angularity', 'friction angle', 'temperature']",0.3333333333333333,0.3333333333333333,0.3333333333333333,9,9,0.4,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7110170938359819,0.5111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7110170938359819,0.5111111111111111
"['classification', 'comparison between two popular feature extraction methods', 'depth maps']","['feature extraction methods', 'depth maps', 'Microsoft Kinect camera', 'classification method']",0.25,0.3333333333333333,0.28571428571428575,3,4,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.649229084128692,0.4166666666666667,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.25,0.3333333333333333,0.28571428571428575,0.649229084128692,0.4166666666666667
