Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['archaeological landscapes', 'artefacts', 'control of camera position', 'data capture at close range', 'digital camera', 'digital photogrammetry', 'laser scanners', 'laser scanning', 'ordinary still photographs', 'prior training about the required number and overlap of photographs', 'recording process', 'sites', 'terracotta warrior models']","['digital photogrammetry', 'laser scanners', 'positional accuracy', 'true colour fidelity', 'camera position', 'equipment costs', 'digital camera', 'archaeological landscapes', 'terracotta warrior models', 'surface detail']",0.5,0.38461538461538464,0.4347826086956522,13,10,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368,0.5,0.38461538461538464,0.4347826086956522,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368
"['describe the geodetic data transformation method', 'terrain data processing', 'terrain digital data']","['geodetic data transformation', 'terrain data processing', 'Google Maps/Earth', 'SRTM', 'Shuttle Radar Topographical Mission', ""USGS's DEM"", 'Digital Elevation Model', '3DWF', 'fine resolution terrain data', 'WGS84', 'World Geodetic System 84', 'ENU coordinate']",0.08333333333333333,0.3333333333333333,0.13333333333333333,3,12,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.4425310570563989,0.17063492063492064,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.4425310570563989,0.17063492063492064
"['applications', 'broker', 'cloud computing', 'grid computing', 'high performance computing', 'interaction models', 'queuing system', 'virtualization technologies', 'virtualized interface', 'virtual server']","['high performance computing', 'heterogeneous computing environments', 'virtualization technologies', 'bare metal', 'performance degradation', 'grid computing', 'cloud computing', 'interaction models', 'queuing system', 'virtual server', 'operating system', 'usability hurdles', 'scientific investigations']",0.5384615384615384,0.7,0.608695652173913,10,13,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769,0.5384615384615384,0.7,0.608695652173913,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769
"['adiabaticity violation', 'conversion in matter', 'neutrino', 'relative orientation of the eigenstates', 'vacuum']","['adiabaticity violation', 'infinite exponential profile', 'level jumping', 'linear profile', 'matter Hamiltonians', 'neutrino trajectory', 'NSI case', 'step function']",0.125,0.2,0.15384615384615385,5,8,0.2,0.2,0.20000000000000004,0.125,0.2,0.15384615384615385,0.125,0.2,0.15384615384615385,0.5540042851923446,0.3583333333333334,0.125,0.2,0.15384615384615385,0.2,0.2,0.20000000000000004,0.125,0.2,0.15384615384615385,0.125,0.2,0.15384615384615385,0.5540042851923446,0.3583333333333334
"['approximate solution', 'brane solutions', 'calculate the cross section for the absorption of massless scalars', 'entirely world volume approach', 'higher angular momentum modes', 'linear fluctuations', 'linearized approximation', 'supergravity calculation', 'world volume solitons']","['self-dual string', 'M-theory five-brane', 'world volume approach', 'linear fluctuations', 'transverse scalars', 'angular momentum modes', 'linearized approximation', 'world volume solitons', 'Coulomb type potential', 'supergravity', 'brane solutions']",0.36363636363636365,0.4444444444444444,0.39999999999999997,9,11,0.2,0.1111111111111111,0.14285714285714285,0.3,0.3333333333333333,0.3157894736842105,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.713864700513098,0.4741161616161616,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.2,0.1111111111111111,0.14285714285714285,0.3,0.3333333333333333,0.3157894736842105,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.713864700513098,0.4741161616161616
"['clear inflections', 'crystallise', 'latent heat', 'liquid', 'molten pool', 'phase change', 'phase transition', 'quenched', 'reflected light signal technique', 'segregation', 'solidification arrest', 'surface', 'thermograms']","['segregation effects', 'XRD analysis', 'phase transition temperature', 'solidification arrest', 'latent heat', 'reflected light signal technique', 'Raman spectroscopy', 'molten pool', 're-solidified material', 'phase transition']",0.5,0.38461538461538464,0.4347826086956522,13,10,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368,0.5,0.38461538461538464,0.4347826086956522,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368
"['adipic acid', 'alditols', 'amino acids', 'citric acid', 'copolymerization', 'copolymerizations', 'cyclic ester monomers', 'dimethyl malonate', 'divinyl adipate', 'glycerol', 'lactic acid', 'lipases', 'monomers', 'polycondensation', 'polyester', 'polyesters', 'triols']","['poly(butylene succinate)', 'polycondensation', 'polyester oligomer', 'ring-opening polymerization', 'enzyme-catalyzed reactions', 'polyesters', 'divinyl adipate', 'triols', 'glycerol', '1', '2', '4-butanetriol', 'adipic acid', 'alditols', 'α-hydroxy acids', 'amino acids', 'molecular weights']",0.47058823529411764,0.47058823529411764,0.47058823529411764,17,17,0.2,0.058823529411764705,0.0909090909090909,0.5,0.29411764705882354,0.37037037037037035,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.7851681162933212,0.5676071333510779,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.2,0.058823529411764705,0.0909090909090909,0.5,0.29411764705882354,0.37037037037037035,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.7778880395121928,0.5426470588235295
['directed acyclic graphs'],"['MapReduce workflows', 'directed acyclic graphs (DAGs)', 'Pig Latin', 'procedural language', 'declarative SQL', 'relational database systems', 'user-defined functions (UDFs)', 'Java', 'Hadoop community', 'generalized DAG processing', 'MapReduce jobs']",0.0,0.0,0.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702381544273198,0.08333333333333333
"['asphaltic samples', 'bitumen', 'bituminous material', 'glass', 'interlocking', 'modified asphalt', 'particles', 'saphaltic samples', 'stiffness modulus']","['stiffness modulus', 'asphaltic samples', 'waste glass cullet', 'bitumen content', 'Marshall tests', 'optimum bitumen measures', 'interlocking', 'aggregate', 'angularity', 'intrusive friction angle', 'temperature']",0.2727272727272727,0.3333333333333333,0.3,9,11,0.4,0.2222222222222222,0.2857142857142857,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914,0.2727272727272727,0.3333333333333333,0.3,0.4,0.2222222222222222,0.2857142857142857,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914
"['classification', 'comparison between two popular feature extraction methods', 'depth maps']","['depth maps', 'Microsoft Kinect camera', 'feature extraction methods']",0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7169824723712336,0.5111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7169824723712336,0.5111111111111111
