Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['archaeological landscapes', 'artefacts', 'control of camera position', 'data capture at close range', 'digital camera', 'digital photogrammetry', 'laser scanners', 'laser scanning', 'ordinary still photographs', 'prior training about the required number and overlap of photographs', 'recording process', 'sites', 'terracotta warrior models']","['3D models', 'digital photogrammetry', 'laser scanners', 'archaeological landscapes', 'terracotta warrior models', 'surface detail', 'camera position', 'digital camera', 'artefacts']",0.6666666666666666,0.46153846153846156,0.5454545454545455,13,9,0.8,0.3076923076923077,0.4444444444444444,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.8753487096796059,0.7451923076923077,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.8,0.3076923076923077,0.4444444444444444,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.8753487096796059,0.7451923076923077
"['describe the geodetic data transformation method', 'terrain data processing', 'terrain digital data']","['terrain data processing', 'geodetic data transformation', 'Google Maps', 'SRTM', 'Shuttle Radar Topographical Mission', 'USGS', 'Digital Elevation Model', '3DWF', 'atmospheric flow', 'WGS84', 'World Geodetic System 84', 'ENU coordinate', 'Cartesian coordinate system', 'wind model']",0.07142857142857142,0.3333333333333333,0.11764705882352941,3,14,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.42022085050158287,0.1488095238095238,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.42022085050158287,0.1488095238095238
"['applications', 'broker', 'cloud computing', 'grid computing', 'high performance computing', 'interaction models', 'queuing system', 'virtualization technologies', 'virtualized interface', 'virtual server']","['high performance computing', 'virtualization technologies', 'grid computing', 'cloud computing', 'interaction models', 'queuing system', 'virtual server', 'operating system', 'usability hurdles']",0.7777777777777778,0.7,0.7368421052631577,10,9,1.0,0.5,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631577,0.7777777777777778,0.7,0.7368421052631577,0.9127859690446669,0.7944444444444445,0.7777777777777778,0.7,0.7368421052631577,1.0,0.5,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631577,0.7777777777777778,0.7,0.7368421052631577,0.9127859690446669,0.7944444444444445
"['adiabaticity violation', 'conversion in matter', 'neutrino', 'relative orientation of the eigenstates', 'vacuum']","['neutrino', 'adiabaticity', 'level crossing', 'neutrino trajectory', 'vacuum and matter Hamiltonians', 'eigenstates', 'analytical solutions', 'infinite exponential profile', 'adiabaticity violation', 'level jumping', 'linear profile']",0.18181818181818182,0.4,0.25000000000000006,5,11,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.18181818181818182,0.4,0.25000000000000006,0.5649270497435052,0.287012987012987,0.18181818181818182,0.4,0.25000000000000006,0.2,0.2,0.20000000000000004,0.2,0.4,0.26666666666666666,0.18181818181818182,0.4,0.25000000000000006,0.5649270497435052,0.287012987012987
"['approximate solution', 'brane solutions', 'calculate the cross section for the absorption of massless scalars', 'entirely world volume approach', 'higher angular momentum modes', 'linear fluctuations', 'linearized approximation', 'supergravity calculation', 'world volume solitons']","['M-theory five-brane', 'world volume approach', 'self-dual string', 'linearized approximation', 'supergravity', 'world volume solitons', 'Coulomb type potential', 'six-dimensional supergravity.']",0.25,0.2222222222222222,0.23529411764705882,9,8,0.2,0.1111111111111111,0.14285714285714285,0.25,0.2222222222222222,0.23529411764705882,0.25,0.2222222222222222,0.23529411764705882,0.680750581043459,0.5222222222222223,0.25,0.2222222222222222,0.23529411764705882,0.2,0.1111111111111111,0.14285714285714285,0.25,0.2222222222222222,0.23529411764705882,0.25,0.2222222222222222,0.23529411764705882,0.680750581043459,0.5222222222222223
"['clear inflections', 'crystallise', 'latent heat', 'liquid', 'molten pool', 'phase change', 'phase transition', 'quenched', 'reflected light signal technique', 'segregation', 'solidification arrest', 'surface', 'thermograms']","['XRD analysis', 'segregation effects', 'phase transition temperature', 'latent heat', 'reflected light signal technique', 'Raman spectroscopy', 'phase transition', 'material analysis']",0.375,0.23076923076923078,0.2857142857142857,13,8,0.4,0.15384615384615385,0.2222222222222222,0.375,0.23076923076923078,0.2857142857142857,0.375,0.23076923076923078,0.2857142857142857,0.767507990653604,0.642094017094017,0.375,0.23076923076923078,0.2857142857142857,0.4,0.15384615384615385,0.2222222222222222,0.375,0.23076923076923078,0.2857142857142857,0.375,0.23076923076923078,0.2857142857142857,0.767507990653604,0.642094017094017
"['adipic acid', 'alditols', 'amino acids', 'citric acid', 'copolymerization', 'copolymerizations', 'cyclic ester monomers', 'dimethyl malonate', 'divinyl adipate', 'glycerol', 'lactic acid', 'lipases', 'monomers', 'polycondensation', 'polyester', 'polyesters', 'triols']","['poly(butylene succinate)', 'polycondensation', 'polyester oligomer', 'pendant carboxylic and hydroxyl groups', 'ring-opening polymerization', 'enzyme-catalyzed reactions', 'hydroxyl-bearing polyesters', 'polycondensation reactions']",0.125,0.058823529411764705,0.07999999999999999,17,8,0.2,0.058823529411764705,0.0909090909090909,0.125,0.058823529411764705,0.07999999999999999,0.125,0.058823529411764705,0.07999999999999999,0.7027845692723721,0.6740196078431373,0.125,0.058823529411764705,0.07999999999999999,0.2,0.058823529411764705,0.0909090909090909,0.125,0.058823529411764705,0.07999999999999999,0.125,0.058823529411764705,0.07999999999999999,0.6869231250848418,0.6446969696969697
['directed acyclic graphs'],"['MapReduce workflows', 'Hadoop', 'directed acyclic graphs (DAGs)', 'Pig Latin', 'procedural language', 'user-defined functions (UDFs)', 'Java', 'ad hoc workflow changes', 'generalized DAG processing', 'MapReduce jobs']",0.0,0.0,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27894294565112965,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27894294565112965,0.09090909090909091
"['asphaltic samples', 'bitumen', 'bituminous material', 'glass', 'interlocking', 'modified asphalt', 'particles', 'saphaltic samples', 'stiffness modulus']","['bitumen content', 'stiffness modulus', 'asphaltic samples', 'waste glass cullet', 'Marshall tests', 'optimum bitumen content', 'interlocking', 'aggregate', 'angularity', 'intrusive friction angle', 'temperature']",0.2727272727272727,0.3333333333333333,0.3,9,11,0.4,0.2222222222222222,0.2857142857142857,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914,0.2727272727272727,0.3333333333333333,0.3,0.4,0.2222222222222222,0.2857142857142857,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914
"['classification', 'comparison between two popular feature extraction methods', 'depth maps']","['feature extraction methods', 'depth maps', 'Microsoft Kinect camera', 'classification method', 'SVM prediction']",0.2,0.3333333333333333,0.25,3,5,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.600316524781368,0.3523809523809524,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.2,0.3333333333333333,0.25,0.600316524781368,0.3523809523809524
