Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['archaeological landscapes', 'artefacts', 'control of camera position', 'data capture at close range', 'digital camera', 'digital photogrammetry', 'laser scanners', 'laser scanning', 'ordinary still photographs', 'prior training about the required number and overlap of photographs', 'recording process', 'sites', 'terracotta warrior models']","['digital photogrammetry', 'laser scanners', 'positional accuracy', 'true colour fidelity', 'camera position', 'equipment costs', 'digital camera', 'archaeological landscapes', 'terracotta warrior models', 'surface detail']",0.5,0.38461538461538464,0.4347826086956522,13,10,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368,0.5,0.38461538461538464,0.4347826086956522,0.4,0.15384615384615385,0.2222222222222222,0.5,0.38461538461538464,0.4347826086956522,0.5,0.38461538461538464,0.4347826086956522,0.8046921461527856,0.6367521367521368
"['describe the geodetic data transformation method', 'terrain data processing', 'terrain digital data']","['geodetic data transformation', 'terrain data processing', 'Google Maps/Earth', 'SRTM', 'Shuttle Radar Topographical Mission', ""USGS's DEM"", 'Digital Elevation Model', '3DWF', 'WGS84', 'World Geodetic System 84', 'Cartesian coordinate system', 'fine scale wind model', 'geodetic coordinate system.']",0.07692307692307693,0.3333333333333333,0.125,3,13,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.07692307692307693,0.3333333333333333,0.125,0.43075615145606433,0.158974358974359,0.07692307692307693,0.3333333333333333,0.125,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.07692307692307693,0.3333333333333333,0.125,0.43075615145606433,0.158974358974359
"['applications', 'broker', 'cloud computing', 'grid computing', 'high performance computing', 'interaction models', 'queuing system', 'virtualization technologies', 'virtualized interface', 'virtual server']","['high performance computing', 'virtualization technologies', 'heterogeneous computing environments', 'bare metal', 'performance degradation', 'grid computing', 'cloud computing', 'interaction models', 'queuing system', 'virtual server', 'operating system', 'usability hurdles', 'scientific investigations']",0.5384615384615384,0.7,0.608695652173913,10,13,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769,0.5384615384615384,0.7,0.608695652173913,0.4,0.2,0.26666666666666666,0.7,0.7,0.7,0.5384615384615384,0.7,0.608695652173913,0.7998751244415447,0.5644230769230769
"['adiabaticity violation', 'conversion in matter', 'neutrino', 'relative orientation of the eigenstates', 'vacuum']","['neutrino', 'matter Hamiltonians', 'vacuum', 'eigenstates', 'adiabaticity', 'level jumping', 'neutrino trajectory', 'linear profile', 'step function', 'adiabaticity violation', 'density', 'level crossing', 'probability Pc', 'exponential profile', 'analytical solutions', 'infinite exponential profile', 'rotated basis', 'Sun']",0.16666666666666666,0.6,0.2608695652173913,5,18,0.4,0.4,0.4000000000000001,0.3,0.6,0.4,0.2,0.6,0.3,0.5277056203939714,0.2,0.16666666666666666,0.6,0.2608695652173913,0.4,0.4,0.4000000000000001,0.3,0.6,0.4,0.2,0.6,0.3,0.5277056203939714,0.2
"['approximate solution', 'brane solutions', 'calculate the cross section for the absorption of massless scalars', 'entirely world volume approach', 'higher angular momentum modes', 'linear fluctuations', 'linearized approximation', 'supergravity calculation', 'world volume solitons']","['self-dual string', 'M-theory five-brane', 'world volume approach', 'linear fluctuations', 'transverse scalars', 'angular momentum modes', 'linearized approximation', 'world volume solitons', 'Coulomb type potential', 'supergravity', 'six-dimensional supergravity.']",0.2727272727272727,0.3333333333333333,0.3,9,11,0.2,0.1111111111111111,0.14285714285714285,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914,0.2727272727272727,0.3333333333333333,0.3,0.2,0.1111111111111111,0.14285714285714285,0.3,0.3333333333333333,0.3157894736842105,0.2727272727272727,0.3333333333333333,0.3,0.6671853990345785,0.44385026737967914
"['clear inflections', 'crystallise', 'latent heat', 'liquid', 'molten pool', 'phase change', 'phase transition', 'quenched', 'reflected light signal technique', 'segregation', 'solidification arrest', 'surface', 'thermograms']","['XRD analysis', 'segregation effects', 'phase transition temperature', 'latent heat', 'reflected light signal technique', 'Raman spectroscopy', 'molten pool', 're-solidified material', 'phase transition']",0.4444444444444444,0.3076923076923077,0.3636363636363637,13,9,0.4,0.15384615384615385,0.2222222222222222,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.7875452355617745,0.6367521367521367,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.4,0.15384615384615385,0.2222222222222222,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.7875452355617745,0.6367521367521367
"['adipic acid', 'alditols', 'amino acids', 'citric acid', 'copolymerization', 'copolymerizations', 'cyclic ester monomers', 'dimethyl malonate', 'divinyl adipate', 'glycerol', 'lactic acid', 'lipases', 'monomers', 'polycondensation', 'polyester', 'polyesters', 'triols']","['poly(butylene succinate)', 'polycondensation', 'polyester', 'hydroxyl-functionalized', 'poly[(l-lactic acid)-co-(citric acid)]', 'PLCA oligomer', 'PLLA', 'multiblock copolymer', 'ring-opening polymerization', 'enzyme-catalyzed reactions', 'polyesters', 'copolymerization', 'divinyl adipate', 'triols', 'alditols', 'α-hydroxy acids', 'amino acids']",0.47058823529411764,0.47058823529411764,0.47058823529411764,17,17,0.4,0.11764705882352941,0.1818181818181818,0.2,0.11764705882352941,0.14814814814814817,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.7851681162933212,0.5676071333510779,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4,0.11764705882352941,0.1818181818181818,0.2,0.11764705882352941,0.14814814814814817,0.42857142857142855,0.35294117647058826,0.3870967741935484,0.7650791813275972,0.5375
['directed acyclic graphs'],"['Apache Pig', 'MapReduce workflows', 'Hadoop', 'directed acyclic graphs (DAGs)', 'Pig Latin', 'procedural language', 'declarative SQL', 'relational database systems', 'user-defined functions (UDFs)', 'Java', 'ad hoc workflow changes', 'generalized DAG processing', 'Hadoop community', 'MapReduce jobs']",0.0,0.0,0.0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06666666666666667
"['asphaltic samples', 'bitumen', 'bituminous material', 'glass', 'interlocking', 'modified asphalt', 'particles', 'saphaltic samples', 'stiffness modulus']","['asphaltic samples', 'bitumen content', 'glass cullet', 'Marshall tests', 'stiffness modulus', 'optimum bitumen measures', 'angularity of particles', 'intrusive friction angle']",0.25,0.2222222222222222,0.23529411764705882,9,8,0.4,0.2222222222222222,0.2857142857142857,0.25,0.2222222222222222,0.23529411764705882,0.25,0.2222222222222222,0.23529411764705882,0.680750581043459,0.5222222222222223,0.25,0.2222222222222222,0.23529411764705882,0.4,0.2222222222222222,0.2857142857142857,0.25,0.2222222222222222,0.23529411764705882,0.25,0.2222222222222222,0.23529411764705882,0.680750581043459,0.5222222222222223
"['classification', 'comparison between two popular feature extraction methods', 'depth maps']","['depth maps', 'Microsoft Kinect camera', 'classification method']",0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7169824723712336,0.5111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7169824723712336,0.5111111111111111
