Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords,P@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP,stemmed_Precision,stemmed_Recall,stemmed_F1-score,stemmed_P@5,stemmed_R@5,stemmed_F@5,stemmed_P@10,stemmed_R@10,stemmed_F@10,stemmed_P@15,stemmed_R@15,stemmed_F@15,stemmed_NDCG,stemmed_MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['computational phantoms', 'Monte Carlo calculations', 'in vivo measurements', 'radionuclides', 'MCNP input data file', 'computed tomography', 'magnetic resonance imaging', 'voxels', 'low energy gamma ray emitting sources']",0.5555555555555556,0.2,0.29411764705882354,25,9,0.6,0.12,0.19999999999999998,0.5555555555555556,0.2,0.29411764705882354,0.5555555555555556,0.2,0.29411764705882354,0.8692879121113781,0.8007662835249043,0.5555555555555556,0.2,0.29411764705882354,0.6,0.12,0.19999999999999998,0.5555555555555556,0.2,0.29411764705882354,0.5555555555555556,0.2,0.29411764705882354,0.8669066230677784,0.7943121693121693
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging system', 'bridge crack inspection', 'CCD cameras', 'binocular charge coupled devices', 'manipulator system']",0.2,0.14285714285714285,0.16666666666666666,7,5,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.6772224389488851,0.5740259740259741,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.2,0.14285714285714285,0.16666666666666666,0.6772224389488851,0.5740259740259741
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', 'linear equations', 'modulo 2 residue class', 'mn locks']",1.0,1.0,1.0,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wireless communications', 'WAP site management system', 'hypertext markup language', 'intelligent management system', 'mobile phone screens', 'communication cost']",0.3333333333333333,0.4,0.3636363636363636,5,6,0.2,0.2,0.20000000000000004,0.3333333333333333,0.4,0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636,0.6957476968145455,0.4666666666666667,0.3333333333333333,0.4,0.3636363636363636,0.2,0.2,0.20000000000000004,0.3333333333333333,0.4,0.3636363636363636,0.3333333333333333,0.4,0.3636363636363636,0.6957476968145455,0.4666666666666667
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'plane strain theory', 'transversely isotropic bodies', 'Airy stress function method', 'stress and induction functions', 'polynomials', 'tip deflection', 'blocking force', 'piezoelectric cantilever actuator', 'density distribution profile']",0.5,0.625,0.5555555555555556,8,10,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5,0.625,0.5555555555555556,0.7799767246163811,0.5432692307692308,0.5,0.625,0.5555555555555556,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.5,0.625,0.5555555555555556,0.7799767246163811,0.5432692307692308
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['Boolean functions', 'decomposition', 'q-partitions', 'minterms', 'decomposition clone', 'disjunctive decomposition']",0.5,0.75,0.6,4,6,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428,0.5,0.75,0.6,0.4,0.5,0.4444444444444445,0.5,0.75,0.6,0.5,0.75,0.6,0.7751645821999912,0.5178571428571428
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['building management systems', 'user acceptance', 'technology acceptance', 'ease of use', 'compatibility', 'perceived ease of use', 'voluntariness']",0.5714285714285714,0.6666666666666666,0.6153846153846153,6,7,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6,0.5,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8156199626936518,0.6031746031746031
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['optimal control', 'elliptic system', 'conjugate conditions', 'distributed systems', 'elliptic equations', 'Hilbert space', 'computational discretization']",0.42857142857142855,0.5,0.4615384615384615,6,7,0.6,0.5,0.5454545454545454,0.42857142857142855,0.5,0.4615384615384615,0.42857142857142855,0.5,0.4615384615384615,0.7458248951998783,0.5142857142857142,0.42857142857142855,0.5,0.4615384615384615,0.6,0.5,0.5454545454545454,0.42857142857142855,0.5,0.4615384615384615,0.42857142857142855,0.5,0.4615384615384615,0.7458248951998783,0.5142857142857142
"['systemological analysis', 'formal system representation', 'axiomatics']","['object-oriented design', 'systemological method', 'formal system representation', 'axiomatics', 'calculus of systems', 'Node-Function-Object class hierarchy', 'NFO/UFO analysis algorithm', 'CASE tools']",0.25,0.6666666666666666,0.36363636363636365,3,8,0.4,0.6666666666666666,0.5,0.25,0.6666666666666666,0.36363636363636365,0.25,0.6666666666666666,0.36363636363636365,0.6050861707334841,0.2777777777777778,0.25,0.6666666666666666,0.36363636363636365,0.4,0.6666666666666666,0.5,0.25,0.6666666666666666,0.36363636363636365,0.25,0.6666666666666666,0.36363636363636365,0.6050861707334841,0.2777777777777778
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['electronic government procurement', 'Taiwan government procurement law', 'online bidding', 'certificate authorization']",0.5,0.25,0.3333333333333333,8,4,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.8252903672142244,0.7250000000000001,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.8252903672142244,0.7250000000000001
